row,id,title,segment_index,class,length,segment
25,ID0024,TZP Vacuum Energy Density,1,elementary_latex,113,"\rho_{\mathrm{vac}}^{T} = \frac{1}{u_{T}^{4}} \int_{0}^{\omega_{\mathrm{cut}}} \eta(\omega)\,\hbar\omega\,d\omega"
25,ID0024,TZP Vacuum Energy Density,2,relation_latex,60,\omega_{\mathrm{cut}}=\omega_{\mathrm{cut}}(S_{\mathrm{HD}})
26,ID0025,Conservation Law: TZP Topological Charge,1,operator_latex,41,"Q = \int_{\Sigma} J^{\mu}\, d\Sigma_{\mu}"
26,ID0025,Conservation Law: TZP Topological Charge,2,relation_latex,46,"\nabla^{\mathrm{T}}_{\mu}J^{\mu}=0, \qquad Q=w"
27,ID0026,Conservation Law: Information Flux Through TZP,1,elementary_latex,15,\frac{dI}{dt}=0
27,ID0026,Conservation Law: Information Flux Through TZP,2,operator_latex,53,"I = \int_{\Gamma} T^{\mu\nu}\xi_{\nu}\, d\Sigma_{\mu}"
28,ID0027,Constraint: Trawinistic Metric Compatibility,1,relation_latex,42,\nabla^{\mathrm{T}} g = 0 \qquad (x\neq p)
28,ID0027,Constraint: Trawinistic Metric Compatibility,2,relation_latex,51,"\nabla^{\mathrm{T}} g = C\,\delta(x,p) \qquad (x=p)"
29,ID0028,Constraint: TZP Torsion Localisation,1,relation_latex,41,T(\nabla^{\mathrm{T}})=0 \qquad (x\neq p)
29,ID0028,Constraint: TZP Torsion Localisation,2,operator_latex,53,"\int_{\mathcal N} T^{a}{}_{bc}\,d^{n}x = N^{a}{}_{bc}"
30,ID0029,Trawinistic Hamiltonian Density,1,elementary_latex,68,"\mathcal{H}_{\mathrm{T}} = \pi\,\dot{\phi} -\mathcal{L}_{\mathrm{T}}"
30,ID0029,Trawinistic Hamiltonian Density,2,elementary_latex,67,\pi = \frac{\partial \mathcal{L}_{\mathrm{T}}}{\partial \dot{\phi}}
31,ID0030,TZP-Modified Hamiltonian Operator,1,operator_latex,99,"H_{\mathrm{T}}\lvert\Psi\rangle = \int_{\Sigma}\mathcal{H}_{\mathrm{T}}\,d\Sigma\;\lvert\Psi\rangle"
31,ID0030,TZP-Modified Hamiltonian Operator,2,relation_latex,31,\Sigma \cap \{p\} = \varnothing
32,ID0031,Hamilton–Jacobi Equation (Trawinistic Form),1,elementary_latex,114,"\frac{\partial S}{\partial t} \;+\; \mathcal{H}_{\mathrm{T}} \!\left( q,\frac{\partial S}{\partial q},t \right) =0"
32,ID0031,Hamilton–Jacobi Equation (Trawinistic Form),2,elementary_latex,31,p=\frac{\partial S}{\partial q}
33,ID0032,Action Functional on Trawinistic Manifolds,1,operator_latex,97,"S[\phi] = \int_{M} \mathcal{L}_{\mathrm{T}} \bigl( \phi,\nabla^{\mathrm{T}}\phi,g \bigr)\, d^{n}x"
33,ID0032,Action Functional on Trawinistic Manifolds,2,relation_latex,120,\mathcal{L}_{\mathrm{T}} = \mathcal{L}_{\mathrm{kin}} \;+\; \mathcal{L}_{\mathrm{pot}} \;+\; \mathcal{L}_{\mathrm{curv}}
34,ID0033,Principle of Least Action (TZP Variant),1,relation_latex,18,\delta S[\phi] = 0
34,ID0033,Principle of Least Action (TZP Variant),2,relation_latex,37,\phi\big\vert_{\partial M} = \phi_{0}
35,ID0034,Field Equations on a Trawinistic Manifold,1,elementary_latex,30,\frac{\delta S}{\delta \phi}=0
35,ID0034,Field Equations on a Trawinistic Manifold,2,elementary_latex,132,\nabla^{\mathrm{T}}_{a}\nabla^{\mathrm{T}a}\phi \;+\; \frac{\partial V_{T}}{\partial \phi} \;+\; \mathcal{C}_{\mathrm{curv/tors}} =0
36,ID0035,Quantum Field Propagator (TZP Background),1,relation_latex,55,"\Box_{\mathrm{T}}\,G_{\mathrm{T}}(x,x') = -\delta(x,x')"
36,ID0035,Quantum Field Propagator (TZP Background),2,relation_latex,42,"G_{\mathrm{T}}(x,x') \sim e^{-V_{T}(x,x')}"
37,ID0036,Vacuum Fluctuation Operator (TZP),1,elementary_latex,135,"\mathcal{V}_{\mathrm{T}}\phi_{\omega} = \sqrt{\frac{\hbar\omega}{2}}\, \phi_{\omega}\, \coth\!\left( \frac{\omega}{2\omega_{0}} \right)"
37,ID0036,Vacuum Fluctuation Operator (TZP),2,relation_latex,37,\omega_{0}=\omega_{0}\bigl(\eta\bigr)
38,ID0037,Emergent Rotation Principle,1,operator_latex,61,"L = \int_{V} \bigl( \mathbf{r}\times\mathbf{J} \bigr)\,d^{3}x"
38,ID0037,Emergent Rotation Principle,2,elementary_latex,73,"\frac{dL}{dt} = \int_{V} \bigl( \mathbf{J}\times\mathbf{B} \bigr)\,d^{3}x"
39,ID0038,Elsasser Attractor Manifold,1,elementary_latex,45,"\Lambda = \frac{B^{2}}{\rho\,\mu\,\Omega^{2}}"
39,ID0038,Elsasser Attractor Manifold,2,relation_latex,17,\Lambda \approx 1
40,ID0039,Magnetic–Coriolis Energy Equipartition,1,elementary_latex,50,\frac{B^{2}}{2\mu} = \frac{1}{2}\rho(\Omega r)^{2}
40,ID0039,Magnetic–Coriolis Energy Equipartition,2,relation_latex,35,E_{\mathrm{mag}} = E_{\mathrm{rot}}
41,ID0040,Universality of Elsasser Criticality,1,elementary_latex,45,"\Lambda = \frac{B^{2}}{\rho\,\mu\,\Omega^{2}}"
41,ID0040,Universality of Elsasser Criticality,2,relation_latex,33,\Lambda_{\mathrm{crit}} \approx 1
42,ID0041,Topological Helicity Quantisation,1,operator_latex,45,"H = \int_{V}\mathbf{A}\cdot\mathbf{B}\,d^{3}x"
42,ID0041,Topological Helicity Quantisation,2,logical_latex,36,"H = w\,\Phi, \qquad w \in \mathbb{Z}"
43,ID0042,Magnetic Helicity as Scale-Invariant Constraint,1,elementary_latex,27,\chi_{H} = \frac{H}{B^{2}L}
43,ID0042,Magnetic Helicity as Scale-Invariant Constraint,2,relation_latex,26,\chi_{H} = \mathrm{const.}
44,ID0043,Helicity Linking Number Universality,1,elementary_latex,219,"\operatorname{Lk}(C_{1},C_{2}) = \frac{1}{4\pi} \oint_{C_{1}}\oint_{C_{2}} \frac{(\mathbf{r}_{1}-\mathbf{r}_{2})\cdot \left(d\mathbf{r}_{1}\times d\mathbf{r}_{2}\right)} {\lvert \mathbf{r}_{1}-\mathbf{r}_{2} \rvert^{3}}"
44,ID0043,Helicity Linking Number Universality,2,logical_latex,45,"\operatorname{Lk}(C_{1},C_{2}) \in \mathbb{Z}"
45,ID0044,(μ ∝ M R^2Ω) Universal Scaling Law,1,relation_latex,22,"\mu = k\,M R^{2}\Omega"
45,ID0044,(μ ∝ M R^2Ω) Universal Scaling Law,2,relation_latex,25,k \approx \mathrm{const.}
46,ID0045,Dimensionless Gyromagnetic Coupling Constant,1,elementary_latex,35,g_{\mu} = \frac{\mu}{M R^{2}\Omega}
46,ID0045,Dimensionless Gyromagnetic Coupling Constant,2,relation_latex,24,g_{\mu} = \mathcal{O}(1)
47,ID0046,Order-Of-Magnitude Invariance Across 47 Orders of Scale,1,elementary_latex,26,\mathcal{R} = \frac{Q}{Q'}
47,ID0046,Order-Of-Magnitude Invariance Across 47 Orders of Scale,2,elementary_latex,40,\left|\log_{10}\mathcal{R}\right| \leq 1
48,ID0047,Bayesian Evidence Accumulation Framework,1,elementary_latex,103,\frac{P(H_{i}\mid D)}{P(H_{j}\mid D)} = \frac{P(D\mid H_{i})}{P(D\mid H_{j})} \frac{P(H_{i})}{P(H_{j})}
48,ID0047,Bayesian Evidence Accumulation Framework,2,elementary_latex,46,B_{ij} = \frac{P(D\mid H_{i})}{P(D\mid H_{j})}
49,ID0048,Falsifiability as Core Design Constraint,1,logical_latex,48,\exists D: \quad P(D\mid H) \neq P(D\mid \neg H)
49,ID0048,Falsifiability as Core Design Constraint,2,symbolic_latex,53,\left|P(D\mid H) - P(D\mid \neg H)\right| \geq \delta
50,ID0049,Zero-Point Fluctuations,1,elementary_latex,105,"\langle \phi^{2} \rangle = \int_{0}^{\omega_{\mathrm{cut}}} \frac{\hbar}{2\omega}\, \eta(\omega)\,d\omega"
50,ID0049,Zero-Point Fluctuations,2,logical_latex,30,\omega_{\mathrm{cut}} < \infty
51,ID0050,Quantum Fields on Curved Manifolds,1,logical_latex,24,\phi \in \Gamma(E \to M)
51,ID0050,Quantum Fields on Curved Manifolds,2,relation_latex,61,\left(\nabla^{\mu}\nabla_{\mu} + m^{2} + \xi R\right)\phi = 0
52,ID0051,Zero-Point Fluctuations,1,elementary_latex,49,"\left[\phi(x),\pi(y)\right] = i\hbar\,\delta(x,y)"
52,ID0051,Zero-Point Fluctuations,2,elementary_latex,64,"\langle 0 \mid \left[\phi(x),\pi(y)\right] \mid 0 \rangle \neq 0"
53,ID0052,Vacuum Polarization,1,elementary_latex,100,"\Pi_{\mu\nu}(x,x') = \frac{\delta^{2}W[A]}{\delta A^{\mu}(x)\,\delta A^{\nu}(x')} \biggr\rvert_{A=0}"
53,ID0052,Vacuum Polarization,2,relation_latex,34,"\nabla^{\mu}\Pi_{\mu\nu}(x,x') = 0"
54,ID0053,Quantum Harmonic Oscillator (TZP-Modified),1,elementary_latex,61,H = \frac{p^{2}}{2m} + \frac{1}{2}m\omega^{2}q^{2} + \delta H
54,ID0053,Quantum Harmonic Oscillator (TZP-Modified),2,relation_latex,30,"\left[a,a^{\dagger}\right] = 1"
55,ID0054,Mode Quantization in Confined Geometries,1,relation_latex,50,-\Delta_{\mathrm{T}}\phi_{n} = \lambda_{n}\phi_{n}
55,ID0054,Mode Quantization in Confined Geometries,2,relation_latex,36,\omega_{n}^{2} = \lambda_{n} + m^{2}
56,ID0055,Boundary-Induced Quantum Effects,1,operator_latex,75,"\mathcal{B}_{\partial\Omega}\phi = \sum_{n} b_{n}(\partial\Omega)\,\phi_{n}"
56,ID0055,Boundary-Induced Quantum Effects,2,relation_latex,76,b_{n} = b_{n}^{\mathrm{geom}} + b_{n}^{\mathrm{top}} + b_{n}^{\mathrm{curv}}
57,ID0056,Casimir-Type Phenomena,1,elementary_latex,75,"E_{\mathrm{Cas}}(L) = -\frac{\pi^{2}}{720\,L^{3}}\left(1+\varepsilon\right)"
57,ID0056,Casimir-Type Phenomena,2,relation_latex,70,\varepsilon = \varepsilon_{\mathrm{curv}} + \varepsilon_{\mathrm{TZP}}
58,ID0057,Quantum Phase Transitions,1,relation_latex,17,\Delta(g_{c}) = 0
58,ID0057,Quantum Phase Transitions,2,relation_latex,25,\xi \sim |g-g_{c}|^{-\nu}
59,ID0058,Renormalization Flow as Dimensional Navigation,1,elementary_latex,59,"\mu\frac{dg}{d\mu} = \beta\!\left(g,d_{\mathrm{eff}}\right)"
59,ID0058,Renormalization Flow as Dimensional Navigation,2,relation_latex,40,d_{\mathrm{eff}} = d_{\mathrm{eff}}(\mu)
60,ID0059,Scale Dependence of Physical Constants,1,elementary_latex,67,"\frac{dc_{i}}{d\ln\mu} = f_{i}\!\left(c_{j},d_{\mathrm{eff}}\right)"
60,ID0059,Scale Dependence of Physical Constants,2,relation_latex,35,"c_{i} = c_{i}(\mu,d_{\mathrm{eff}})"
61,ID0060,Quantum Coherence and Decoherence,1,elementary_latex,128,"\mathcal{C}(\phi_{1},\phi_{2}) = \frac{\left|\langle \phi_{1},\phi_{2}\rangle\right|} \lVert\phi_{1}\rVert\,\lVert\phi_{2}\rVert"
61,ID0060,Quantum Coherence and Decoherence,2,logical_latex,20,\mathcal{C}(t) \to 0
62,ID0061,Environment-Induced Superselection,1,operator_latex,58,"\rho(t) \to \sum_{i} p_{i}\,\lvert i\rangle\langle i\rvert"
62,ID0061,Environment-Induced Superselection,2,logical_latex,36,\rho_{ij}(t) \to 0 \qquad (i \neq j)
63,ID0062,Quantum Noise Spectra,1,operator_latex,89,"S_{O}(\omega) = \int d\tau\; e^{i\omega\tau} \langle \delta O(t)\,\delta O(t+\tau)\rangle"
63,ID0062,Quantum Noise Spectra,2,relation_latex,52,"S_{O}^{(\eta)}(\omega) = S_{O}(\omega)\,\eta(\omega)"
64,ID0063,Measurement Back-Action,1,operator_latex,61,\mathcal{M}[\rho] = \sum_{k} M_{k}\rho M_{k}^{\dagger} - \rho
64,ID0063,Measurement Back-Action,2,operator_latex,33,\sum_{k} M_{k}^{\dagger}M_{k} = I
65,ID0064,Observer-Dependent Quantum States,1,relation_latex,67,\lvert \psi_{\mathrm{obs}}\rangle = U(\gamma)\lvert \psi_{0}\rangle
65,ID0064,Observer-Dependent Quantum States,2,relation_latex,32,U(\gamma)^{\dagger}U(\gamma) = I
66,ID0065,Entanglement Structure,1,relation_latex,43,\rho_{A} = \operatorname{Tr}_{B}(\rho_{AB})
66,ID0065,Entanglement Structure,2,elementary_latex,67,S(\rho_{A}) = -\operatorname{Tr}\!\left(\rho_{A}\log\rho_{A}\right)
67,ID0066,Multipartite Entanglement FractalNodes,1,relation_latex,11,"G = (V,E,w)"
67,ID0066,Multipartite Entanglement FractalNodes,2,relation_latex,25,w_{ij} = \mathcal{E}_{ij}
68,ID0067,Topological Quantum States,1,symbolic_latex,19,g_{\mathrm{gs}} > 1
68,ID0067,Topological Quantum States,2,operator_latex,90,W(C) = \left\langle \psi \middle| \mathcal{P}\exp\!\oint_{C} A \middle| \psi \right\rangle
69,ID0068,Berry Phase and Geometric Phase Effects,1,operator_latex,96,\gamma_{\mathrm{B}} = i\oint_{\Gamma}\langle \psi \mid \nabla_{\lambda}\psi\rangle\cdot d\lambda
69,ID0068,Berry Phase and Geometric Phase Effects,2,relation_latex,89,\gamma_{\mathrm{tot}} = \gamma_{\mathrm{dyn}} + \gamma_{\mathrm{B}} + \gamma_{\mathrm{L}}
70,ID0069,Spinor and Spin-Network Representations,1,logical_latex,24,\psi \in \Gamma(S \to M)
70,ID0069,Spinor and Spin-Network Representations,2,relation_latex,27,"\mathcal{N} = (V,E,j,\iota)"
71,ID0070,Quantum Information Units,1,symbolic_latex,49,\mathcal{H}_{\mathrm{qunit}} \cong \mathbb{C}^{d}
71,ID0070,Quantum Information Units,2,relation_latex,37,\dim \mathcal{H}_{\mathrm{qunit}} = d
72,ID0071,Qubit Manifold Embedding,1,symbolic_latex,49,\mathcal{H}_{\mathrm{qubit}} \cong \mathbb{C}^{2}
72,ID0071,Qubit Manifold Embedding,2,symbolic_latex,45,\mathbb{CP}^{1} \cong S^{2} \hookrightarrow M
73,ID0072,Continuous-Variable Quantum Systems,1,relation_latex,25,"\left[q,p\right] = i\hbar"
73,ID0072,Continuous-Variable Quantum Systems,2,relation_latex,45,\mathcal{H}_{\mathrm{CV}} = L^{2}(\mathbb{R})
74,ID0073,Quantum Channels and Maps,1,logical_latex,42,\mathcal{E}:\rho \mapsto \mathcal{E}(\rho)
74,ID0073,Quantum Channels and Maps,2,operator_latex,54,\mathcal{E}(\rho) = \sum_{k} K_{k}\rho K_{k}^{\dagger}
75,ID0074,Completely Positive Trace-Preserving Maps,1,logical_latex,74,"(\mathcal{E}\otimes \mathbb{I}_{n})(X) \geq 0 \qquad \forall n,\; X \geq 0"
75,ID0074,Completely Positive Trace-Preserving Maps,2,relation_latex,75,\operatorname{Tr}\!\left(\mathcal{E}(\rho)\right) = \operatorname{Tr}(\rho)
76,ID0075,Quantum Thermodynamics,1,elementary_latex,64,\Delta S \geq \frac{Q}{T_{\mathrm{eff}}} + \Sigma_{\mathrm{TZP}}
76,ID0075,Quantum Thermodynamics,2,relation_latex,16,\Delta U = Q + W
77,ID0076,Fluctuation–Dissipation Relations,1,elementary_latex,121,"S(\omega) = 2\hbar\, \coth\!\left( \frac{\hbar\omega}{2k_{\mathrm{B}}T_{\mathrm{eff}}} \right) \operatorname{Im}R(\omega)"
77,ID0076,Fluctuation–Dissipation Relations,2,relation_latex,83,T_{\mathrm{eff}} = T_{\mathrm{eff}}^{\mathrm{th}} + T_{\mathrm{eff}}^{\mathrm{TZP}}
78,ID0077,Quantum Transport Phenomena,1,elementary_latex,66,\sigma(\omega) = \frac{1}{\omega}\operatorname{Im}\Pi_{JJ}(\omega)
78,ID0077,Quantum Transport Phenomena,2,operator_latex,65,\Pi_{JJ}(\omega) = \int dt\; e^{i\omega t}\langle J(t)J(0)\rangle
79,ID0078,Quantum Criticality,1,relation_latex,53,\langle O(x)O(0)\rangle \sim \lvert x\rvert^{-2+\eta}
79,ID0078,Quantum Criticality,2,relation_latex,42,"\eta = \eta(d_{\mathrm{eff}},\mathrm{TZP})"
80,ID0079,Quantum Chaos Indicators,1,relation_latex,89,"F(t) = \left\langle \left[W(t),V(0)\right]^{\dagger} \left[W(t),V(0)\right] \right\rangle"
80,ID0079,Quantum Chaos Indicators,2,relation_latex,36,F(t) \sim e^{\lambda_{\mathrm{L}} t}
81,ID0080,Semiclassical Limits,1,relation_latex,47,\delta S_{\mathrm{T}}[\gamma_{\mathrm{cl}}] = 0
81,ID0080,Semiclassical Limits,2,elementary_latex,136,"K(x_f,t_f;x_i,t_i) \approx \sum_{\gamma_{\mathrm{cl}}} A_{\gamma} \exp\!\left(\frac{i}{\hbar}S_{\mathrm{T}}[\gamma_{\mathrm{cl}}]\right)"
82,ID0081,Classical Emergence from Quantum Dynamics,1,relation_latex,43,\rho_{ij}(t)=\rho_{ij}(0)e^{-\Gamma_{ij} t}
82,ID0081,Classical Emergence from Quantum Dynamics,2,elementary_latex,114,"\dot{x}=\frac{\partial H_{\mathrm{eff}}}{\partial p}, \qquad \dot{p}=-\frac{\partial H_{\mathrm{eff}}}{\partial x}"
83,ID0082,Micro-To-Macro Consistency Conditions,1,relation_latex,97,\langle O_{\mathrm{macro}} \rangle = \mathcal{C}\!\left(\langle O_{\mathrm{micro}} \rangle\right)
83,ID0082,Micro-To-Macro Consistency Conditions,2,elementary_latex,121,\frac{d}{dt}\langle Q_{\mathrm{macro}} \rangle = \mathcal{C}\!\left(\frac{d}{dt}\langle Q_{\mathrm{micro}} \rangle\right)
84,ID0083,TZP Constraints at Quantum Scale,1,elementary_latex,61,\varepsilon_{\mathrm{TZP}} = \frac{\ell_{\mathrm{TZP}}}{\ell}
84,ID0083,TZP Constraints at Quantum Scale,2,relation_latex,107,"\mathcal{O}_{\mathrm{eff}} = \mathcal{O}_{q} + \varepsilon_{\mathrm{TZP}}\,\Delta\mathcal{O}_{\mathrm{TZP}}"
85,ID0084,Quantum Limits of Observability,1,elementary_latex,53,"\Delta x\,\Delta p \ge \frac{\hbar_{\mathrm{eff}}}{2}"
85,ID0084,Quantum Limits of Observability,2,elementary_latex,122,"\Delta t\,\Delta E \ge \frac{\hbar_{\mathrm{eff}}}{2}, \qquad \hbar_{\mathrm{eff}}=\hbar\left(1+\chi_{\mathrm{TZP}}\right)"
86,ID0085,Gyromagnetic Genesis Hypothesis,1,operator_latex,102,"\tau_{\mathrm{em}} = \int \mathbf{r}\times\left(\mathbf{J}\times\mathbf{B}+\rho_e\mathbf{E}\right)\,dV"
86,ID0085,Gyromagnetic Genesis Hypothesis,2,elementary_latex,41,\frac{d\mathbf{L}}{dt}=\tau_{\mathrm{em}}
87,ID0086,Rejection of Primordial Angular Momentum Assumption,1,operator_latex,68,"\mathbf{L}(t)=\mathbf{L}_0 + \int_{0}^{t}\tau_{\mathrm{em}}(t')\,dt'"
87,ID0086,Rejection of Primordial Angular Momentum Assumption,2,relation_latex,81,\mathbf{L}_0 \approx \mathbf{0} \qquad\text{(default null primordial hypothesis)}
88,ID0087,Rotation as a Continuously Generated Quantity,1,elementary_latex,60,\dot{\omega}(t)=\frac{\tau_{\mathrm{em}}(t)}{I_{\mathrm{T}}}
88,ID0087,Rotation as a Continuously Generated Quantity,2,elementary_latex,83,"\omega(t)=\omega(0)+\frac{1}{I_{\mathrm{T}}}\int_{0}^{t}\tau_{\mathrm{em}}(t')\,dt'"
89,ID0088,Local Electromagnetic Field–Driven Rotation,1,operator_latex,102,"\tau_{\mathrm{em}} = \int \mathbf{r}\times\left(\mathbf{J}\times\mathbf{B}+\rho_e\mathbf{E}\right)\,dV"
89,ID0088,Local Electromagnetic Field–Driven Rotation,2,elementary_latex,54,\dot{\omega}=\frac{\tau_{\mathrm{em}}}{I_{\mathrm{T}}}
90,ID0089,FractalNodes Category-Theoretic Isomorphism Across Scales,1,symbolic_latex,53,F: \mathbf{LabGyro} \longrightarrow \mathbf{AstroRot}
90,ID0089,FractalNodes Category-Theoretic Isomorphism Across Scales,2,relation_latex,72,F(g\circ f)=F(g)\circ F(f) \qquad \text{and}\qquad \eta: F \Rightarrow G
91,ID0090,Laboratory ↔ Astrophysical Structural Equivalence,1,relation_latex,49,\Pi_{k}^{\mathrm{lab}} = \Pi_{k}^{\mathrm{astro}}
