equation_id,equation_title,equation_source_file,equation_line_number,equation_domain_family,wolfram_status,anchor_id,anchor_title,anchor_semantic_kind,anchor_domain_family,anchor_source_file,anchor_line_number,mapping_method,line_distance
ID10885,Phone2 Category Type Theory TimeLimit 100ms,_KleisliCategoryNon-DeterministicComputationMonads.txt,177,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,258
ID10886,Phone2 Category Type Theory Sum P Ρ K/k K 0 P-1 + P Ρ P/ P 1-ρ,_KleisliCategoryNon-DeterministicComputationMonads.txt,416,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,19
ID10887,Phone2 Category Type Theory Path Integrate,Quantum-Neural Cartographic Functor.txt,217,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10888,Phone2 Category Type Theory K Xf X T Path Exp I Path /,Quantum-Neural Cartographic Functor.txt,230,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10889,Phone2 Category Type Theory Ψ Sum,Quantum-Neural Cartographic Functor.txt,287,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10890,Phone2 Category Type Theory Form Sum,Quantum-Neural Cartographic Functor.txt,346,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10891,Phone2 Category Type Theory EulerCharacteristic Sum,Quantum-Neural Cartographic Functor.txt,372,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10892,Phone2 Category Type Theory MeasurementEntropy -Sum,Quantum-Neural Cartographic Functor.txt,521,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10893,Phone2 Category Type Theory Cost Placement Sum,_KleisliCategoryNon-DeterministicComputationMonads.txt,147,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,288
ID10894,Phone2 Category Type Theory Init I Threads Queue I,_KleisliCategoryNon-DeterministicComputationMonads.txt,507,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_054,LinearizabilityProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,453,nearest_prior_same_source,54
ID10895,Phone2 Category Type Theory Next I J Threads Task Tasks,_KleisliCategoryNon-DeterministicComputationMonads.txt,519,category_type_theory,wolfram_fragment_carrier_verified,PHONE2_ANCHOR_054,LinearizabilityProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,453,nearest_prior_same_source,66
ID10896,Phone2 Category Type Theory W P Solve E P E Target W 1,_KleisliCategoryNon-DeterministicComputationMonads.txt,567,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_054,LinearizabilityProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,453,nearest_prior_same_source,114
ID10897,Phone2 Category Type Theory QuantumNeuralImpulsePropagator Module,Quantum-Neural Cartographic Functor.txt,201,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10898,Phone2 Category Type Theory N 1000 Ε T/N Paths,Quantum-Neural Cartographic Functor.txt,235,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10899,Phone2 Category Type Theory ClassicalBit If sphereIndex 76800 1 0,Quantum-Neural Cartographic Functor.txt,259,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10900,Phone2 Category Type Theory Text PathComplexity Text Entangled O Left Sqrt Frac,Quantum-Neural Cartographic Functor.txt,658,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10901,Phone2 Category Type Theory Objects Thread I I 1,_KleisliCategoryNon-DeterministicComputationMonads.txt,12,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,423
ID10902,Phone2 Category Type Theory Μ Id Id Δ Δ Μ Id Μ Δ Id,_KleisliCategoryNon-DeterministicComputationMonads.txt,32,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,403
ID10903,Phone2 Category Type Theory F T C Cores T T T C,_KleisliCategoryNon-DeterministicComputationMonads.txt,134,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,301
ID10904,Phone2 Category Type Theory Variables X I C 0 1,_KleisliCategoryNon-DeterministicComputationMonads.txt,169,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,266
ID10905,Phone2 Category Type Theory ChunkSize Mod CacheLineSize 0 Alignment,_KleisliCategoryNon-DeterministicComputationMonads.txt,291,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,144
ID10906,Phone2 Category Type Theory N Length Input Levels Log2 N Tree Sweep,_KleisliCategoryNon-DeterministicComputationMonads.txt,306,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,129
ID10907,Phone2 Category Type Theory InterferenceFreedom I J Statement S J In C J,_KleisliCategoryNon-DeterministicComputationMonads.txt,444,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_prior_same_source,9
ID10908,Phone2 Category Type Theory ReflectionFunctor Origin BaryCenter S 2,AntipodalEntanglementProtocol.txt,29,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_046,AssociativityProof,Proof,category_type_theory,AntipodalEntanglementProtocol.txt,49,nearest_same_source,20
ID10909,Phone2 Category Type Theory Enrichment SymmetricMonoidalCategory /2 -Mod,AntipodalEntanglementProtocol.txt,59,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_048,RightUnitProof,Proof,category_type_theory,AntipodalEntanglementProtocol.txt,53,nearest_prior_same_source,6
ID10910,Phone2 Category Type Theory Cob D D+1 Category,AntipodalEntanglementProtocol.txt,296,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_017,ConvergenceTheorem,Theorem,category_type_theory,AntipodalEntanglementProtocol.txt,246,nearest_prior_same_source,50
ID10911,Phone2 Category Type Theory hilbertSpace TensorProduct 10 11 10 Neurons,Quantum-Neural Cartographic Functor.txt,10,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10912,Phone2 Category Type Theory sphereManifold FibonacciSphere 153600,Quantum-Neural Cartographic Functor.txt,11,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10913,Phone2 Category Type Theory classicalBit If Abs quantumBit 0,Quantum-Neural Cartographic Functor.txt,55,category_type_theory,wolfram_cleanup_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10914,Phone2 Category Type Theory sphereAxis Mod I 153600 + 1,Quantum-Neural Cartographic Functor.txt,56,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10915,Phone2 Category Type Theory Antipodal 153601 - sphereAxis,Quantum-Neural Cartographic Functor.txt,57,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10916,Phone2 Category Type Theory hierarchyLevel Floor Log 10 I + 1,Quantum-Neural Cartographic Functor.txt,58,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10917,Phone2 Category Type Theory U I + 0,Quantum-Neural Cartographic Functor.txt,66,category_type_theory,wolfram_cleanup_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10918,Phone2 Category Type Theory Φ 2π i/GoldenRatio,Quantum-Neural Cartographic Functor.txt,67,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10919,Phone2 Category Type Theory Z 1 - 2u,Quantum-Neural Cartographic Functor.txt,68,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10920,Phone2 Category Type Theory R 1 - Z,Quantum-Neural Cartographic Functor.txt,69,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10921,Phone2 Category Type Theory DepthParameter Α Log sphereAxis + 0,Quantum-Neural Cartographic Functor.txt,74,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10922,Phone2 Category Type Theory sphereMetric DiagonalMatrix 1 Sin Θ 1 S Metric,Quantum-Neural Cartographic Functor.txt,123,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10923,Phone2 Category Type Theory sphereIndex Mod Hash Point SHA256 153600 + 1,Quantum-Neural Cartographic Functor.txt,249,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10924,Phone2 Category Type Theory hierarchyLevel Floor Log 10 Norm Point + 1,Quantum-Neural Cartographic Functor.txt,250,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10925,Phone2 Category Type Theory U sphereIndex + 0,Quantum-Neural Cartographic Functor.txt,251,category_type_theory,wolfram_cleanup_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10926,Phone2 Category Type Theory T Depth Α Log U/ 1-u,Quantum-Neural Cartographic Functor.txt,252,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10927,Phone2 Category Type Theory EntangledAxis 153601 - sphereIndex,Quantum-Neural Cartographic Functor.txt,258,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10928,Phone2 Category Type Theory dW kB T/ RandomVariate NormalDistribution 0 Dt,Quantum-Neural Cartographic Functor.txt,293,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10929,Phone2 Category Type Theory Landscape T Max 0 Min T - Birth Death - T,Quantum-Neural Cartographic Functor.txt,397,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10930,Phone2 Category Type Theory StableRank Count persistenceDiagram B D /,Quantum-Neural Cartographic Functor.txt,407,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10931,Phone2 Category Type Theory TopologicalComplexity Total Map 2 - 1 persistenceDia,Quantum-Neural Cartographic Functor.txt,408,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10932,Phone2 Category Type Theory If I 76800,Quantum-Neural Cartographic Functor.txt,446,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10933,Phone2 Category Type Theory EntanglementWitness Tr Π 1,Quantum-Neural Cartographic Functor.txt,519,category_type_theory,wolfram_cleanup_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10934,Phone2 Category Type Theory ElectrodeArray 1024 Channels 96 Threads,Quantum-Neural Cartographic Functor.txt,539,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10935,Phone2 Category Type Theory SamplingRate Quantity 30000 Hertz,Quantum-Neural Cartographic Functor.txt,540,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10936,Phone2 Category Type Theory BitDepth 10 10-bit ADC,Quantum-Neural Cartographic Functor.txt,541,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10937,Phone2 Category Type Theory SpatialResolution Quantity 50 Micrometers,Quantum-Neural Cartographic Functor.txt,542,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10938,Phone2 Category Type Theory Θ ArcCos 1 - 2 I + 0,Quantum-Neural Cartographic Functor.txt,561,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10939,Phone2 Category Type Theory Depth I + 0,Quantum-Neural Cartographic Functor.txt,563,category_type_theory,wolfram_cleanup_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10940,Phone2 Category Type Theory entangledPartner 153601 - sphereCoordinate,Quantum-Neural Cartographic Functor.txt,579,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10941,Phone2 Category Type Theory SphereAxis Mod Hash nextNeuron 153600 + 1,Quantum-Neural Cartographic Functor.txt,598,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10942,Phone2 Category Type Theory EntangledAxis 153601 - Mod Hash nextNeuron 153600,Quantum-Neural Cartographic Functor.txt,599,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10943,Phone2 Category Type Theory ClassicalBit If Abs quantumState 0,Quantum-Neural Cartographic Functor.txt,601,category_type_theory,wolfram_cleanup_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10944,Phone2 Category Type Theory TemporalResolution Quantity 0,Quantum-Neural Cartographic Functor.txt,641,category_type_theory,wolfram_cleanup_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10945,Phone2 Category Type Theory SpatialAccuracy Quantity 10 Micrometers,Quantum-Neural Cartographic Functor.txt,642,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10946,Phone2 Category Type Theory SimultaneousChannels 76800 Antipodal Pairs,Quantum-Neural Cartographic Functor.txt,643,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10947,Phone2 Category Type Theory InformationCapacity Quantity Log2 153600 30000 Bits,Quantum-Neural Cartographic Functor.txt,644,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10948,Phone2 Category Type Theory Pivot Floor Length Deque /2,_KleisliCategoryNon-DeterministicComputationMonads.txt,23,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,412
ID10949,Phone2 Category Type Theory Top AtomicInteger 0,_KleisliCategoryNon-DeterministicComputationMonads.txt,40,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,395
ID10950,Phone2 Category Type Theory Bottom AtomicInteger 0,_KleisliCategoryNon-DeterministicComputationMonads.txt,41,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,394
ID10951,Phone2 Category Type Theory If Size Array,_KleisliCategoryNon-DeterministicComputationMonads.txt,48,category_type_theory,wolfram_cleanup_expression_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,387
ID10952,Phone2 Category Type Theory Task Array,_KleisliCategoryNon-DeterministicComputationMonads.txt,61,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,374
ID10953,Phone2 Category Type Theory IntraCore Latency 0,_KleisliCategoryNon-DeterministicComputationMonads.txt,124,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,311
ID10954,Phone2 Category Type Theory IntraSocket Latency 10ns,_KleisliCategoryNon-DeterministicComputationMonads.txt,125,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,310
ID10955,Phone2 Category Type Theory InterSocket Latency 100ns,_KleisliCategoryNon-DeterministicComputationMonads.txt,126,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,309
ID10956,Phone2 Category Type Theory RemoteMemory Latency 300ns,_KleisliCategoryNon-DeterministicComputationMonads.txt,127,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,308
ID10957,Phone2 Category Type Theory X I C X J C Compatible C C I J CommunicatingPairs,_KleisliCategoryNon-DeterministicComputationMonads.txt,166,category_type_theory,wolfram_symbolic_carrier_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,269
ID10958,Phone2 Category Type Theory C N2 N/2,_KleisliCategoryNon-DeterministicComputationMonads.txt,245,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,190
