index,name,path,length,status,message
18,AntipodalEntanglement_block_11.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_11.wls,87,parse_error,ToExpression failed
19,AntipodalEntanglementProtocol_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_01.wls,1731,parse_error,ToExpression failed
20,AntipodalEntanglementProtocol_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_02.wls,1583,parse_error,ToExpression failed
21,AntipodalEntanglementProtocol_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_03.wls,1634,parse_error,ToExpression failed
22,AntipodalEntanglementProtocol_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_04.wls,1726,parse_error,ToExpression failed
23,AntipodalEntanglementProtocol_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_05.wls,1553,parse_error,ToExpression failed
24,AntipodalEntanglementProtocol_block_06.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_06.wls,2365,parse_error,ToExpression failed
25,AntipodalEntanglementProtocol_block_07.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_07.wls,4024,parse_error,ToExpression failed
26,AntipodalEntanglementProtocol_block_08.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_08.wls,1504,parse_error,ToExpression failed
27,AntipodalEntanglementProtocol_block_09.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglementProtocol_block_09.wls,1646,parse_ok,parsed under HoldComplete
28,bbmap2_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\bbmap2_block_01.wls,2939,parse_ok,parsed under HoldComplete
29,bbmap2_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\bbmap2_block_02.wls,3684,parse_error,ToExpression failed
30,bbmap2_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\bbmap2_block_03.wls,3304,parse_ok,parsed under HoldComplete
31,bbmap2_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\bbmap2_block_04.wls,3892,parse_ok,parsed under HoldComplete
32,bbmap2_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\bbmap2_block_05.wls,4602,parse_ok,parsed under HoldComplete
33,bbmap2_block_06.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\bbmap2_block_06.wls,950,parse_ok,parsed under HoldComplete
34,BBmaping_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BBmaping_block_01.wls,1368,parse_ok,parsed under HoldComplete
35,BBmaping_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BBmaping_block_02.wls,2006,parse_ok,parsed under HoldComplete
36,BBmaping_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BBmaping_block_03.wls,1980,parse_ok,parsed under HoldComplete
37,BBmaping_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BBmaping_block_04.wls,1505,parse_error,ToExpression failed
38,BBmaping_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BBmaping_block_05.wls,2367,parse_ok,parsed under HoldComplete
39,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_01.wls,780,parse_error,ToExpression failed
40,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_02.wls,1000,parse_error,ToExpression failed
41,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_03.wls,1008,parse_ok,parsed under HoldComplete
42,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_04.wls,1182,parse_ok,parsed under HoldComplete
43,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_05.wls,730,parse_ok,parsed under HoldComplete
44,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_06.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_06.wls,1330,parse_error,ToExpression failed
45,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_07.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_07.wls,749,parse_error,ToExpression failed
46,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_08.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_08.wls,1503,parse_ok,parsed under HoldComplete
47,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_09.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_09.wls,1081,parse_ok,parsed under HoldComplete
48,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_10.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_10.wls,1257,parse_error,ToExpression failed
49,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_11.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_11.wls,935,parse_error,ToExpression failed
50,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_12.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_12.wls,1231,parse_ok,parsed under HoldComplete
51,BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_13.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\BYOB_IFP_Protocol__Hyper_Rigorous_Patent_Formalization_via_Higher_Order_Type_Theoretic_block_13.wls,891,parse_error,ToExpression failed
52,completeme_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\completeme_block_01.wls,151,parse_error,ToExpression failed
53,completeme_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\completeme_block_02.wls,303,parse_error,ToExpression failed
54,DAANSspherewithBYOBIFPProtocol_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\DAANSspherewithBYOBIFPProtocol_block_01.wls,512,parse_ok,parsed under HoldComplete
55,DAANSspherewithBYOBIFPProtocol_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\DAANSspherewithBYOBIFPProtocol_block_02.wls,651,parse_error,ToExpression failed
56,DAANSspherewithBYOBIFPProtocol_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\DAANSspherewithBYOBIFPProtocol_block_03.wls,1042,parse_ok,parsed under HoldComplete
57,DAANSspherewithBYOBIFPProtocol_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\DAANSspherewithBYOBIFPProtocol_block_04.wls,341,parse_ok,parsed under HoldComplete
58,DAANSspherewithBYOBIFPProtocol_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\DAANSspherewithBYOBIFPProtocol_block_05.wls,655,parse_ok,parsed under HoldComplete
59,latext_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\latext_block_01.wls,8460,parse_error,ToExpression failed
60,Quantum_Neural_Cartographic_Functor_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\Quantum_Neural_Cartographic_Functor_block_01.wls,3446,parse_ok,parsed under HoldComplete
61,Quantum_Neural_Cartographic_Functor_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\Quantum_Neural_Cartographic_Functor_block_02.wls,2263,parse_error,ToExpression failed
62,Quantum_Neural_Cartographic_Functor_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\Quantum_Neural_Cartographic_Functor_block_03.wls,3149,parse_error,ToExpression failed
63,Quantum_Neural_Cartographic_Functor_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\Quantum_Neural_Cartographic_Functor_block_04.wls,3012,parse_ok,parsed under HoldComplete
64,Quantum_Neural_Cartographic_Functor_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\Quantum_Neural_Cartographic_Functor_block_05.wls,3410,parse_error,ToExpression failed
65,Quantum_Neural_Cartographic_Functor_block_06.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\Quantum_Neural_Cartographic_Functor_block_06.wls,3681,parse_error,ToExpression failed
66,QuantumP_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\QuantumP_block_01.wls,944,parse_ok,parsed under HoldComplete
67,QuantumP_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\QuantumP_block_02.wls,440,parse_error,ToExpression failed
68,QuantumP_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\QuantumP_block_03.wls,927,parse_ok,parsed under HoldComplete
69,QuantumP_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\QuantumP_block_04.wls,721,parse_error,ToExpression failed
70,QuantumP_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\QuantumP_block_05.wls,823,parse_ok,parsed under HoldComplete
71,UnifiedFieldTopology__Comprehensive_Theory_of_Everything_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\UnifiedFieldTopology__Comprehensive_Theory_of_Everything_block_01.wls,11761,parse_error,ToExpression failed
72,UnifiedFieldTopology__Comprehensive_Theory_of_Everything_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\UnifiedFieldTopology__Comprehensive_Theory_of_Everything_block_02.wls,114,parse_ok,parsed under HoldComplete
73,UnifiedFieldTopology__Comprehensive_Theory_of_Everything_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\UnifiedFieldTopology__Comprehensive_Theory_of_Everything_block_03.wls,128,parse_ok,parsed under HoldComplete
74,UnifiedFieldTopology__Comprehensive_Theory_of_Everything_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\UnifiedFieldTopology__Comprehensive_Theory_of_Everything_block_04.wls,191,parse_ok,parsed under HoldComplete
75,univision_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\univision_block_01.wls,12253,parse_error,ToExpression failed
