scenario,rho_vac,pressure,pressure_derivative,pressure_gap
unit_critical_density,0.097,0.815409,-1.806,0.815409
unit_critical_density,0.098,0.813604,-1.804,0.813604
unit_critical_density,0.099,0.811801,-1.802,0.811801
unit_critical_density,0.1,0.81,-1.8,0.81
unit_critical_density,0.101,0.8082010000000001,-1.798,0.8082010000000001
unit_critical_density,0.10200000000000001,0.806404,-1.796,0.806404
unit_critical_density,0.10300000000000001,0.804609,-1.794,0.804609
unit_critical_density,0.10400000000000001,0.8028160000000001,-1.792,0.8028160000000001
unit_critical_density,0.105,0.801025,-1.79,0.801025
unit_critical_density,0.106,0.7992360000000001,-1.788,0.7992360000000001
unit_critical_density,0.107,0.7974490000000001,-1.786,0.7974490000000001
unit_critical_density,0.108,0.795664,-1.784,0.795664
unit_critical_density,0.109,0.7938810000000001,-1.782,0.7938810000000001
unit_critical_density,0.11,0.7921,-1.78,0.7921
unit_critical_density,0.111,0.790321,-1.778,0.790321
unit_critical_density,0.112,0.788544,-1.776,0.788544
unit_critical_density,0.113,0.786769,-1.774,0.786769
unit_critical_density,0.114,0.784996,-1.772,0.784996
unit_critical_density,0.115,0.7832250000000001,-1.77,0.7832250000000001
unit_critical_density,0.116,0.781456,-1.768,0.781456
unit_critical_density,0.117,0.779689,-1.766,0.779689
unit_critical_density,0.11800000000000001,0.7779240000000001,-1.764,0.7779240000000001
unit_critical_density,0.11900000000000001,0.776161,-1.762,0.776161
unit_critical_density,0.12,0.7744,-1.76,0.7744
unit_critical_density,0.121,0.772641,-1.758,0.772641
unit_critical_density,0.122,0.770884,-1.756,0.770884
unit_critical_density,0.123,0.769129,-1.754,0.769129
unit_critical_density,0.124,0.767376,-1.752,0.767376
unit_critical_density,0.125,0.765625,-1.75,0.765625
unit_critical_density,0.126,0.763876,-1.748,0.763876
unit_critical_density,0.127,0.762129,-1.746,0.762129
unit_critical_density,0.128,0.760384,-1.744,0.760384
unit_critical_density,0.129,0.758641,-1.742,0.758641
unit_critical_density,0.13,0.7569,-1.74,0.7569
unit_critical_density,0.131,0.755161,-1.738,0.755161
unit_critical_density,0.132,0.753424,-1.736,0.753424
unit_critical_density,0.133,0.7516889999999999,-1.734,0.7516889999999999
unit_critical_density,0.134,0.749956,-1.732,0.749956
unit_critical_density,0.135,0.748225,-1.73,0.748225
unit_critical_density,0.136,0.7464959999999999,-1.728,0.7464959999999999
unit_critical_density,0.137,0.744769,-1.726,0.744769
unit_critical_density,0.138,0.7430439999999999,-1.724,0.7430439999999999
unit_critical_density,0.139,0.741321,-1.722,0.741321
unit_critical_density,0.14,0.7395999999999999,-1.72,0.7395999999999999
unit_critical_density,0.14100000000000001,0.737881,-1.718,0.737881
unit_critical_density,0.14200000000000002,0.7361639999999999,-1.716,0.7361639999999999
unit_critical_density,0.14300000000000002,0.734449,-1.714,0.734449
unit_critical_density,0.14400000000000002,0.7327359999999999,-1.712,0.7327359999999999
unit_critical_density,0.145,0.7310249999999999,-1.71,0.7310249999999999
unit_critical_density,0.146,0.729316,-1.708,0.729316
unit_critical_density,0.147,0.727609,-1.706,0.727609
unit_critical_density,0.148,0.725904,-1.704,0.725904
unit_critical_density,0.149,0.724201,-1.702,0.724201
unit_critical_density,0.15,0.7224999999999999,-1.7,0.7224999999999999
unit_critical_density,0.151,0.7208009999999999,-1.698,0.7208009999999999
unit_critical_density,0.152,0.719104,-1.696,0.719104
unit_critical_density,0.153,0.717409,-1.694,0.717409
unit_critical_density,0.154,0.7157159999999999,-1.692,0.7157159999999999
unit_critical_density,0.155,0.7140249999999999,-1.69,0.7140249999999999
unit_critical_density,0.156,0.712336,-1.688,0.712336
unit_critical_density,0.157,0.710649,-1.686,0.710649
unit_critical_density,0.158,0.7089639999999999,-1.684,0.7089639999999999
unit_critical_density,0.159,0.7072809999999999,-1.682,0.7072809999999999
unit_critical_density,0.16,0.7055999999999999,-1.68,0.7055999999999999
unit_critical_density,0.161,0.7039209999999999,-1.678,0.7039209999999999
unit_critical_density,0.162,0.702244,-1.676,0.702244
unit_critical_density,0.163,0.700569,-1.674,0.700569
unit_critical_density,0.164,0.698896,-1.672,0.698896
unit_critical_density,0.165,0.697225,-1.67,0.697225
unit_critical_density,0.166,0.695556,-1.668,0.695556
unit_critical_density,0.167,0.693889,-1.666,0.693889
unit_critical_density,0.168,0.692224,-1.664,0.692224
unit_critical_density,0.169,0.690561,-1.662,0.690561
unit_critical_density,0.17,0.6889,-1.66,0.6889
unit_critical_density,0.171,0.6872409999999999,-1.658,0.6872409999999999
unit_critical_density,0.17200000000000001,0.685584,-1.656,0.685584
unit_critical_density,0.17300000000000001,0.6839289999999999,-1.654,0.6839289999999999
unit_critical_density,0.17400000000000002,0.6822759999999999,-1.652,0.6822759999999999
unit_critical_density,0.17500000000000002,0.6806249999999999,-1.65,0.6806249999999999
unit_critical_density,0.176,0.6789760000000001,-1.6480000000000001,0.6789760000000001
unit_critical_density,0.177,0.677329,-1.646,0.677329
unit_critical_density,0.178,0.6756840000000001,-1.6440000000000001,0.6756840000000001
unit_critical_density,0.179,0.6740409999999999,-1.642,0.6740409999999999
unit_critical_density,0.18,0.6724000000000001,-1.6400000000000001,0.6724000000000001
unit_critical_density,0.181,0.6707609999999999,-1.638,0.6707609999999999
unit_critical_density,0.182,0.669124,-1.6360000000000001,0.669124
unit_critical_density,0.183,0.6674889999999999,-1.634,0.6674889999999999
unit_critical_density,0.184,0.6658560000000001,-1.6320000000000001,0.6658560000000001
unit_critical_density,0.185,0.664225,-1.63,0.664225
unit_critical_density,0.186,0.6625960000000001,-1.6280000000000001,0.6625960000000001
unit_critical_density,0.187,0.6609689999999999,-1.626,0.6609689999999999
unit_critical_density,0.188,0.659344,-1.624,0.659344
unit_critical_density,0.189,0.6577209999999999,-1.6219999999999999,0.6577209999999999
unit_critical_density,0.19,0.6561000000000001,-1.62,0.6561000000000001
unit_critical_density,0.191,0.6544809999999999,-1.6179999999999999,0.6544809999999999
unit_critical_density,0.192,0.6528640000000001,-1.616,0.6528640000000001
unit_critical_density,0.193,0.6512489999999999,-1.6139999999999999,0.6512489999999999
unit_critical_density,0.194,0.6496360000000001,-1.612,0.6496360000000001
unit_critical_density,0.195,0.6480249999999999,-1.6099999999999999,0.6480249999999999
unit_critical_density,0.196,0.6464160000000001,-1.608,0.6464160000000001
unit_critical_density,0.197,0.6448089999999999,-1.6059999999999999,0.6448089999999999
unit_critical_density,0.198,0.6432040000000001,-1.604,0.6432040000000001
unit_critical_density,0.199,0.6416009999999999,-1.6019999999999999,0.6416009999999999
unit_critical_density,0.2,0.6400000000000001,-1.6,0.6400000000000001
unit_critical_density,0.201,0.6384009999999999,-1.5979999999999999,0.6384009999999999
unit_critical_density,0.202,0.636804,-1.596,0.636804
unit_critical_density,0.203,0.6352089999999999,-1.5939999999999999,0.6352089999999999
unit_critical_density,0.20400000000000001,0.6336160000000001,-1.592,0.6336160000000001
unit_critical_density,0.20500000000000002,0.6320249999999998,-1.5899999999999999,0.6320249999999998
unit_critical_density,0.20600000000000002,0.6304360000000001,-1.588,0.6304360000000001
unit_critical_density,0.20700000000000002,0.6288489999999999,-1.5859999999999999,0.6288489999999999
unit_critical_density,0.20800000000000002,0.627264,-1.584,0.627264
unit_critical_density,0.209,0.625681,-1.582,0.625681
unit_critical_density,0.21,0.6241000000000001,-1.58,0.6241000000000001
unit_critical_density,0.211,0.6225210000000001,-1.578,0.6225210000000001
unit_critical_density,0.212,0.620944,-1.576,0.620944
unit_critical_density,0.213,0.6193690000000001,-1.574,0.6193690000000001
unit_critical_density,0.214,0.617796,-1.572,0.617796
unit_critical_density,0.215,0.616225,-1.57,0.616225
unit_critical_density,0.216,0.6146560000000001,-1.568,0.6146560000000001
unit_critical_density,0.217,0.613089,-1.566,0.613089
unit_critical_density,0.218,0.6115240000000001,-1.564,0.6115240000000001
unit_critical_density,0.219,0.6099610000000001,-1.562,0.6099610000000001
unit_critical_density,0.22,0.6084,-1.56,0.6084
unit_critical_density,0.221,0.6068410000000001,-1.558,0.6068410000000001
unit_critical_density,0.222,0.605284,-1.556,0.605284
unit_critical_density,0.223,0.6037290000000001,-1.554,0.6037290000000001
unit_critical_density,0.224,0.602176,-1.552,0.602176
unit_critical_density,0.225,0.6006250000000001,-1.55,0.6006250000000001
unit_critical_density,0.226,0.599076,-1.548,0.599076
unit_critical_density,0.227,0.597529,-1.546,0.597529
unit_critical_density,0.228,0.5959840000000001,-1.544,0.5959840000000001
unit_critical_density,0.229,0.594441,-1.542,0.594441
unit_critical_density,0.23,0.5929,-1.54,0.5929
unit_critical_density,0.231,0.591361,-1.538,0.591361
unit_critical_density,0.232,0.589824,-1.536,0.589824
unit_critical_density,0.233,0.5882890000000001,-1.534,0.5882890000000001
unit_critical_density,0.234,0.586756,-1.532,0.586756
unit_critical_density,0.23500000000000001,0.585225,-1.53,0.585225
unit_critical_density,0.23600000000000002,0.583696,-1.528,0.583696
unit_critical_density,0.23700000000000002,0.582169,-1.526,0.582169
unit_critical_density,0.23800000000000002,0.580644,-1.524,0.580644
unit_critical_density,0.23900000000000002,0.579121,-1.522,0.579121
unit_critical_density,0.24,0.5776,-1.52,0.5776
unit_critical_density,0.241,0.5760810000000001,-1.518,0.5760810000000001
unit_critical_density,0.242,0.574564,-1.516,0.574564
unit_critical_density,0.243,0.573049,-1.514,0.573049
unit_critical_density,0.244,0.571536,-1.512,0.571536
unit_critical_density,0.245,0.570025,-1.51,0.570025
unit_critical_density,0.246,0.568516,-1.508,0.568516
unit_critical_density,0.247,0.567009,-1.506,0.567009
unit_critical_density,0.248,0.565504,-1.504,0.565504
unit_critical_density,0.249,0.564001,-1.502,0.564001
unit_critical_density,0.25,0.5625,-1.5,0.5625
unit_critical_density,0.251,0.561001,-1.498,0.561001
unit_critical_density,0.252,0.559504,-1.496,0.559504
unit_critical_density,0.253,0.558009,-1.494,0.558009
unit_critical_density,0.254,0.556516,-1.492,0.556516
unit_critical_density,0.255,0.555025,-1.49,0.555025
unit_critical_density,0.256,0.553536,-1.488,0.553536
unit_critical_density,0.257,0.552049,-1.486,0.552049
unit_critical_density,0.258,0.5505639999999999,-1.484,0.5505639999999999
unit_critical_density,0.259,0.549081,-1.482,0.549081
unit_critical_density,0.26,0.5476,-1.48,0.5476
unit_critical_density,0.261,0.546121,-1.478,0.546121
unit_critical_density,0.262,0.544644,-1.476,0.544644
unit_critical_density,0.263,0.543169,-1.474,0.543169
unit_critical_density,0.264,0.541696,-1.472,0.541696
unit_critical_density,0.265,0.540225,-1.47,0.540225
unit_critical_density,0.266,0.538756,-1.468,0.538756
unit_critical_density,0.267,0.537289,-1.466,0.537289
unit_critical_density,0.268,0.535824,-1.464,0.535824
unit_critical_density,0.269,0.534361,-1.462,0.534361
unit_critical_density,0.27,0.5328999999999999,-1.46,0.5328999999999999
unit_critical_density,0.271,0.5314409999999999,-1.458,0.5314409999999999
unit_critical_density,0.272,0.529984,-1.456,0.529984
unit_critical_density,0.273,0.5285289999999999,-1.454,0.5285289999999999
unit_critical_density,0.274,0.527076,-1.452,0.527076
unit_critical_density,0.275,0.525625,-1.45,0.525625
unit_critical_density,0.276,0.524176,-1.448,0.524176
unit_critical_density,0.277,0.522729,-1.446,0.522729
unit_critical_density,0.278,0.521284,-1.444,0.521284
unit_critical_density,0.279,0.519841,-1.442,0.519841
unit_critical_density,0.28,0.5184,-1.44,0.5184
unit_critical_density,0.281,0.516961,-1.438,0.516961
unit_critical_density,0.28200000000000003,0.515524,-1.436,0.515524
unit_critical_density,0.28300000000000003,0.5140889999999999,-1.434,0.5140889999999999
unit_critical_density,0.28400000000000003,0.512656,-1.432,0.512656
unit_critical_density,0.28500000000000003,0.5112249999999999,-1.43,0.5112249999999999
unit_critical_density,0.28600000000000003,0.5097959999999999,-1.428,0.5097959999999999
unit_critical_density,0.28700000000000003,0.508369,-1.426,0.508369
unit_critical_density,0.28800000000000003,0.506944,-1.424,0.506944
unit_critical_density,0.289,0.5055210000000001,-1.4220000000000002,0.5055210000000001
unit_critical_density,0.29,0.5041,-1.42,0.5041
unit_critical_density,0.291,0.5026810000000002,-1.4180000000000001,0.5026810000000002
unit_critical_density,0.292,0.5012639999999999,-1.416,0.5012639999999999
unit_critical_density,0.293,0.4998490000000001,-1.4140000000000001,0.4998490000000001
unit_critical_density,0.294,0.49843599999999993,-1.412,0.49843599999999993
unit_critical_density,0.295,0.4970250000000001,-1.4100000000000001,0.4970250000000001
unit_critical_density,0.296,0.49561599999999995,-1.408,0.49561599999999995
unit_critical_density,0.297,0.4942090000000001,-1.4060000000000001,0.4942090000000001
unit_critical_density,0.298,0.49280399999999996,-1.404,0.49280399999999996
unit_critical_density,0.299,0.4914010000000001,-1.4020000000000001,0.4914010000000001
unit_critical_density,0.3,0.48999999999999994,-1.4,0.48999999999999994
unit_critical_density,0.301,0.4886010000000001,-1.3980000000000001,0.4886010000000001
unit_critical_density,0.302,0.4872039999999999,-1.396,0.4872039999999999
unit_critical_density,0.303,0.4858090000000001,-1.3940000000000001,0.4858090000000001
unit_critical_density,0.304,0.48441599999999996,-1.392,0.48441599999999996
unit_critical_density,0.305,0.4830250000000001,-1.3900000000000001,0.4830250000000001
unit_critical_density,0.306,0.48163599999999995,-1.388,0.48163599999999995
unit_critical_density,0.307,0.4802490000000001,-1.3860000000000001,0.4802490000000001
unit_critical_density,0.308,0.47886399999999996,-1.384,0.47886399999999996
unit_critical_density,0.309,0.4774810000000001,-1.3820000000000001,0.4774810000000001
unit_critical_density,0.31,0.4760999999999999,-1.38,0.4760999999999999
unit_critical_density,0.311,0.47472100000000006,-1.3780000000000001,0.47472100000000006
unit_critical_density,0.312,0.47334399999999993,-1.376,0.47334399999999993
unit_critical_density,0.313,0.4719690000000001,-1.374,0.4719690000000001
unit_critical_density,0.314,0.4705959999999999,-1.3719999999999999,0.4705959999999999
unit_critical_density,0.315,0.46922500000000006,-1.37,0.46922500000000006
unit_critical_density,0.316,0.46785599999999994,-1.3679999999999999,0.46785599999999994
unit_critical_density,0.317,0.4664890000000001,-1.366,0.4664890000000001
unit_critical_density,0.318,0.4651239999999999,-1.3639999999999999,0.4651239999999999
unit_critical_density,0.319,0.4637610000000001,-1.362,0.4637610000000001
unit_critical_density,0.32,0.4623999999999999,-1.3599999999999999,0.4623999999999999
unit_critical_density,0.321,0.4610410000000001,-1.358,0.4610410000000001
unit_critical_density,0.322,0.4596839999999999,-1.3559999999999999,0.4596839999999999
unit_critical_density,0.323,0.45832900000000004,-1.354,0.45832900000000004
unit_critical_density,0.324,0.45697599999999994,-1.3519999999999999,0.45697599999999994
unit_critical_density,0.325,0.45562500000000006,-1.35,0.45562500000000006
unit_critical_density,0.326,0.4542759999999999,-1.3479999999999999,0.4542759999999999
unit_critical_density,0.327,0.4529290000000001,-1.346,0.4529290000000001
unit_critical_density,0.328,0.45158399999999993,-1.3439999999999999,0.45158399999999993
unit_critical_density,0.329,0.45024100000000006,-1.342,0.45024100000000006
unit_critical_density,0.33,0.4488999999999999,-1.3399999999999999,0.4488999999999999
unit_critical_density,0.331,0.44756100000000004,-1.338,0.44756100000000004
unit_critical_density,0.332,0.4462239999999999,-1.3359999999999999,0.4462239999999999
unit_critical_density,0.333,0.44488900000000003,-1.334,0.44488900000000003
unit_critical_density,0.334,0.4435559999999999,-1.3319999999999999,0.4435559999999999
unit_critical_density,0.335,0.44222500000000003,-1.33,0.44222500000000003
unit_critical_density,0.336,0.4408959999999999,-1.3279999999999998,0.4408959999999999
unit_critical_density,0.337,0.43956900000000004,-1.326,0.43956900000000004
unit_critical_density,0.338,0.4382439999999999,-1.3239999999999998,0.4382439999999999
unit_critical_density,0.339,0.43692100000000006,-1.322,0.43692100000000006
unit_critical_density,0.34,0.4355999999999999,-1.3199999999999998,0.4355999999999999
unit_critical_density,0.341,0.43428100000000003,-1.318,0.43428100000000003
unit_critical_density,0.342,0.4329639999999999,-1.3159999999999998,0.4329639999999999
unit_critical_density,0.343,0.43164900000000006,-1.314,0.43164900000000006
unit_critical_density,0.34400000000000003,0.4303359999999999,-1.3119999999999998,0.4303359999999999
unit_critical_density,0.34500000000000003,0.42902500000000005,-1.31,0.42902500000000005
unit_critical_density,0.34600000000000003,0.4277159999999999,-1.3079999999999998,0.4277159999999999
unit_critical_density,0.34700000000000003,0.42640900000000004,-1.306,0.42640900000000004
unit_critical_density,0.34800000000000003,0.42510399999999987,-1.3039999999999998,0.42510399999999987
unit_critical_density,0.34900000000000003,0.42380100000000004,-1.302,0.42380100000000004
unit_critical_density,0.35000000000000003,0.4224999999999999,-1.2999999999999998,0.4224999999999999
unit_critical_density,0.35100000000000003,0.42120100000000005,-1.298,0.42120100000000005
unit_critical_density,0.352,0.419904,-1.296,0.419904
unit_critical_density,0.353,0.418609,-1.294,0.418609
unit_critical_density,0.354,0.417316,-1.292,0.417316
unit_critical_density,0.355,0.41602500000000003,-1.29,0.41602500000000003
unit_critical_density,0.356,0.41473600000000005,-1.288,0.41473600000000005
unit_critical_density,0.357,0.413449,-1.286,0.413449
unit_critical_density,0.358,0.41216400000000003,-1.284,0.41216400000000003
unit_critical_density,0.359,0.410881,-1.282,0.410881
unit_critical_density,0.36,0.4096,-1.28,0.4096
unit_critical_density,0.361,0.408321,-1.278,0.408321
unit_critical_density,0.362,0.407044,-1.276,0.407044
unit_critical_density,0.363,0.405769,-1.274,0.405769
unit_critical_density,0.364,0.404496,-1.272,0.404496
unit_critical_density,0.365,0.403225,-1.27,0.403225
unit_critical_density,0.366,0.40195600000000004,-1.268,0.40195600000000004
unit_critical_density,0.367,0.400689,-1.266,0.400689
unit_critical_density,0.368,0.399424,-1.264,0.399424
unit_critical_density,0.369,0.398161,-1.262,0.398161
unit_critical_density,0.37,0.39690000000000003,-1.26,0.39690000000000003
unit_critical_density,0.371,0.395641,-1.258,0.395641
unit_critical_density,0.372,0.394384,-1.256,0.394384
unit_critical_density,0.373,0.393129,-1.254,0.393129
unit_critical_density,0.374,0.391876,-1.252,0.391876
unit_critical_density,0.375,0.390625,-1.25,0.390625
unit_critical_density,0.376,0.389376,-1.248,0.389376
unit_critical_density,0.377,0.388129,-1.246,0.388129
unit_critical_density,0.378,0.386884,-1.244,0.386884
unit_critical_density,0.379,0.385641,-1.242,0.385641
unit_critical_density,0.38,0.3844,-1.24,0.3844
unit_critical_density,0.381,0.383161,-1.238,0.383161
unit_critical_density,0.382,0.381924,-1.236,0.381924
unit_critical_density,0.383,0.380689,-1.234,0.380689
unit_critical_density,0.384,0.379456,-1.232,0.379456
unit_critical_density,0.385,0.378225,-1.23,0.378225
unit_critical_density,0.386,0.376996,-1.228,0.376996
unit_critical_density,0.387,0.37576899999999996,-1.226,0.37576899999999996
unit_critical_density,0.388,0.374544,-1.224,0.374544
unit_critical_density,0.389,0.37332099999999996,-1.222,0.37332099999999996
unit_critical_density,0.39,0.3721,-1.22,0.3721
unit_critical_density,0.391,0.37088099999999996,-1.218,0.37088099999999996
unit_critical_density,0.392,0.369664,-1.216,0.369664
unit_critical_density,0.393,0.36844899999999997,-1.214,0.36844899999999997
unit_critical_density,0.394,0.367236,-1.212,0.367236
unit_critical_density,0.395,0.366025,-1.21,0.366025
unit_critical_density,0.396,0.364816,-1.208,0.364816
unit_critical_density,0.397,0.36360899999999996,-1.206,0.36360899999999996
unit_critical_density,0.398,0.36240399999999995,-1.204,0.36240399999999995
unit_critical_density,0.399,0.361201,-1.202,0.361201
unit_critical_density,0.4,0.36,-1.2,0.36
unit_critical_density,0.401,0.358801,-1.198,0.358801
unit_critical_density,0.402,0.357604,-1.196,0.357604
unit_critical_density,0.403,0.356409,-1.194,0.356409
unit_critical_density,0.404,0.355216,-1.192,0.355216
unit_critical_density,0.405,0.354025,-1.19,0.354025
unit_critical_density,0.406,0.352836,-1.188,0.352836
unit_critical_density,0.40700000000000003,0.351649,-1.186,0.351649
unit_critical_density,0.40800000000000003,0.35046399999999994,-1.184,0.35046399999999994
unit_critical_density,0.40900000000000003,0.34928099999999995,-1.182,0.34928099999999995
unit_critical_density,0.41000000000000003,0.34809999999999997,-1.18,0.34809999999999997
unit_critical_density,0.41100000000000003,0.346921,-1.178,0.346921
unit_critical_density,0.41200000000000003,0.34574399999999994,-1.176,0.34574399999999994
unit_critical_density,0.41300000000000003,0.34456899999999996,-1.174,0.34456899999999996
unit_critical_density,0.41400000000000003,0.343396,-1.172,0.343396
unit_critical_density,0.41500000000000004,0.34222499999999995,-1.17,0.34222499999999995
unit_critical_density,0.41600000000000004,0.34105599999999997,-1.168,0.34105599999999997
unit_critical_density,0.417,0.33988899999999994,-1.166,0.33988899999999994
unit_critical_density,0.418,0.3387240000000001,-1.1640000000000001,0.3387240000000001
unit_critical_density,0.419,0.33756099999999994,-1.162,0.33756099999999994
unit_critical_density,0.42,0.3364000000000001,-1.1600000000000001,0.3364000000000001
unit_critical_density,0.421,0.33524099999999996,-1.158,0.33524099999999996
unit_critical_density,0.422,0.3340840000000001,-1.1560000000000001,0.3340840000000001
unit_critical_density,0.423,0.332929,-1.154,0.332929
unit_critical_density,0.424,0.33177600000000007,-1.1520000000000001,0.33177600000000007
unit_critical_density,0.425,0.33062499999999995,-1.15,0.33062499999999995
unit_critical_density,0.426,0.3294760000000001,-1.1480000000000001,0.3294760000000001
unit_critical_density,0.427,0.3283289999999999,-1.146,0.3283289999999999
unit_critical_density,0.428,0.3271840000000001,-1.1440000000000001,0.3271840000000001
unit_critical_density,0.429,0.32604099999999997,-1.142,0.32604099999999997
unit_critical_density,0.43,0.3249000000000001,-1.1400000000000001,0.3249000000000001
