id,source_file,start_line,end_line,heading,title,canonical_equation,uuid
ID10821,d:\tzpidNEW\getting_closer.md,306,308,4. Entropy correction: the fold creates time-direction,Getting Closer Eq 29: _P={{ G{c^3,\ell_P=\sqrt{\frac{\hbar G}{c^3}},f857b378-a349-5072-8d40-9cba17ba96da
ID10822,d:\tzpidNEW\getting_closer.md,314,326,4. Entropy correction: the fold creates time-direction,Getting Closer Eq 30: T_{^{ eff = T_{^{ matter + T_{^{ sound + {c^4{8 G_P^2 _{^{(1/2),\boxed{ T_{\mu\nu}^{\rm eff} = T_{\mu\nu}^{\rm matter} + T_{\mu\nu}^{\rm sound} + \frac{c^4}{8\pi G\ell_P^2} \Sigma_{\mu\nu}^{(1/2)}. },7284c56f-6f2d-5d6e-84af-5a710e27890e
ID10823,d:\tzpidNEW\getting_closer.md,330,341,4. Entropy correction: the fold creates time-direction,Getting Closer Eq 31: matter stress + sound/resonance stress + entropy-fold stress = effect...,\boxed{ \text{matter stress} + \text{sound/resonance stress} + \text{entropy-fold stress} = \text{effective gravitational source}. },3a5a8d89-9d78-554b-a3a9-02521b1caf3f
ID10824,d:\tzpidNEW\getting_closer.md,347,357,4. Entropy correction: the fold creates time-direction,Getting Closer Eq 32: E_{Bessel S temporal ordering curvature accumulation,\boxed{ \Delta E_{Bessel} \rightarrow \Delta S \rightarrow \text{temporal ordering} \rightarrow \text{curvature accumulation}. },24451d92-4009-5a33-95fc-d4bb8c5859a6
ID10825,d:\tzpidNEW\getting_closer.md,365,374,5. Temporal accumulation kernel,"Getting Closer Eq 33: K(t,) = {1{_{ dec e^{-(t-)/_{ dec (t-)","\boxed{ \mathcal K(t,\tau) = \frac{1}{\tau_{\rm dec}} e^{-(t-\tau)/\tau_{\rm dec}} \Theta(t-\tau). }",c95214b7-554a-55a1-b392-a2add28ae171
ID10826,d:\tzpidNEW\getting_closer.md,380,391,5. Temporal accumulation kernel,"Getting Closer Eq 34: G_{^{ acc(x,t) = {8 G{c^4 _{-^{t K(t,) T_{^{ eff(x,) ,d","\boxed{ \mathcal G_{\mu\nu}^{\rm acc}(x,t) = \frac{8\pi G}{c^4} \int_{-\infty}^{t} \mathcal K(t,\tau) T_{\mu\nu}^{\rm eff}(x,\tau) ,d\tau. }",61ecbd75-6166-5b13-968c-dd13b13dce55
ID10827,d:\tzpidNEW\getting_closer.md,395,413,5. Temporal accumulation kernel,"Getting Closer Eq 35: G_{^{ acc = {8 G{c^4 _{-^{t K(t,) [ T_{^{ matter + T_{^{ sound + {c^4...","\boxed{ \mathcal G_{\mu\nu}^{\rm acc} = \frac{8\pi G}{c^4} \int_{-\infty}^{t} \mathcal K(t,\tau) \left[ T_{\mu\nu}^{\rm matter} + T_{\mu\nu}^{\rm sound} + \frac{c^4}{8\pi G\ell_P^2} \Sigma_{\mu\nu}^{(1/2)} \right] d\tau. }",c6f6df95-05bd-5c94-a302-18c253414196
ID10828,d:\tzpidNEW\getting_closer.md,417,436,5. Temporal accumulation kernel,Getting Closer Eq 36: G_{^{ acc = {8 G{c^4 _{-^{t K T_{^{ matterd + {8 G{c^4 _{-^{t K T_{^{...,\boxed{ \mathcal G_{\mu\nu}^{\rm acc} = \frac{8\pi G}{c^4} \int_{-\infty}^{t} \mathcal K T_{\mu\nu}^{\rm matter}d\tau + \frac{8\pi G}{c^4} \int_{-\infty}^{t} \mathcal K T_{\mu\nu}^{\rm sound}d\tau + \frac{1}{\ell_P^2} \int_{-\infty}^{t} \mathcal K \Sigma_{\mu\nu}^{(1/2)} d\tau. },a663f153-a284-5703-ab1c-71a7036475f4
ID10829,d:\tzpidNEW\getting_closer.md,440,451,5. Temporal accumulation kernel,Getting Closer Eq 37: curvature = accumulated matter + accumulated sound + Planck-scaled ac...,\boxed{ \text{curvature} = \text{accumulated matter} + \text{accumulated sound} + \text{Planck-scaled accumulated entropy-fold correction}. },066ed0b0-7332-5509-93ab-e8e89ec32418
ID10830,d:\tzpidNEW\getting_closer.md,461,466,6. Temporal frame-dragging,Getting Closer Eq 38: J_i^{ eff = {T_{0i^{ eff{c,J_i^{\rm eff} = \frac{T_{0i}^{\rm eff}}{c}.,3b2e192f-4ce2-5144-9c09-4673b7b9e41f
ID10831,d:\tzpidNEW\getting_closer.md,470,484,6. Temporal frame-dragging,"Getting Closer Eq 39: h_{0a^{ acc(X,t) = -{4G{c^3 _{S^3_R dV' G_R(X,X') _{-^{t K(t,) J_a^{...","\boxed{ h_{0a}^{\rm acc}(X,t) = -\frac{4G}{c^3} \int_{S^3_R} dV' G_R(X,X') \int_{-\infty}^{t} \mathcal K(t,\tau) J_a^{\rm eff}(X',\tau) d\tau. }",2a4ae655-a793-5f35-b1b5-b863e5051a28
ID10832,d:\tzpidNEW\getting_closer.md,488,490,6. Temporal frame-dragging,Getting Closer Eq 40: X S^3_R,X\in S^3_R,252427b2-e801-5bf5-9ba7-c4409c1fc565
ID10833,d:\tzpidNEW\getting_closer.md,496,503,6. Temporal frame-dragging,Getting Closer Eq 41: time frame-dragging = temporally accumulated circulating sound/mass/e...,\boxed{ \text{time frame-dragging} = \text{temporally accumulated circulating sound/mass/entropy current}. },7fc87125-a603-5eca-8de0-e8d510c2ccee
ID10834,d:\tzpidNEW\getting_closer.md,515,519,7. Planck-scaled gravitational charge of each particle,Getting Closer Eq 42: q_g(X)={m_X{m_P,\boxed{ q_g(X)=\frac{m_X}{m_P} },8e7a5213-0f9c-5b7f-b191-3b8c1fc50e9c
ID10835,d:\tzpidNEW\getting_closer.md,523,527,7. Planck-scaled gravitational charge of each particle,Getting Closer Eq 43: m_P={{ c{G,\boxed{ m_P=\sqrt{\frac{\hbar c}{G}}. },8067fe99-ade3-565e-a9b9-355b04a65a4a
ID10836,d:\tzpidNEW\getting_closer.md,531,535,7. Planck-scaled gravitational charge of each particle,Getting Closer Eq 44: q_g(X)=m_X{{G{ c,\boxed{ q_g(X)=m_X\sqrt{\frac{G}{\hbar c}}. },c7a0595f-2108-5821-af84-0fa315580e4c
ID10837,d:\tzpidNEW\getting_closer.md,541,550,7. Planck-scaled gravitational charge of each particle,"Getting Closer Eq 45: _G(X,Y) = # {Gm_Xm_Y{ c q_g(X)q_g(Y)","\boxed{ \alpha_G(X,Y) = # \frac{Gm_Xm_Y}{\hbar c} q_g(X)q_g(Y). }",842bcffa-ce54-5e14-a4c0-2cb2a304fd19
ID10838,d:\tzpidNEW\getting_closer.md,565,569,\frac{Gm_Xm_Y}{\hbar c},Getting Closer Eq 46: each new proton adds about 7.6851510^{-20,\boxed{ \text{each new proton adds about }7.68515\times10^{-20} },966d1626-c1a3-5b02-a5a2-5dc7df021c53
ID10839,d:\tzpidNEW\getting_closer.md,571,575,\frac{Gm_Xm_Y}{\hbar c},Getting Closer Eq 47: each new neutron adds about 7.6957410^{-20,\boxed{ \text{each new neutron adds about }7.69574\times10^{-20} },e29ba717-68a4-5f93-9b33-26210b0a9c01
ID10840,d:\tzpidNEW\getting_closer.md,577,581,\frac{Gm_Xm_Y}{\hbar c},Getting Closer Eq 48: each new electron adds about 4.1854610^{-23,\boxed{ \text{each new electron adds about }4.18546\times10^{-23}. },13700193-25b1-5b5b-8967-3b4788172aa4
ID10841,d:\tzpidNEW\getting_closer.md,591,593,8. Periodic table confirmation layer,"Getting Closer Eq 49: Z=atomic number,","Z=\text{atomic number},",f4957de8-dce6-5f95-953b-a88c4584e5aa
ID10842,d:\tzpidNEW\getting_closer.md,595,597,8. Periodic table confirmation layer,"Getting Closer Eq 50: N=neutron number,","N=\text{neutron number},",70c2e219-37bb-56e4-b813-ee13232f7536
ID10843,d:\tzpidNEW\getting_closer.md,599,601,8. Periodic table confirmation layer,"Getting Closer Eq 51: A=Z+N,","A=Z+N,",a4e1a7a5-f461-53b5-b4de-4f68d83f8bb4
ID10844,d:\tzpidNEW\getting_closer.md,605,621,8. Periodic table confirmation layer,"Getting Closer Eq 52: q_g(Z,N) = { Zm_p + Nm_n + Zm_e - E_{ bind/c^2 {m_P","\boxed{ q_g(Z,N) = \frac{ Zm_p + Nm_n + Zm_e - E_{\rm bind}/c^2 }{m_P}. }",a7bf9594-367b-5bee-8477-8d8ed6f0514d
ID10845,d:\tzpidNEW\getting_closer.md,627,634,8. Periodic table confirmation layer,Getting Closer Eq 53: q_g_Z = A_r(Z){m_u{m_P,\boxed{ \langle q_g\rangle_Z = A_r(Z)\frac{m_u}{m_P}. },66574af1-b2e8-5a6c-90d5-9dce9f2a4a10
ID10846,d:\tzpidNEW\getting_closer.md,654,658,8. Periodic table confirmation layer,Getting Closer Eq 54: atomic gravitational charge rises with accumulated particle content,\boxed{ \text{atomic gravitational charge rises with accumulated particle content.} },3e4bfb16-dec5-5833-89f6-cee9a6f6f93f
ID10847,d:\tzpidNEW\getting_closer.md,668,670,9. Law of large numbers: how force becomes smooth geometry,Getting Closer Eq 55: q_g={m{m_P,q_g=\frac{m}{m_P}.,85727902-6789-5892-bb02-2e975ff31f39
ID10848,d:\tzpidNEW\getting_closer.md,674,681,9. Law of large numbers: how force becomes smooth geometry,"Getting Closer Eq 56: Q_g = _{i=1^{Nq_{g,i","\boxed{ Q_g = \sum_{i=1}^{N}q_{g,i}. }",3e131eff-c879-5f4e-8406-2142617c3cf6
ID10849,d:\tzpidNEW\getting_closer.md,685,690,9. Law of large numbers: how force becomes smooth geometry,"Getting Closer Eq 57: q_g = {1{N_{i=1^{Nq_{g,i","\bar q_g = \frac{1}{N}\sum_{i=1}^{N}q_{g,i}.",cdfe64e4-1c6b-5a0d-b97a-13aa03aca8f4
ID10850,d:\tzpidNEW\getting_closer.md,694,704,9. Law of large numbers: how force becomes smooth geometry,Getting Closer Eq 58: q_g E[q_g] as N,\boxed{ \bar q_g \rightarrow \mathbb E[q_g] \quad \text{as} \quad N\rightarrow\infty. },cfeb444f-9459-541e-97f3-df58a69d6afb
ID10851,d:\tzpidNEW\getting_closer.md,708,714,9. Law of large numbers: how force becomes smooth geometry,Getting Closer Eq 59: _{ q {_q{{N,\boxed{ \sigma_{\bar q} \sim \frac{\sigma_q}{\sqrt{N}}. },b9469867-5a0f-57be-94e2-20d962ae48fd
ID10852,d:\tzpidNEW\getting_closer.md,718,722,9. Law of large numbers: how force becomes smooth geometry,Getting Closer Eq 60: single-particle gravitational charge is tiny and noisy;,\boxed{ \text{single-particle gravitational charge is tiny and noisy;} },0bc92a39-2200-5963-b8da-d3985e841c8b
ID10853,d:\tzpidNEW\getting_closer.md,724,728,9. Law of large numbers: how force becomes smooth geometry,Getting Closer Eq 61: bulk accumulated gravitational charge becomes smooth and geometric,\boxed{ \text{bulk accumulated gravitational charge becomes smooth and geometric.} },95d61037-9388-53a3-8514-3dae91e04ab5
ID10854,d:\tzpidNEW\getting_closer.md,732,742,9. Law of large numbers: how force becomes smooth geometry,Getting Closer Eq 62: particle counting large-number smoothing effective stress-energy curv...,\boxed{ \text{particle counting} \rightarrow \text{large-number smoothing} \rightarrow \text{effective stress-energy} \rightarrow \text{curvature}. },5d6174af-badc-5265-8626-6ee9d0504b46
ID10855,d:\tzpidNEW\getting_closer.md,756,762,10. Final compact theory statement,"Getting Closer Eq 63: =+{d-2{2, d=4 =+1","\boxed{ \nu=\ell+\frac{d-2}{2}, \qquad d=4\Rightarrow \nu=\ell+1 }",6827bb54-e69c-5ef2-835a-0c41a3c5a552
ID10856,d:\tzpidNEW\getting_closer.md,764,772,10. Final compact theory statement,"Getting Closer Eq 64: E_{1/2 = v_s {j_{,q-j_{-12,q{R","\boxed{ \Delta E_{1/2} = \hbar v_s \frac{j_{\nu,q}-j_{\nu-\frac12,q}}{R} }",82f53cc9-b3cc-564f-b4c6-72edd2ebe67f
ID10857,d:\tzpidNEW\getting_closer.md,774,783,10. Final compact theory statement,Getting Closer Eq 65: _{^{(1/2) = _P^2 (__-g_{) ({ S_{1/2{k_B),\boxed{ \Sigma_{\mu\nu}^{(1/2)} = \ell_P^2 (\nabla_\mu\nabla_\nu-g_{\mu\nu}\Box) \left(\frac{\Delta S_{1/2}}{k_B}\right) },83686158-a5a3-572f-9aba-7b3b97ca622b
ID10858,d:\tzpidNEW\getting_closer.md,785,803,10. Final compact theory statement,"Getting Closer Eq 66: G_{^{ acc = {8 G{c^4 _{-^{t K(t,) [ T_{^{ matter + T_{^{ sound + {c^4...","\boxed{ \mathcal G_{\mu\nu}^{\rm acc} = \frac{8\pi G}{c^4} \int_{-\infty}^{t} \mathcal K(t,\tau) \left[ T_{\mu\nu}^{\rm matter} + T_{\mu\nu}^{\rm sound} + \frac{c^4}{8\pi G\ell_P^2} \Sigma_{\mu\nu}^{(1/2)} \right] d\tau }",63c51ef2-6190-5271-b3e8-dfa9c718b988
ID10859,d:\tzpidNEW\getting_closer.md,811,820,10. Final compact theory statement,"Getting Closer Eq 67: q_g(Z,N) = { Zm_p+Nm_n+Zm_e-E_{ bind/c^2 {m_P","\boxed{ q_g(Z,N) = \frac{ Zm_p+Nm_n+Zm_e-E_{\rm bind}/c^2 }{m_P}. }",eeb682fa-66b3-5df7-a946-4a9cd37abf5a
ID10860,d:\tzpidNEW\getting_closer.md,824,830,10. Final compact theory statement,"Getting Closer Eq 68: Mass-energy becomes geometry because resonant field energy, particle...","\boxed{ \textbf{ Mass-energy becomes geometry because resonant field energy, particle count, and entropy-producing Bessel-fold defects accumulate through a causal temporal kernel until their large-number average becomes smooth curvature. } }",f095ca74-6f97-59c5-aaa8-1fa5d3e9dfc8
