id,title,status,message,held_head,free_symbol_count,wolfram_candidate,canonical_equation
ID10886,Phone2 Category Type Theory Sum P Ρ K/k K 0 P-1 + P Ρ P/ P 1-ρ,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,"Sum[(p*rho)^k/k!, {k, 0, p-1}] + (p*rho)^p/(p!*(1-rho))","Sum[(p*ρ)^k/k!, {k, 0, p-1}] + (p*ρ)^p/(p!(1-ρ)),"
ID10887,Phone2 Category Type Theory Path Integrate,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,Action[path_] := Integrate[,𝒮[path_] := Integrate[
ID10888,Phone2 Category Type Theory K Xf X T Path Exp I Path /,wolfram_needs_cleanup,likely_fragment,,not_parsed,"K[xf, x0, T] == IntegrateMeasureD[path] Exp[I Action[path]/hbar] *","K[xf, x₀, T] = ∫𝒟[path] Exp[I 𝒮[path]/ħ] *"
ID10889,Phone2 Category Type Theory Ψ Sum,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,Lagrangian[psi] == Sum[,ℒ[ψ] = Sum[
ID10890,Phone2 Category Type Theory Form Sum,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,form == Sum[,form = Sum[
ID10891,Phone2 Category Type Theory EulerCharacteristic Sum,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"""EulerCharacteristic"" -> Sum[","""EulerCharacteristic"" → Sum["
ID10892,Phone2 Category Type Theory MeasurementEntropy -Sum,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"""MeasurementEntropy"" -> -Sum[","""MeasurementEntropy"" → -Sum["
ID10893,Phone2 Category Type Theory Cost Placement Sum,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,Cost[placement_] := Sum[,Cost[placement_] := Sum[
ID10894,Phone2 Category Type Theory Init I Threads Queue I,wolfram_parse_error,ToExpression failed,,not_parsed,Init == ∈ Threads: queue[i] = ⟨⟩,"Init == ∀ i ∈ Threads: queue[i] = ⟨⟩,"
ID10895,Phone2 Category Type Theory Next I J Threads Task Tasks,wolfram_parse_error,ToExpression failed,,not_parsed,"Next == j ∈ Threads, task ∈ Tasks:","Next == ∃ i,j ∈ Threads, task ∈ Tasks:"
ID10896,Phone2 Category Type Theory W P Solve E P E Target W 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,"W[p] = Solve[E[p] == E$target, W][[1]]","W[p] = Solve[E[p] == E_target, W][[1]]"
ID10897,Phone2 Category Type Theory QuantumNeuralImpulsePropagator Module,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,QuantumNeuralImpulsePropagator := Module[,QuantumNeuralImpulsePropagator := Module[
ID10898,Phone2 Category Type Theory N 1000 Ε T/N Paths,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,"{N == 1000, ε = T/N, paths}","{N = 1000, ε = T/N, paths},"
ID10899,Phone2 Category Type Theory ClassicalBit If sphereIndex 76800 1 0,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,"""ClassicalBit"" -> If[sphereIndex <= 76800, 1, 0]","""ClassicalBit"" → If[sphereIndex ≤ 76800, 1, 0]"
ID10900,Phone2 Category Type Theory Text PathComplexity Text Entangled O Left Sqrt Frac,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,PathComplexity_{entangled} == O(Sqrt[(N)/(76800)]) < PathComplexity_{classical} = O(N),\text{PathComplexity}_{\text{entangled}} = O\left(\sqrt{\frac{N}{76800}}\right) < \text{PathComplexity}_{\text{classical}} = O(N)
ID10901,Phone2 Category Type Theory Objects Thread I I 1,wolfram_parse_error,ToExpression failed,,not_parsed,Objects -> {Thread[i] | i ∈ {1,Objects → {Thread[i] | i ∈ {1
ID10902,Phone2 Category Type Theory Μ Id Id Δ Δ Μ Id Μ Δ Id,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,(mu CircleTimes Id) @* (Id CircleTimes Δ) == Δ @* mu == (Id CircleTimes mu) @* (Δ CircleTimes Id),(μ ⊗ Id) ∘ (Id ⊗ Δ) == Δ ∘ μ == (Id ⊗ μ) ∘ (Δ ⊗ Id)
ID10903,Phone2 Category Type Theory F T C Cores T T T C,wolfram_parse_error,ToExpression failed,,not_parsed,f[T] == {c ∈ Cores | ∈ T: t ⊆ c},"f[T] = {c ∈ Cores | ∃t ∈ T: t ⊆ c},"
ID10904,Phone2 Category Type Theory Variables X I C 0 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,"Variables -> x[i,c] ∈ {0,1}","Variables → x[i,c] ∈ {0,1}"
ID10905,Phone2 Category Type Theory ChunkSize Mod CacheLineSize 0 Alignment,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,ChunkSize mod CacheLineSize == 0,"ChunkSize mod CacheLineSize == 0, (* Alignment *)"
ID10906,Phone2 Category Type Theory N Length Input Levels Log2 N Tree Sweep,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,5,"{n == Length[input], levels = Log2[n], tree, sweep}","{n = Length[input], levels = Log2[n], tree, sweep},"
ID10907,Phone2 Category Type Theory InterferenceFreedom I J Statement S J In C J,wolfram_parse_error,ToExpression failed,,not_parsed,"InterferenceFreedom := ≠ j, s$j in C$j:","InterferenceFreedom := ∀ i ≠ j, ∀ statement s_j in C_j:"
ID10908,Phone2 Category Type Theory ReflectionFunctor Origin BaryCenter S 2,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,ReflectionFunctor[origin -> BaryCenter[S^2]],"ReflectionFunctor[origin → BaryCenter[S^2]],"
ID10909,Phone2 Category Type Theory Enrichment SymmetricMonoidalCategory /2 -Mod,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,Enrichment -> SymmetricMonoidalCategory[ℤ/2ℤ-Mod],"Enrichment → SymmetricMonoidalCategory[ℤ/2ℤ-Mod],"
ID10910,Phone2 Category Type Theory Cob D D+1 Category,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"Cob_{d,d+1} == Category[","Cob_{d,d+1} = Category["
ID10911,Phone2 Category Type Theory hilbertSpace TensorProduct 10 11 10 Neurons,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,hilbertSpace == TensorProduct[CircleTimesᵢ₌1^{10^11} ℂ^2],"hilbertSpace = TensorProduct[⊗ᵢ₌₁^{10^11} ℂ²], (* 10¹¹ neurons *)"
ID10912,Phone2 Category Type Theory sphereManifold FibonacciSphere 153600,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,sphereManifold == FibonacciSphere[153600],"sphereManifold = FibonacciSphere[153600],"
ID10913,Phone2 Category Type Theory classicalBit If Abs quantumBit 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,classicalBit == If[Abs[quantumBit]^2 > 0,classicalBit = If[Abs[quantumBit]² > 0
ID10914,Phone2 Category Type Theory sphereAxis Mod I 153600 + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,"sphereAxis == Mod[i, 153600] + 1","sphereAxis = Mod[i, 153600] + 1,"
ID10915,Phone2 Category Type Theory Antipodal 153601 - sphereAxis,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,antipodal == 153601 - sphereAxis,"antipodal = 153601 - sphereAxis,"
ID10916,Phone2 Category Type Theory hierarchyLevel Floor Log 10 I + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,"hierarchyLevel == Floor[Log[10, i + 1]]","hierarchyLevel = Floor[Log[10, i + 1]]"
ID10917,Phone2 Category Type Theory U I + 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,u == (i + 0,u = (i + 0
ID10918,Phone2 Category Type Theory Φ 2π i/GoldenRatio,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,phi == 2Pi i/GoldenRatio,"φ = 2π i/GoldenRatio,"
ID10919,Phone2 Category Type Theory Z 1 - 2u,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,z == 1 - 2u,"z = 1 - 2u,"
ID10920,Phone2 Category Type Theory R 1 - Z,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,r == Sqrt(1 - z^2),r = √(1 - z²)
ID10921,Phone2 Category Type Theory DepthParameter Α Log sphereAxis + 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"""DepthParameter"" -> alpha Log[(sphereAxis + 0","""DepthParameter"" → α Log[(sphereAxis + 0"
ID10922,Phone2 Category Type Theory sphereMetric DiagonalMatrix 1 Sin Θ 1 S Metric,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,"sphereMetric == DiagonalMatrix[{1, Sin[theta]^2, 1}]","sphereMetric = DiagonalMatrix[{1, Sin[θ]², 1}], (* S² metric *)"
ID10923,Phone2 Category Type Theory sphereIndex Mod Hash Point SHA256 153600 + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,"sphereIndex == Mod[Hash[point, ""SHA256""], 153600] + 1","sphereIndex = Mod[Hash[point, ""SHA256""], 153600] + 1"
ID10924,Phone2 Category Type Theory hierarchyLevel Floor Log 10 Norm Point + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,"hierarchyLevel == Floor[Log[10, Norm[point] + 1]]","hierarchyLevel = Floor[Log[10, Norm[point] + 1]]"
ID10925,Phone2 Category Type Theory U sphereIndex + 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,u == (sphereIndex + 0,u = (sphereIndex + 0
ID10926,Phone2 Category Type Theory T Depth Α Log U/ 1-u,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,t$depth == alpha Log[u/(1-u)],t_depth = α Log[u/(1-u)]
ID10927,Phone2 Category Type Theory EntangledAxis 153601 - sphereIndex,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,"""EntangledAxis"" -> 153601 - sphereIndex","""EntangledAxis"" → 153601 - sphereIndex,"
ID10928,Phone2 Category Type Theory dW kB T/ RandomVariate NormalDistribution 0 Dt,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,5,"dW == Sqrt(kB T/hbar) RandomVariate[NormalDistribution[0, dt]]","dW = √(kB T/ħ) RandomVariate[NormalDistribution[0, dt]]"
ID10929,Phone2 Category Type Theory Landscape T Max 0 Min T - Birth Death - T,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,"landscape[t_] := Max[0, Min[t - birth, death - t]]","landscape[t_] := Max[0, Min[t - birth, death - t]]"
ID10930,Phone2 Category Type Theory StableRank Count persistenceDiagram B D /,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"""StableRank"" -> Count[persistenceDiagram, {b_, d_} /","""StableRank"" → Count[persistenceDiagram, {b_, d_} /"
ID10931,Phone2 Category Type Theory TopologicalComplexity Total Map 2 - 1 persistenceDia,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,"""TopologicalComplexity"" -> Total[Map[(#[[2]] - #[[1]])^2 &, persistenceDiagram]]","""TopologicalComplexity"" → Total[Map[(#[[2]] - #[[1]])² &, persistenceDiagram]]"
ID10932,Phone2 Category Type Theory If I 76800,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,If[i <= 76800,"If[i ≤ 76800,"
ID10933,Phone2 Category Type Theory EntanglementWitness Tr Π 1,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"""EntanglementWitness"" -> Tr[Product[[1","""EntanglementWitness"" → Tr[Π[[1"
ID10934,Phone2 Category Type Theory ElectrodeArray 1024 Channels 96 Threads,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,0,"""ElectrodeArray"" -> ""1024 channels * 96 threads""","""ElectrodeArray"" → ""1024 channels × 96 threads"","
ID10935,Phone2 Category Type Theory SamplingRate Quantity 30000 Hertz,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,0,"""SamplingRate"" -> Quantity[30000, ""Hertz""]","""SamplingRate"" → Quantity[30000, ""Hertz""],"
ID10936,Phone2 Category Type Theory BitDepth 10 10-bit ADC,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,0,"""BitDepth"" -> 10","""BitDepth"" → 10, (* 10-bit ADC *)"
ID10937,Phone2 Category Type Theory SpatialResolution Quantity 50 Micrometers,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,0,"""SpatialResolution"" -> Quantity[50, ""Micrometers""]","""SpatialResolution"" → Quantity[50, ""Micrometers""],"
ID10938,Phone2 Category Type Theory Θ ArcCos 1 - 2 I + 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,theta == ArcCos[1 - 2(i + 0,θ = ArcCos[1 - 2(i + 0
ID10939,Phone2 Category Type Theory Depth I + 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,depth == (i + 0,depth = (i + 0
ID10940,Phone2 Category Type Theory entangledPartner 153601 - sphereCoordinate,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,entangledPartner == 153601 - sphereCoordinate,"entangledPartner = 153601 - sphereCoordinate,"
ID10941,Phone2 Category Type Theory SphereAxis Mod Hash nextNeuron 153600 + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,"""SphereAxis"" -> Mod[Hash[nextNeuron], 153600] + 1","""SphereAxis"" → Mod[Hash[nextNeuron], 153600] + 1,"
ID10942,Phone2 Category Type Theory EntangledAxis 153601 - Mod Hash nextNeuron 153600,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,"""EntangledAxis"" -> 153601 - Mod[Hash[nextNeuron], 153600]","""EntangledAxis"" → 153601 - Mod[Hash[nextNeuron], 153600],"
ID10943,Phone2 Category Type Theory ClassicalBit If Abs quantumState 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"""ClassicalBit"" -> If[Abs[quantumState]^2 > 0","""ClassicalBit"" → If[Abs[quantumState]² > 0"
ID10944,Phone2 Category Type Theory TemporalResolution Quantity 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"""TemporalResolution"" -> Quantity[0","""TemporalResolution"" → Quantity[0"
ID10945,Phone2 Category Type Theory SpatialAccuracy Quantity 10 Micrometers,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,0,"""SpatialAccuracy"" -> Quantity[10, ""Micrometers""]","""SpatialAccuracy"" → Quantity[10, ""Micrometers""],"
ID10946,Phone2 Category Type Theory SimultaneousChannels 76800 Antipodal Pairs,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,0,"""SimultaneousChannels"" -> 76800","""SimultaneousChannels"" → 76800, (* Antipodal pairs *)"
ID10947,Phone2 Category Type Theory InformationCapacity Quantity Log2 153600 30000 Bits,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,0,"""InformationCapacity"" -> Quantity[Log2[153600] * 30000, ""Bits""/""Second""]","""InformationCapacity"" → Quantity[Log2[153600] * 30000, ""Bits""/""Second""]"
ID10948,Phone2 Category Type Theory Pivot Floor Length Deque /2,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,pivot == Floor[Length[deque]/2],pivot = Floor[Length[deque]/2]
ID10949,Phone2 Category Type Theory Top AtomicInteger 0,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,top == AtomicInteger[0],"top = AtomicInteger[0],"
ID10950,Phone2 Category Type Theory Bottom AtomicInteger 0,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,bottom == AtomicInteger[0],"bottom = AtomicInteger[0],"
ID10951,Phone2 Category Type Theory If Size Array,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,If[size >= array,If[size >= array
ID10952,Phone2 Category Type Theory Task Array,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,task == array,task = array
ID10953,Phone2 Category Type Theory IntraCore Latency 0,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,IntraCore -> Latency[~0,IntraCore → Latency[~0
ID10954,Phone2 Category Type Theory IntraSocket Latency 10ns,wolfram_parse_error,ToExpression failed,,not_parsed,IntraSocket -> Latency[~10ns],"IntraSocket → Latency[~10ns],"
ID10955,Phone2 Category Type Theory InterSocket Latency 100ns,wolfram_parse_error,ToExpression failed,,not_parsed,InterSocket -> Latency[~100ns],"InterSocket → Latency[~100ns],"
ID10956,Phone2 Category Type Theory RemoteMemory Latency 300ns,wolfram_parse_error,ToExpression failed,,not_parsed,RemoteMemory -> Latency[~300ns],RemoteMemory → Latency[~300ns]
ID10957,Phone2 Category Type Theory X I C X J C Compatible C C I J CommunicatingPairs,wolfram_parse_error,ToExpression failed,,not_parsed,"x[i,c] * x[j,c'] <= Compatible[c,c'], ∀(i,j) ∈ CommunicatingPairs","x[i,c] * x[j,c'] <= Compatible[c,c'], ∀(i,j) ∈ CommunicatingPairs"
ID10958,Phone2 Category Type Theory C N2 N/2,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,"{C, n2 == n/2}","{C, n2 = n/2},"
ID10959,Phone2 Category Type Theory A11 A12 A21 A22 Quadrants A,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,5,"{A11, A12, A21, A22} == Quadrants[A]","{A11, A12, A21, A22} = Quadrants[A]"
ID10960,Phone2 Category Type Theory B11 B12 B21 B22 Quadrants B,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,5,"{B11, B12, B21, B22} == Quadrants[B]","{B11, B12, B21, B22} = Quadrants[B]"
ID10961,Phone2 Category Type Theory C11 RecursiveMultiply A11 B11 N2 +,wolfram_needs_cleanup,likely_fragment,,not_parsed,"C11 == RecursiveMultiply[A11, B11, n2] +","C11 = RecursiveMultiply[A11, B11, n2] +"
ID10962,Phone2 Category Type Theory C12 RecursiveMultiply A11 B12 N2 +,wolfram_needs_cleanup,likely_fragment,,not_parsed,"C12 == RecursiveMultiply[A11, B12, n2] +","C12 = RecursiveMultiply[A11, B12, n2] +"
ID10963,Phone2 Category Type Theory C21 RecursiveMultiply A21 B11 N2 +,wolfram_needs_cleanup,likely_fragment,,not_parsed,"C21 == RecursiveMultiply[A21, B11, n2] +","C21 = RecursiveMultiply[A21, B11, n2] +"
ID10964,Phone2 Category Type Theory C22 RecursiveMultiply A21 B12 N2 +,wolfram_needs_cleanup,likely_fragment,,not_parsed,"C22 == RecursiveMultiply[A21, B12, n2] +","C22 = RecursiveMultiply[A21, B12, n2] +"
ID10965,Phone2 Category Type Theory L1Size 32KB,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,L1Size == 32KB,"L1Size = 32KB,"
ID10966,Phone2 Category Type Theory L2Size 256KB,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,L2Size == 256KB,"L2Size = 256KB,"
ID10967,Phone2 Category Type Theory L3Size 8MB,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,L3Size == 8MB,"L3Size = 8MB,"
ID10968,Phone2 Category Type Theory WorkingSetSize 3 ChunkSize ElementSize A B C Tiles,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,WorkingSetSize == 3 * ChunkSize * ElementSize,"WorkingSetSize = 3 * ChunkSize * ElementSize, (* A, B, C tiles *)"
ID10969,Phone2 Category Type Theory WorkingSetSize 0,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,WorkingSetSize <= 0,WorkingSetSize <= 0
ID10970,Phone2 Category Type Theory ChunkSize 64 Typically Optimal For Double Precision,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,ChunkSize == 64 (* Typically optimal for double precision */,ChunkSize = 64 (* Typically optimal for double precision */
ID10971,Phone2 Category Type Theory Tree 2 L+1 K + 2 L,wolfram_parse_error,ToExpression failed,,not_parsed,tree[[2^(l+1)*k + 2^l]] ==,tree[[2^(l+1)*k + 2^l]] =
ID10972,Phone2 Category Type Theory Left 2 L+1 K,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,left == 2^(l+1)*k,left = 2^(l+1)*k
ID10973,Phone2 Category Type Theory Right Left + 2 L,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,right == left + 2^l,right = left + 2^l
ID10974,Phone2 Category Type Theory Boundary 0 Non-negative Queue Length,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,Boundary -> 0,Boundary → 0 (* Non-negative queue length *)
ID10975,Phone2 Category Type Theory P Max M 1 - 1 - 1/n D M - 1 - 2/n D M,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,P$max[m] == (1 - (1 - 1/n)^d)^m - (1 - 2/n)^(d*m),"P_max[m] = (1 - (1 - 1/n)^d)^m - (1 - 2/n)^(d*m),"
ID10976,Phone2 Category Type Theory E Max Log N /Log D + O 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,E$max == Log[n]/Log[d] + O[1],"E_max = Log[n]/Log[d] + O[1],"
ID10977,Phone2 Category Type Theory P MaxLoad E Max + T N Exp -d T / 2n,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,5,P[MaxLoad > E$max + t] <= n * Exp[-d * t^2/(2n)],P[MaxLoad > E_max + t] <= n * Exp[-d * t²/(2n)]
ID10978,Phone2 Category Type Theory D Optimal 2 Two-choice Paradigm,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,1,d$optimal == 2,d_optimal = 2 (* Two-choice paradigm *)
ID10979,Phone2 Category Type Theory C I Max E Φ Ball I Bin J - E Φ Ball I Bin K,wolfram_parse_error,ToExpression failed,,not_parsed,c$i == Max[|E[Phi | ball i -> bin j] - E[Phi | ball i -> bin k]|],c_i = Max[|E[Φ | ball i → bin j] - E[Φ | ball i → bin k]|]
ID10980,Phone2 Category Type Theory P Wait P Ρ P/ P,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,P$wait == (p*rho)^p/(p,P_wait = (p*ρ)^p/(p
ID10981,Phone2 Category Type Theory W Avg 1/μ + P Wait/ P Μ 1-ρ,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,5,W$avg == 1/mu + P$wait/(p*mu*(1-rho)),"W_avg = 1/μ + P_wait/(p*μ*(1-ρ)),"
ID10982,Phone2 Category Type Theory P W T P Wait Exp - P Μ 1-ρ T,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,6,P[W > t] == P$wait * Exp[-(p*mu*(1-rho))*t],P[W > t] = P_wait * Exp[-(p*μ*(1-ρ))*t]
ID10983,Phone2 Category Type Theory Distribution PDF P T CDF F T Mean W Avg,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,"Distribution[PDF -> p[t], CDF -> F[t], Mean -> W$avg]","Distribution[PDF → p[t], CDF → F[t], Mean → W_avg]"
ID10984,Phone2 Category Type Theory InvariantPreservation I S I In C I,wolfram_parse_error,ToExpression failed,,not_parsed,InvariantPreservation := _i in C$i:,"InvariantPreservation := ∀ i, ∀ s_i in C_i:"
ID10985,Phone2 Category Type Theory H Sequence Op 1 T 1 Op 2 T 2,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,"H == Sequence[op$1[t$1], op$2[t$2]","H = Sequence[op_1[t_1], op_2[t_2],"
ID10986,Phone2 Category Type Theory VC Thread I Table 0 J 1 NumThreads,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,"VC[thread$i] == Table[0, {j, 1, NumThreads}]","VC[thread_i] = Table[0, {j, 1, NumThreads}],"
