minted_id,atomic_index,proposed_id,source_file,line_number,domain_family,wolfram_status
ID10887,137,PHONE2_NEXT+0137,Quantum-Neural Cartographic Functor.txt,217,category_type_theory,file_has_parse_clean_wolfram
ID10888,138,PHONE2_NEXT+0138,Quantum-Neural Cartographic Functor.txt,230,category_type_theory,file_has_parse_clean_wolfram
ID10889,139,PHONE2_NEXT+0139,Quantum-Neural Cartographic Functor.txt,287,category_type_theory,file_has_parse_clean_wolfram
ID10890,140,PHONE2_NEXT+0140,Quantum-Neural Cartographic Functor.txt,346,category_type_theory,file_has_parse_clean_wolfram
ID10891,141,PHONE2_NEXT+0141,Quantum-Neural Cartographic Functor.txt,372,category_type_theory,file_has_parse_clean_wolfram
ID10892,142,PHONE2_NEXT+0142,Quantum-Neural Cartographic Functor.txt,521,category_type_theory,file_has_parse_clean_wolfram
ID10893,178,PHONE2_NEXT+0178,_KleisliCategoryNon-DeterministicComputationMonads.txt,147,category_type_theory,file_has_parse_clean_wolfram
ID10894,179,PHONE2_NEXT+0179,_KleisliCategoryNon-DeterministicComputationMonads.txt,507,category_type_theory,file_has_parse_clean_wolfram
ID10895,180,PHONE2_NEXT+0180,_KleisliCategoryNon-DeterministicComputationMonads.txt,519,category_type_theory,file_has_parse_clean_wolfram
ID10896,181,PHONE2_NEXT+0181,_KleisliCategoryNon-DeterministicComputationMonads.txt,567,category_type_theory,file_has_parse_clean_wolfram
ID10897,250,PHONE2_NEXT+0250,Quantum-Neural Cartographic Functor.txt,201,category_type_theory,file_has_parse_clean_wolfram
ID10898,251,PHONE2_NEXT+0251,Quantum-Neural Cartographic Functor.txt,235,category_type_theory,file_has_parse_clean_wolfram
ID10899,252,PHONE2_NEXT+0252,Quantum-Neural Cartographic Functor.txt,259,category_type_theory,file_has_parse_clean_wolfram
ID10900,253,PHONE2_NEXT+0253,Quantum-Neural Cartographic Functor.txt,658,category_type_theory,file_has_parse_clean_wolfram
ID10901,351,PHONE2_NEXT+0351,_KleisliCategoryNon-DeterministicComputationMonads.txt,12,category_type_theory,file_has_parse_clean_wolfram
ID10902,352,PHONE2_NEXT+0352,_KleisliCategoryNon-DeterministicComputationMonads.txt,32,category_type_theory,file_has_parse_clean_wolfram
ID10903,353,PHONE2_NEXT+0353,_KleisliCategoryNon-DeterministicComputationMonads.txt,134,category_type_theory,file_has_parse_clean_wolfram
ID10904,354,PHONE2_NEXT+0354,_KleisliCategoryNon-DeterministicComputationMonads.txt,169,category_type_theory,file_has_parse_clean_wolfram
ID10905,355,PHONE2_NEXT+0355,_KleisliCategoryNon-DeterministicComputationMonads.txt,291,category_type_theory,file_has_parse_clean_wolfram
ID10906,356,PHONE2_NEXT+0356,_KleisliCategoryNon-DeterministicComputationMonads.txt,306,category_type_theory,file_has_parse_clean_wolfram
ID10907,357,PHONE2_NEXT+0357,_KleisliCategoryNon-DeterministicComputationMonads.txt,444,category_type_theory,file_has_parse_clean_wolfram
ID10908,429,PHONE2_NEXT+0429,AntipodalEntanglementProtocol.txt,29,category_type_theory,file_has_parse_clean_wolfram
ID10909,435,PHONE2_NEXT+0435,AntipodalEntanglementProtocol.txt,59,category_type_theory,file_has_parse_clean_wolfram
ID10910,455,PHONE2_NEXT+0455,AntipodalEntanglementProtocol.txt,296,category_type_theory,file_has_parse_clean_wolfram
ID10911,583,PHONE2_NEXT+0583,Quantum-Neural Cartographic Functor.txt,10,category_type_theory,file_has_parse_clean_wolfram
ID10912,584,PHONE2_NEXT+0584,Quantum-Neural Cartographic Functor.txt,11,category_type_theory,file_has_parse_clean_wolfram
ID10913,585,PHONE2_NEXT+0585,Quantum-Neural Cartographic Functor.txt,55,category_type_theory,file_has_parse_clean_wolfram
ID10914,586,PHONE2_NEXT+0586,Quantum-Neural Cartographic Functor.txt,56,category_type_theory,file_has_parse_clean_wolfram
ID10915,587,PHONE2_NEXT+0587,Quantum-Neural Cartographic Functor.txt,57,category_type_theory,file_has_parse_clean_wolfram
ID10916,588,PHONE2_NEXT+0588,Quantum-Neural Cartographic Functor.txt,58,category_type_theory,file_has_parse_clean_wolfram
ID10917,589,PHONE2_NEXT+0589,Quantum-Neural Cartographic Functor.txt,66,category_type_theory,file_has_parse_clean_wolfram
ID10918,590,PHONE2_NEXT+0590,Quantum-Neural Cartographic Functor.txt,67,category_type_theory,file_has_parse_clean_wolfram
ID10919,591,PHONE2_NEXT+0591,Quantum-Neural Cartographic Functor.txt,68,category_type_theory,file_has_parse_clean_wolfram
ID10920,592,PHONE2_NEXT+0592,Quantum-Neural Cartographic Functor.txt,69,category_type_theory,file_has_parse_clean_wolfram
ID10921,593,PHONE2_NEXT+0593,Quantum-Neural Cartographic Functor.txt,74,category_type_theory,file_has_parse_clean_wolfram
ID10922,594,PHONE2_NEXT+0594,Quantum-Neural Cartographic Functor.txt,123,category_type_theory,file_has_parse_clean_wolfram
ID10923,595,PHONE2_NEXT+0595,Quantum-Neural Cartographic Functor.txt,249,category_type_theory,file_has_parse_clean_wolfram
ID10924,596,PHONE2_NEXT+0596,Quantum-Neural Cartographic Functor.txt,250,category_type_theory,file_has_parse_clean_wolfram
ID10925,597,PHONE2_NEXT+0597,Quantum-Neural Cartographic Functor.txt,251,category_type_theory,file_has_parse_clean_wolfram
ID10926,598,PHONE2_NEXT+0598,Quantum-Neural Cartographic Functor.txt,252,category_type_theory,file_has_parse_clean_wolfram
ID10927,599,PHONE2_NEXT+0599,Quantum-Neural Cartographic Functor.txt,258,category_type_theory,file_has_parse_clean_wolfram
ID10928,600,PHONE2_NEXT+0600,Quantum-Neural Cartographic Functor.txt,293,category_type_theory,file_has_parse_clean_wolfram
ID10929,601,PHONE2_NEXT+0601,Quantum-Neural Cartographic Functor.txt,397,category_type_theory,file_has_parse_clean_wolfram
ID10930,602,PHONE2_NEXT+0602,Quantum-Neural Cartographic Functor.txt,407,category_type_theory,file_has_parse_clean_wolfram
ID10931,603,PHONE2_NEXT+0603,Quantum-Neural Cartographic Functor.txt,408,category_type_theory,file_has_parse_clean_wolfram
ID10932,604,PHONE2_NEXT+0604,Quantum-Neural Cartographic Functor.txt,446,category_type_theory,file_has_parse_clean_wolfram
ID10933,605,PHONE2_NEXT+0605,Quantum-Neural Cartographic Functor.txt,519,category_type_theory,file_has_parse_clean_wolfram
ID10934,606,PHONE2_NEXT+0606,Quantum-Neural Cartographic Functor.txt,539,category_type_theory,file_has_parse_clean_wolfram
ID10935,607,PHONE2_NEXT+0607,Quantum-Neural Cartographic Functor.txt,540,category_type_theory,file_has_parse_clean_wolfram
ID10936,608,PHONE2_NEXT+0608,Quantum-Neural Cartographic Functor.txt,541,category_type_theory,file_has_parse_clean_wolfram
ID10937,609,PHONE2_NEXT+0609,Quantum-Neural Cartographic Functor.txt,542,category_type_theory,file_has_parse_clean_wolfram
ID10938,610,PHONE2_NEXT+0610,Quantum-Neural Cartographic Functor.txt,561,category_type_theory,file_has_parse_clean_wolfram
ID10939,611,PHONE2_NEXT+0611,Quantum-Neural Cartographic Functor.txt,563,category_type_theory,file_has_parse_clean_wolfram
ID10940,612,PHONE2_NEXT+0612,Quantum-Neural Cartographic Functor.txt,579,category_type_theory,file_has_parse_clean_wolfram
ID10941,613,PHONE2_NEXT+0613,Quantum-Neural Cartographic Functor.txt,598,category_type_theory,file_has_parse_clean_wolfram
ID10942,614,PHONE2_NEXT+0614,Quantum-Neural Cartographic Functor.txt,599,category_type_theory,file_has_parse_clean_wolfram
ID10943,615,PHONE2_NEXT+0615,Quantum-Neural Cartographic Functor.txt,601,category_type_theory,file_has_parse_clean_wolfram
ID10944,616,PHONE2_NEXT+0616,Quantum-Neural Cartographic Functor.txt,641,category_type_theory,file_has_parse_clean_wolfram
ID10945,617,PHONE2_NEXT+0617,Quantum-Neural Cartographic Functor.txt,642,category_type_theory,file_has_parse_clean_wolfram
ID10946,618,PHONE2_NEXT+0618,Quantum-Neural Cartographic Functor.txt,643,category_type_theory,file_has_parse_clean_wolfram
ID10947,619,PHONE2_NEXT+0619,Quantum-Neural Cartographic Functor.txt,644,category_type_theory,file_has_parse_clean_wolfram
ID10948,845,PHONE2_NEXT+0845,_KleisliCategoryNon-DeterministicComputationMonads.txt,23,category_type_theory,file_has_parse_clean_wolfram
ID10949,846,PHONE2_NEXT+0846,_KleisliCategoryNon-DeterministicComputationMonads.txt,40,category_type_theory,file_has_parse_clean_wolfram
ID10950,847,PHONE2_NEXT+0847,_KleisliCategoryNon-DeterministicComputationMonads.txt,41,category_type_theory,file_has_parse_clean_wolfram
ID10951,848,PHONE2_NEXT+0848,_KleisliCategoryNon-DeterministicComputationMonads.txt,48,category_type_theory,file_has_parse_clean_wolfram
ID10952,849,PHONE2_NEXT+0849,_KleisliCategoryNon-DeterministicComputationMonads.txt,61,category_type_theory,file_has_parse_clean_wolfram
ID10953,850,PHONE2_NEXT+0850,_KleisliCategoryNon-DeterministicComputationMonads.txt,124,category_type_theory,file_has_parse_clean_wolfram
ID10954,851,PHONE2_NEXT+0851,_KleisliCategoryNon-DeterministicComputationMonads.txt,125,category_type_theory,file_has_parse_clean_wolfram
ID10955,852,PHONE2_NEXT+0852,_KleisliCategoryNon-DeterministicComputationMonads.txt,126,category_type_theory,file_has_parse_clean_wolfram
ID10956,853,PHONE2_NEXT+0853,_KleisliCategoryNon-DeterministicComputationMonads.txt,127,category_type_theory,file_has_parse_clean_wolfram
ID10957,854,PHONE2_NEXT+0854,_KleisliCategoryNon-DeterministicComputationMonads.txt,166,category_type_theory,file_has_parse_clean_wolfram
ID10958,855,PHONE2_NEXT+0855,_KleisliCategoryNon-DeterministicComputationMonads.txt,245,category_type_theory,file_has_parse_clean_wolfram
ID10959,856,PHONE2_NEXT+0856,_KleisliCategoryNon-DeterministicComputationMonads.txt,253,category_type_theory,file_has_parse_clean_wolfram
ID10960,857,PHONE2_NEXT+0857,_KleisliCategoryNon-DeterministicComputationMonads.txt,254,category_type_theory,file_has_parse_clean_wolfram
ID10961,858,PHONE2_NEXT+0858,_KleisliCategoryNon-DeterministicComputationMonads.txt,257,category_type_theory,file_has_parse_clean_wolfram
ID10962,859,PHONE2_NEXT+0859,_KleisliCategoryNon-DeterministicComputationMonads.txt,259,category_type_theory,file_has_parse_clean_wolfram
ID10963,860,PHONE2_NEXT+0860,_KleisliCategoryNon-DeterministicComputationMonads.txt,261,category_type_theory,file_has_parse_clean_wolfram
ID10964,861,PHONE2_NEXT+0861,_KleisliCategoryNon-DeterministicComputationMonads.txt,263,category_type_theory,file_has_parse_clean_wolfram
ID10965,862,PHONE2_NEXT+0862,_KleisliCategoryNon-DeterministicComputationMonads.txt,280,category_type_theory,file_has_parse_clean_wolfram
ID10966,863,PHONE2_NEXT+0863,_KleisliCategoryNon-DeterministicComputationMonads.txt,281,category_type_theory,file_has_parse_clean_wolfram
ID10967,864,PHONE2_NEXT+0864,_KleisliCategoryNon-DeterministicComputationMonads.txt,282,category_type_theory,file_has_parse_clean_wolfram
ID10968,865,PHONE2_NEXT+0865,_KleisliCategoryNon-DeterministicComputationMonads.txt,285,category_type_theory,file_has_parse_clean_wolfram
ID10969,866,PHONE2_NEXT+0866,_KleisliCategoryNon-DeterministicComputationMonads.txt,289,category_type_theory,file_has_parse_clean_wolfram
ID10970,867,PHONE2_NEXT+0867,_KleisliCategoryNon-DeterministicComputationMonads.txt,297,category_type_theory,file_has_parse_clean_wolfram
ID10971,868,PHONE2_NEXT+0868,_KleisliCategoryNon-DeterministicComputationMonads.txt,312,category_type_theory,file_has_parse_clean_wolfram
ID10972,869,PHONE2_NEXT+0869,_KleisliCategoryNon-DeterministicComputationMonads.txt,324,category_type_theory,file_has_parse_clean_wolfram
ID10973,870,PHONE2_NEXT+0870,_KleisliCategoryNon-DeterministicComputationMonads.txt,325,category_type_theory,file_has_parse_clean_wolfram
ID10974,871,PHONE2_NEXT+0871,_KleisliCategoryNon-DeterministicComputationMonads.txt,365,category_type_theory,file_has_parse_clean_wolfram
ID10975,872,PHONE2_NEXT+0872,_KleisliCategoryNon-DeterministicComputationMonads.txt,375,category_type_theory,file_has_parse_clean_wolfram
ID10976,873,PHONE2_NEXT+0873,_KleisliCategoryNon-DeterministicComputationMonads.txt,378,category_type_theory,file_has_parse_clean_wolfram
ID10977,874,PHONE2_NEXT+0874,_KleisliCategoryNon-DeterministicComputationMonads.txt,381,category_type_theory,file_has_parse_clean_wolfram
ID10978,875,PHONE2_NEXT+0875,_KleisliCategoryNon-DeterministicComputationMonads.txt,385,category_type_theory,file_has_parse_clean_wolfram
ID10979,876,PHONE2_NEXT+0876,_KleisliCategoryNon-DeterministicComputationMonads.txt,400,category_type_theory,file_has_parse_clean_wolfram
ID10980,877,PHONE2_NEXT+0877,_KleisliCategoryNon-DeterministicComputationMonads.txt,415,category_type_theory,file_has_parse_clean_wolfram
ID10981,878,PHONE2_NEXT+0878,_KleisliCategoryNon-DeterministicComputationMonads.txt,419,category_type_theory,file_has_parse_clean_wolfram
ID10982,879,PHONE2_NEXT+0879,_KleisliCategoryNon-DeterministicComputationMonads.txt,422,category_type_theory,file_has_parse_clean_wolfram
ID10983,880,PHONE2_NEXT+0880,_KleisliCategoryNon-DeterministicComputationMonads.txt,425,category_type_theory,file_has_parse_clean_wolfram
ID10984,881,PHONE2_NEXT+0881,_KleisliCategoryNon-DeterministicComputationMonads.txt,448,category_type_theory,file_has_parse_clean_wolfram
ID10985,882,PHONE2_NEXT+0882,_KleisliCategoryNon-DeterministicComputationMonads.txt,456,category_type_theory,file_has_parse_clean_wolfram
ID10986,883,PHONE2_NEXT+0883,_KleisliCategoryNon-DeterministicComputationMonads.txt,477,category_type_theory,file_has_parse_clean_wolfram
ID10987,884,PHONE2_NEXT+0884,_KleisliCategoryNon-DeterministicComputationMonads.txt,526,category_type_theory,file_has_parse_clean_wolfram
ID10988,885,PHONE2_NEXT+0885,_KleisliCategoryNon-DeterministicComputationMonads.txt,546,category_type_theory,file_has_parse_clean_wolfram
ID10989,886,PHONE2_NEXT+0886,_KleisliCategoryNon-DeterministicComputationMonads.txt,578,category_type_theory,file_has_parse_clean_wolfram
ID10990,887,PHONE2_NEXT+0887,_KleisliCategoryNon-DeterministicComputationMonads.txt,579,category_type_theory,file_has_parse_clean_wolfram
ID10991,1016,PHONE2_NEXT+1016,AntipodalEntanglementProtocol.txt,30,category_type_theory,file_has_parse_clean_wolfram
ID10992,1017,PHONE2_NEXT+1017,AntipodalEntanglementProtocol.txt,41,category_type_theory,file_has_parse_clean_wolfram
ID10993,1050,PHONE2_NEXT+1050,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,304,category_type_theory,file_has_parse_clean_wolfram
ID10994,1061,PHONE2_NEXT+1061,Quantum-Neural Cartographic Functor.txt,176,category_type_theory,file_has_parse_clean_wolfram
ID10995,1062,PHONE2_NEXT+1062,Quantum-Neural Cartographic Functor.txt,183,category_type_theory,file_has_parse_clean_wolfram
ID10996,1063,PHONE2_NEXT+1063,Quantum-Neural Cartographic Functor.txt,183,category_type_theory,file_has_parse_clean_wolfram
ID10997,1064,PHONE2_NEXT+1064,Quantum-Neural Cartographic Functor.txt,662,category_type_theory,file_has_parse_clean_wolfram
ID10998,1100,PHONE2_NEXT+1100,UnifiedFieldTopology- Comprehensive Theory of Everything.txt,24,category_type_theory,file_has_parse_clean_wolfram
ID10999,1104,PHONE2_NEXT+1104,_KleisliCategoryNon-DeterministicComputationMonads.txt,13,category_type_theory,file_has_parse_clean_wolfram
ID11000,1105,PHONE2_NEXT+1105,_KleisliCategoryNon-DeterministicComputationMonads.txt,15,category_type_theory,file_has_parse_clean_wolfram
ID11001,1106,PHONE2_NEXT+1106,_KleisliCategoryNon-DeterministicComputationMonads.txt,20,category_type_theory,file_has_parse_clean_wolfram
ID11002,1107,PHONE2_NEXT+1107,_KleisliCategoryNon-DeterministicComputationMonads.txt,27,category_type_theory,file_has_parse_clean_wolfram
ID11003,1108,PHONE2_NEXT+1108,_KleisliCategoryNon-DeterministicComputationMonads.txt,46,category_type_theory,file_has_parse_clean_wolfram
ID11004,1109,PHONE2_NEXT+1109,_KleisliCategoryNon-DeterministicComputationMonads.txt,46,category_type_theory,file_has_parse_clean_wolfram
ID11005,1110,PHONE2_NEXT+1110,_KleisliCategoryNon-DeterministicComputationMonads.txt,56,category_type_theory,file_has_parse_clean_wolfram
ID11006,1111,PHONE2_NEXT+1111,_KleisliCategoryNon-DeterministicComputationMonads.txt,74,category_type_theory,file_has_parse_clean_wolfram
ID11007,1112,PHONE2_NEXT+1112,_KleisliCategoryNon-DeterministicComputationMonads.txt,74,category_type_theory,file_has_parse_clean_wolfram
ID11008,1113,PHONE2_NEXT+1113,_KleisliCategoryNon-DeterministicComputationMonads.txt,98,category_type_theory,file_has_parse_clean_wolfram
ID11009,1114,PHONE2_NEXT+1114,_KleisliCategoryNon-DeterministicComputationMonads.txt,137,category_type_theory,file_has_parse_clean_wolfram
ID11010,1115,PHONE2_NEXT+1115,_KleisliCategoryNon-DeterministicComputationMonads.txt,140,category_type_theory,file_has_parse_clean_wolfram
ID11011,1116,PHONE2_NEXT+1116,_KleisliCategoryNon-DeterministicComputationMonads.txt,188,category_type_theory,file_has_parse_clean_wolfram
ID11012,1117,PHONE2_NEXT+1117,_KleisliCategoryNon-DeterministicComputationMonads.txt,363,category_type_theory,file_has_parse_clean_wolfram
ID11013,1118,PHONE2_NEXT+1118,_KleisliCategoryNon-DeterministicComputationMonads.txt,364,category_type_theory,file_has_parse_clean_wolfram
ID11014,1119,PHONE2_NEXT+1119,_KleisliCategoryNon-DeterministicComputationMonads.txt,440,category_type_theory,file_has_parse_clean_wolfram
ID11015,1120,PHONE2_NEXT+1120,_KleisliCategoryNon-DeterministicComputationMonads.txt,468,category_type_theory,file_has_parse_clean_wolfram
ID11016,1121,PHONE2_NEXT+1121,_KleisliCategoryNon-DeterministicComputationMonads.txt,509,category_type_theory,file_has_parse_clean_wolfram
ID11017,1122,PHONE2_NEXT+1122,_KleisliCategoryNon-DeterministicComputationMonads.txt,510,category_type_theory,file_has_parse_clean_wolfram
ID11018,1123,PHONE2_NEXT+1123,_KleisliCategoryNon-DeterministicComputationMonads.txt,510,category_type_theory,file_has_parse_clean_wolfram
ID11019,1124,PHONE2_NEXT+1124,_KleisliCategoryNon-DeterministicComputationMonads.txt,512,category_type_theory,file_has_parse_clean_wolfram
ID11020,1125,PHONE2_NEXT+1125,_KleisliCategoryNon-DeterministicComputationMonads.txt,523,category_type_theory,file_has_parse_clean_wolfram
ID11021,1126,PHONE2_NEXT+1126,_KleisliCategoryNon-DeterministicComputationMonads.txt,529,category_type_theory,file_has_parse_clean_wolfram
ID11022,1138,PHONE2_NEXT+1138,AntipodalEntanglement.txt,102,category_type_theory,file_has_parse_clean_wolfram
ID11023,1139,PHONE2_NEXT+1139,AntipodalEntanglement.txt,118,category_type_theory,file_has_parse_clean_wolfram
ID11024,1192,PHONE2_NEXT+1192,AntipodalEntanglementProtocol.txt,8,category_type_theory,file_has_parse_clean_wolfram
ID11025,1193,PHONE2_NEXT+1193,AntipodalEntanglementProtocol.txt,10,category_type_theory,file_has_parse_clean_wolfram
ID11026,1194,PHONE2_NEXT+1194,AntipodalEntanglementProtocol.txt,11,category_type_theory,file_has_parse_clean_wolfram
ID11027,1198,PHONE2_NEXT+1198,AntipodalEntanglementProtocol.txt,27,category_type_theory,file_has_parse_clean_wolfram
ID11028,1199,PHONE2_NEXT+1199,AntipodalEntanglementProtocol.txt,28,category_type_theory,file_has_parse_clean_wolfram
ID11029,1201,PHONE2_NEXT+1201,AntipodalEntanglementProtocol.txt,40,category_type_theory,file_has_parse_clean_wolfram
ID11030,1369,PHONE2_NEXT+1369,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,8,category_type_theory,file_has_parse_clean_wolfram
ID11031,1370,PHONE2_NEXT+1370,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,10,category_type_theory,file_has_parse_clean_wolfram
ID11032,1372,PHONE2_NEXT+1372,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,12,category_type_theory,file_has_parse_clean_wolfram
ID11033,1399,PHONE2_NEXT+1399,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,182,category_type_theory,file_has_parse_clean_wolfram
ID11034,1413,PHONE2_NEXT+1413,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,302,category_type_theory,file_has_parse_clean_wolfram
ID11035,1414,PHONE2_NEXT+1414,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,310,category_type_theory,file_has_parse_clean_wolfram
ID11036,1416,PHONE2_NEXT+1416,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,312,category_type_theory,file_has_parse_clean_wolfram
ID11037,1417,PHONE2_NEXT+1417,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,315,category_type_theory,file_has_parse_clean_wolfram
ID11038,1419,PHONE2_NEXT+1419,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,317,category_type_theory,file_has_parse_clean_wolfram
ID11039,1420,PHONE2_NEXT+1420,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,320,category_type_theory,file_has_parse_clean_wolfram
ID11040,1422,PHONE2_NEXT+1422,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,322,category_type_theory,file_has_parse_clean_wolfram
ID11041,1491,PHONE2_NEXT+1491,Quantum-Neural Cartographic Functor.txt,4,category_type_theory,file_has_parse_clean_wolfram
ID11042,1492,PHONE2_NEXT+1492,Quantum-Neural Cartographic Functor.txt,8,category_type_theory,file_has_parse_clean_wolfram
ID11043,1493,PHONE2_NEXT+1493,Quantum-Neural Cartographic Functor.txt,16,category_type_theory,file_has_parse_clean_wolfram
ID11044,1494,PHONE2_NEXT+1494,Quantum-Neural Cartographic Functor.txt,25,category_type_theory,file_has_parse_clean_wolfram
ID11045,1495,PHONE2_NEXT+1495,Quantum-Neural Cartographic Functor.txt,32,category_type_theory,file_has_parse_clean_wolfram
ID11046,1496,PHONE2_NEXT+1496,Quantum-Neural Cartographic Functor.txt,34,category_type_theory,file_has_parse_clean_wolfram
ID11047,1497,PHONE2_NEXT+1497,Quantum-Neural Cartographic Functor.txt,50,category_type_theory,file_has_parse_clean_wolfram
ID11048,1498,PHONE2_NEXT+1498,Quantum-Neural Cartographic Functor.txt,54,category_type_theory,file_has_parse_clean_wolfram
ID11049,1499,PHONE2_NEXT+1499,Quantum-Neural Cartographic Functor.txt,61,category_type_theory,file_has_parse_clean_wolfram
ID11050,1500,PHONE2_NEXT+1500,Quantum-Neural Cartographic Functor.txt,62,category_type_theory,file_has_parse_clean_wolfram
ID11051,1501,PHONE2_NEXT+1501,Quantum-Neural Cartographic Functor.txt,63,category_type_theory,file_has_parse_clean_wolfram
ID11052,1502,PHONE2_NEXT+1502,Quantum-Neural Cartographic Functor.txt,64,category_type_theory,file_has_parse_clean_wolfram
ID11053,1503,PHONE2_NEXT+1503,Quantum-Neural Cartographic Functor.txt,73,category_type_theory,file_has_parse_clean_wolfram
ID11054,1504,PHONE2_NEXT+1504,Quantum-Neural Cartographic Functor.txt,76,category_type_theory,file_has_parse_clean_wolfram
ID11055,1505,PHONE2_NEXT+1505,Quantum-Neural Cartographic Functor.txt,84,category_type_theory,file_has_parse_clean_wolfram
ID11056,1506,PHONE2_NEXT+1506,Quantum-Neural Cartographic Functor.txt,94,category_type_theory,file_has_parse_clean_wolfram
ID11057,1507,PHONE2_NEXT+1507,Quantum-Neural Cartographic Functor.txt,95,category_type_theory,file_has_parse_clean_wolfram
ID11058,1508,PHONE2_NEXT+1508,Quantum-Neural Cartographic Functor.txt,96,category_type_theory,file_has_parse_clean_wolfram
ID11059,1509,PHONE2_NEXT+1509,Quantum-Neural Cartographic Functor.txt,97,category_type_theory,file_has_parse_clean_wolfram
ID11060,1510,PHONE2_NEXT+1510,Quantum-Neural Cartographic Functor.txt,103,category_type_theory,file_has_parse_clean_wolfram
ID11061,1511,PHONE2_NEXT+1511,Quantum-Neural Cartographic Functor.txt,104,category_type_theory,file_has_parse_clean_wolfram
ID11062,1512,PHONE2_NEXT+1512,Quantum-Neural Cartographic Functor.txt,114,category_type_theory,file_has_parse_clean_wolfram
ID11063,1513,PHONE2_NEXT+1513,Quantum-Neural Cartographic Functor.txt,121,category_type_theory,file_has_parse_clean_wolfram
ID11064,1514,PHONE2_NEXT+1514,Quantum-Neural Cartographic Functor.txt,124,category_type_theory,file_has_parse_clean_wolfram
ID11065,1515,PHONE2_NEXT+1515,Quantum-Neural Cartographic Functor.txt,126,category_type_theory,file_has_parse_clean_wolfram
ID11066,1516,PHONE2_NEXT+1516,Quantum-Neural Cartographic Functor.txt,133,category_type_theory,file_has_parse_clean_wolfram
ID11067,1517,PHONE2_NEXT+1517,Quantum-Neural Cartographic Functor.txt,146,category_type_theory,file_has_parse_clean_wolfram
ID11068,1518,PHONE2_NEXT+1518,Quantum-Neural Cartographic Functor.txt,150,category_type_theory,file_has_parse_clean_wolfram
ID11069,1519,PHONE2_NEXT+1519,Quantum-Neural Cartographic Functor.txt,158,category_type_theory,file_has_parse_clean_wolfram
