queue_index,source,id,name,kind,obligation_role,semantic_anchor_id,source_file,line,translation_status,translation_class,duplicate_source_id_name
112,master_registry,ID9902,"Relation: π,Δ_topological/N_max",Theorem,,,,,batch005_started,topology_vector_segment,no
113,master_registry,ID9931,"Relation: Ω[T^2 × T^2, π, DAAN]",Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
114,master_registry,ID9973,Spectral Inversion Theory: S_obs(ω),Theorem,,,,,batch012_started,operator_spectral_followup_segment,no
115,master_registry,ID9989,Toroidal Boundary Condition: ∫∫_T^2 K DA,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
116,master_registry,ID9990,Topological Constraints: ∫∫_Σ K DA + ∫_∂Σ κ_g Ds,Theorem,,,,,batch005_started,topology_vector_segment,no
117,proof_obligations,ID0000,lemma trawinisticmanifold: sorry theorem trawinisticmanifold : Prop Theorem trawinisticmanifold :,Theorem,Needs_Semantic_Translation,ID0000,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,234,batch008_started,geometry_manifold_segment,no
118,proof_obligations,ID0017,lemma tzptopologicalcharge: sorry theorem tzptopologicalcharge : Theorem tzptopologicalcharge :,Theorem,Needs_Semantic_Translation,ID0017,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2180,batch005_started,topology_vector_segment,no
119,proof_obligations,ID0002,lemma manifoldcurvature: sorry theorem manifoldcurvature : Prop Theorem manifoldcurvature : Prop.,Theorem,Needs_Semantic_Translation,ID0002,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1457,batch008_started,geometry_manifold_segment,no
120,proof_obligations,ID0016,lemma tzpcurvaturesingularity: theorem tzpcurvaturesingularity : Theorem tzpcurvaturesingularity :,Theorem,Needs_Semantic_Translation,ID0016,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1931,batch008_started,geometry_manifold_segment,no
121,proof_obligations,ID0044,lemma gyromagneticcoupling: sorry theorem gyromagneticcoupling : Theorem gyromagneticcoupling :,Theorem,Needs_Semantic_Translation,ID0044,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3840,phase2_already_started,existing_phase2_family,no
122,proof_obligations,ID0020,lemma trawinisticwindingnumber: theorem trawinisticwindingnumber : Theorem trawinisticwindingnumber :,Theorem,Needs_Semantic_Translation,ID0020,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1771,batch008_started,geometry_manifold_segment,no
123,proof_obligations,ID0006,lemma tzpvacuumenergydensity: theorem tzpvacuumenergydensity : Theorem tzpvacuumenergydensity :,Theorem,Needs_Semantic_Translation,ID0006,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2090,batch004_started,remaining_candidate_real_algebra,no
124,proof_obligations,ID0032,lemma leastactiontzp: sorry theorem leastactiontzp : Prop := Theorem leastactiontzp : Prop.,Theorem,Needs_Semantic_Translation,ID0032,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2848,batch008_started,geometry_manifold_segment,no
125,proof_obligations,ID0041,lemma helicityscaleconstraint: theorem helicityscaleconstraint : Theorem helicityscaleconstraint :,Theorem,Needs_Semantic_Translation,ID0041,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3592,batch005_started,topology_vector_segment,no
126,proof_obligations,ID0065,lemma topologicalquantumstates: theorem topologicalquantumstates : Theorem topologicalquantumstates :,Theorem,Needs_Semantic_Translation,ID0065,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5600,batch005_started,topology_vector_segment,no
127,proof_obligations,ID0030,lemma tzposcillator: sorry theorem tzposcillator : Prop := by Theorem tzposcillator : Prop.,Theorem,Needs_Semantic_Translation,ID0030,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4464,batch009_started,dynamics_scaling_segment,no
128,proof_obligations,ID0000,lemma tzpstability: sorry theorem tzpstability : Prop := by Theorem tzpstability : Prop.,Theorem,Needs_Semantic_Translation,ID0000,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,535,batch009_started,dynamics_scaling_segment,no
129,proof_obligations,ID0065,lemma quantuminformationunits: theorem quantuminformationunits : Theorem quantuminformationunits :,Theorem,Needs_Semantic_Translation,ID0065,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5833,batch007_started,quantum_open_system_segment,no
130,proof_obligations,ID0002,lemma causalloopinvariant: sorry theorem causalloopinvariant : Theorem causalloopinvariant :,Theorem,Needs_Semantic_Translation,ID0002,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1034,batch008_started,geometry_manifold_segment,no
131,proof_obligations,ID0017,lemma fieldequationstrawinistic: theorem fieldequationstrawinistic Theorem fieldequationstrawinistic,Theorem,Needs_Semantic_Translation,ID0017,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2934,batch008_started,geometry_manifold_segment,no
132,proof_obligations,ID0004,lemma stochasticdriftmagnitude: theorem stochasticdriftmagnitude : Theorem stochasticdriftmagnitude :,Theorem,Needs_Semantic_Translation,ID0004,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,955,batch009_started,dynamics_scaling_segment,no
133,proof_obligations,ID0002,lemma trawinbaseunit: sorry theorem trawinbaseunit : Prop := Theorem trawinbaseunit : Prop.,Theorem,Needs_Semantic_Translation,ID0002,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,620,batch010_started,meta_foundation_segment,no
134,proof_obligations,ID0006,lemma spectraldensityindex: sorry theorem spectraldensityindex : Theorem spectraldensityindex :,Theorem,Needs_Semantic_Translation,ID0006,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1376,batch006_started,operator_spectral_segment,no
135,proof_obligations,ID9999,Symmetry-fixed bifurcation criterion for the Trawin Zero Point,Theorem,Derived_Theorem_Obligation,ID9999,D:\Tex\TRAWIN.tex,206,batch015_started,emergence_bifurcation_followup_segment,no
136,proof_obligations,ID0170,lemma cymatic_topological_control: theorem cymatic_topological_control Theorem cymatic_topological_control,Theorem,Needs_Semantic_Translation,ID0170,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6298,batch005_started,topology_vector_segment,no
137,proof_obligations,ID0020,lemma trawincharacteristicclass: theorem trawincharacteristicclass Theorem trawincharacteristicclass,Theorem,Needs_Semantic_Translation,ID0020,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1853,batch008_started,geometry_manifold_segment,no
138,proof_obligations,ID0038,lemma elsasseruniversality: sorry theorem elsasseruniversality : Theorem elsasseruniversality :,Theorem,Needs_Semantic_Translation,ID0038,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3437,phase2_already_started,existing_phase2_family,no
139,proof_obligations,ID0004,lemma nonlinearityconstant: sorry theorem nonlinearityconstant : Theorem nonlinearityconstant :,Theorem,Needs_Semantic_Translation,ID0004,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,795,batch009_started,dynamics_scaling_segment,no
140,proof_obligations,ID0017,lemma trawinisticlaplacian: sorry theorem trawinisticlaplacian : Theorem trawinisticlaplacian :,Theorem,Needs_Semantic_Translation,ID0017,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1607,batch008_started,geometry_manifold_segment,no
141,proof_obligations,ID0017,lemma curvedquantumfields: sorry theorem curvedquantumfields : Theorem curvedquantumfields :,Theorem,Needs_Semantic_Translation,ID0017,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4228,batch007_started,quantum_open_system_segment,no
142,proof_obligations,ID0002,lemma dimensionalambiguity: sorry theorem dimensionalambiguity : Theorem dimensionalambiguity :,Theorem,Needs_Semantic_Translation,ID0002,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,387,batch008_started,geometry_manifold_segment,no
143,proof_obligations,ID0003,lemma hyperdimensionalspan: sorry theorem hyperdimensionalspan : Theorem hyperdimensionalspan :,Theorem,Needs_Semantic_Translation,ID0003,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,881,batch008_started,geometry_manifold_segment,no
144,proof_obligations,ID0040,lemma helicityquantisation: sorry theorem helicityquantisation : Theorem helicityquantisation :,Theorem,Needs_Semantic_Translation,ID0040,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3517,phase2_already_started,existing_phase2_family,no
145,proof_obligations,ID0032,lemma vacuumpolarization: sorry theorem vacuumpolarization : Prop Theorem vacuumpolarization : Prop.,Theorem,Needs_Semantic_Translation,ID0032,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4380,batch009_started,dynamics_scaling_segment,no
146,proof_obligations,ID0180,lemma 0181_proof: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0180,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7190,batch010_started,meta_foundation_segment,no
147,proof_obligations,ID0065,lemma multipartitenetworks: sorry theorem multipartitenetworks : Theorem multipartitenetworks :,Theorem,Needs_Semantic_Translation,ID0065,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5525,batch007_started,quantum_open_system_segment,no
148,proof_obligations,ID9999,TZP emergence as symmetry-fixed bifurcation of TRAWIN closure,Theorem,Derived_Theorem_Obligation,ID9999,D:\Tex\00_Canon_00_TRAWIN_definition.tex,256,batch015_started,emergence_bifurcation_followup_segment,no
149,proof_obligations,ID0054,lemma boundaryquantumeffects: theorem boundaryquantumeffects : Theorem boundaryquantumeffects :,Theorem,Needs_Semantic_Translation,ID0054,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4624,batch004_started,remaining_candidate_real_algebra,no
150,proof_obligations,ID0173,lemma curvature_and_field_strength: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0173,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6586,batch008_started,geometry_manifold_segment,no
151,proof_obligations,ID0040,lemma magneticmomentscaling: theorem magneticmomentscaling : Theorem magneticmomentscaling :,Theorem,Needs_Semantic_Translation,ID0040,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3764,phase2_already_started,existing_phase2_family,no
152,proof_obligations,ID0063,lemma entanglementstructure: sorry theorem entanglementstructure : Theorem entanglementstructure :,Theorem,Needs_Semantic_Translation,ID0063,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5455,batch007_started,quantum_open_system_segment,no
153,proof_obligations,ID0062,lemma quantumchaosindicators: theorem quantumchaosindicators : Theorem quantumchaosindicators :,Theorem,Needs_Semantic_Translation,ID0062,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6506,batch007_started,quantum_open_system_segment,no
154,proof_obligations,ID0046,lemma runningphysicalconstants: theorem runningphysicalconstants : Theorem runningphysicalconstants :,Theorem,Needs_Semantic_Translation,ID0046,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4937,batch009_started,dynamics_scaling_segment,no
155,proof_obligations,ID0036,lemma zeropointfluctuations: theorem zeropointfluctuations : Theorem zeropointfluctuations :,Theorem,Needs_Semantic_Translation,ID0036,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4151,batch009_started,dynamics_scaling_segment,no
156,proof_obligations,ID0185,lemma 0186_proof: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0185,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7591,batch010_started,meta_foundation_segment,no
157,proof_obligations,ID0001,lemma temporaldisplacement: sorry theorem temporaldisplacement : Theorem temporaldisplacement :,Theorem,Needs_Semantic_Translation,ID0001,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,706,batch009_started,dynamics_scaling_segment,no
158,proof_obligations,ID0004,lemma nullspaceprojection: sorry theorem nullspaceprojection : Theorem nullspaceprojection :,Theorem,Needs_Semantic_Translation,ID0004,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1199,batch008_started,geometry_manifold_segment,no
159,proof_obligations,ID0080,lemma semiclassicallimits: sorry theorem semiclassicallimits : Prop Theorem semiclassicallimits :,Theorem,Needs_Semantic_Translation,ID0080,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6590,batch009_started,dynamics_scaling_segment,no
160,proof_obligations,ID0181,lemma 0182_proof: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0181,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7275,batch010_started,meta_foundation_segment,no
161,proof_obligations,ID0001,lemma lemniscaticselfintersection: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0001,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,305,batch008_started,geometry_manifold_segment,no
162,proof_obligations,ID9999,THEOREM 4: TZP Emergence Mechanism: Planck oscillations ω P ≈ 1.86×1043 Hz with,Theorem,Derived_Theorem_Obligation,ID9999,D:\Zenodo\gyromagnetic_validation.pdf,256,batch015_started,emergence_bifurcation_followup_segment,no
163,proof_obligations,ID0018,lemma confinedmodequantization: theorem confinedmodequantization : Theorem confinedmodequantization :,Theorem,Needs_Semantic_Translation,ID0018,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4543,batch009_started,dynamics_scaling_segment,no
164,proof_obligations,ID0053,lemma continuousvariablesystems: theorem continuousvariablesystems Theorem continuousvariablesystems,Theorem,Needs_Semantic_Translation,ID0053,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5975,batch007_started,quantum_open_system_segment,no
165,proof_obligations,ID0174,lemma holonomy_and_closed_loops: theorem holonomy_and_closed_loops : Theorem holonomy_and_closed_loops :,Theorem,Needs_Semantic_Translation,ID0174,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6722,batch008_started,geometry_manifold_segment,no
166,proof_obligations,ID0041,lemma linkingnumberuniversality: theorem linkingnumberuniversality Theorem linkingnumberuniversality,Theorem,Needs_Semantic_Translation,ID0041,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3682,batch005_started,topology_vector_segment,no
167,proof_obligations,ID0007,lemma observerdependentstates: theorem observerdependentstates : Theorem observerdependentstates :,Theorem,Needs_Semantic_Translation,ID0007,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5384,batch010_started,meta_foundation_segment,no
168,proof_obligations,ID0063,lemma quantumchannels: sorry theorem quantumchannels : Prop := Theorem quantumchannels : Prop.,Theorem,Needs_Semantic_Translation,ID0063,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6049,batch007_started,quantum_open_system_segment,no
169,proof_obligations,ID0062,lemma quantumtransport: sorry theorem quantumtransport : Prop := Theorem quantumtransport : Prop.,Theorem,Needs_Semantic_Translation,ID0062,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6361,batch007_started,quantum_open_system_segment,no
170,proof_obligations,ID0070,lemma qubitembedding: sorry theorem qubitembedding : Prop := Theorem qubitembedding : Prop.,Theorem,Needs_Semantic_Translation,ID0070,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5904,batch007_started,quantum_open_system_segment,no
