"id","title","uuid","loc_class","arxiv_class","RTEID","poloidal_theta_rad","toroidal_phi_rad","rteid_source","PiID","TZPi","PiPE_position"
"ID0012","Field Coherence Metric","3632af36-bfa9-5537-b3d7-00ebb7670c2e","","","RTE:P46.5987:T0.0768","46.5987","0.0768","manifest","7932384626433","4","19"
"ID0013","Null Space Projection","93d3669d-bb50-5ecc-af2c-93398438d3b4","","","RTE:P50.4819:T0.0832","50.4819","0.0832","manifest","9323846264338","6","20"
"ID0014","Inter-Modal Transfer Rate","5c8266b5-1da5-54ca-aeb9-2932093c3236","","","RTE:P54.3651:T0.0896","54.3651","0.0896","manifest","3238462643383","2","21"
"ID0015","Spectral Density Index (TZP-Weighted)","bf43db7d-0601-5537-88c4-fde5458c8433","","","RTE:P58.2483:T0.0960","58.2483","0.0960","manifest","2384626433832","6","22"
"ID0016","Manifold Curvature (TZP Condition)","586331a1-3faa-5651-8449-d88476f9acd7","","","RTE:P62.1316:T0.1024","62.1316","0.1024","manifest","3846264338327","4","23"
"ID0017","Trawinistic Connection","130269c8-27cd-522d-8ffb-0a885015ddf9","","","RTE:P66.0148:T0.1088","66.0148","0.1088","manifest","8462643383279","3","24"
"ID0018","Trawinistic Laplacian","071eb25a-e60b-5256-9ba6-8d07c2a11d08","","","RTE:P69.8980:T0.1152","69.8980","0.1152","manifest","4626433832795","3","25"
"ID0019","Trawinistic D'Alembertian","6d74c597-ddfc-52d2-adb1-f8d00b173427","","","RTE:P73.7812:T0.1216","73.7812","0.1216","manifest","6264338327950","8","26"
"ID0020","Trawinistic Winding Number","f2c432c3-10b0-5e21-a975-a04d94a134a6","","","RTE:P77.6644:T0.1280","77.6644","0.1280","manifest","2643383279502","3","27"
"ID0021","Trawin Characteristic Class","69a35368-5caf-5587-865a-f4e8fc4a5d56","","","RTE:P81.5477:T0.1344","81.5477","0.1344","manifest","6433832795028","2","28"
"ID0022","TZP Curvature Singularity","7a6a62fd-a4a3-5414-94ac-9aee6ffcc558","","","RTE:P85.4309:T0.1408","85.4309","0.1408","manifest","4338327950288","7","29"
"ID0023","TZP Potential Term","1786a77f-3042-596a-ab6d-7ec10b409a08","","","RTE:P89.3141:T0.1472","89.3141","0.1472","manifest","3383279502884","9","30"
"ID0024","TZP Vacuum Energy Density","cea266a9-90df-5dad-9382-b16921324214","","","RTE:P93.1973:T0.1536","93.1973","0.1536","manifest","3832795028841","5","31"
"ID0025","Conservation Law: TZP Topological Charge","e5df247c-bfcd-5785-9cab-6c030335e166","","","RTE:P97.0806:T0.1600","97.0806","0.1600","manifest","8327950288419","0","32"
"ID0026","Conservation Law: Information Flux Through TZP","e79bcf9d-602d-5b5d-9ddc-dcc3deb62e23","","","RTE:P100.9638:T0.1664","100.9638","0.1664","manifest","3279502884197","2","33"
"ID0027","Constraint: Trawinistic Metric Compatibility","b1bcec9c-2ff9-54e0-82b9-5f02980c5bdd","","","RTE:P104.8470:T0.1728","104.8470","0.1728","manifest","2795028841971","8","34"
"ID0028","Constraint: TZP Torsion Localisation","e7054e64-47d8-5f5d-82d7-966c10279112","","","RTE:P108.7302:T0.1792","108.7302","0.1792","manifest","7950288419716","8","35"
"ID0029","Trawinistic Hamiltonian Density","2f553a0b-a238-5d77-8d6c-e8652414a401","","","RTE:P112.6134:T0.1856","112.6134","0.1856","manifest","9502884197169","4","36"
"ID0030","TZP-Modified Hamiltonian Operator","dab5c87f-69b6-5a8c-9d7d-d6e427a32dd5","","","RTE:P116.4967:T0.1920","116.4967","0.1920","manifest","5028841971693","1","37"
"ID0031","Hamilton–Jacobi Equation (Trawinistic Form)","1450e473-0fd6-5784-9045-61d8b17e6334","","","RTE:P120.3799:T0.1983","120.3799","0.1983","manifest","0288419716939","9","38"
"ID0032","Action Functional on Trawinistic Manifolds","06988d3b-37c6-56b0-800f-9c937f231c62","","","RTE:P124.2631:T0.2047","124.2631","0.2047","manifest","2884197169399","7","39"
"ID0033","Principle of Least Action (TZP Variant)","a7c58c45-8ac0-52ab-9fa3-c572b7767f5b","","","RTE:P128.1463:T0.2111","128.1463","0.2111","manifest","8841971693993","1","40"
"ID0034","Field Equations on a Trawinistic Manifold","6430edba-3207-58c9-a3e6-204903bb2e53","","","RTE:P132.0296:T0.2175","132.0296","0.2175","manifest","8419716939937","6","41"
"ID0035","Quantum Field Propagator (TZP Background)","f671f064-1ccc-5d61-99fb-00197490b8c2","","","RTE:P135.9128:T0.2239","135.9128","0.2239","manifest","4197169399375","9","42"
"ID0036","Vacuum Fluctuation Operator (TZP)","70f14ab2-e2f0-52f5-a2d3-184da6f0176f","","","RTE:P139.7960:T0.2303","139.7960","0.2303","manifest","1971693993751","3","43"
"ID0037","Emergent Rotation Principle","658ba713-3c0c-58b1-95a1-2118ef9bf800","","","RTE:P143.6792:T0.2367","143.6792","0.2367","manifest","9716939937510","9","44"
"ID0038","Elsasser Attractor Manifold","d7cd3d58-1b96-5935-9982-8c8e600944e6","","","RTE:P147.5624:T0.2431","147.5624","0.2431","manifest","7169399375105","9","45"
"ID0039","Magnetic–Coriolis Energy Equipartition","930cd35b-4a8b-57a4-9c4a-9427f9164d22","","","RTE:P151.4457:T0.2495","151.4457","0.2495","manifest","1693993751058","3","46"
"ID0040","Universality of Elsasser Criticality","a7b9a6b4-8776-5064-a317-c6c3990e4b4c","","","RTE:P155.3289:T0.2559","155.3289","0.2559","manifest","6939937510582","7","47"
"ID0041","Topological Helicity Quantisation","6eb0a9ef-6126-556a-bfb8-47c1cae7fd7d","","","RTE:P159.2121:T0.2623","159.2121","0.2623","manifest","9399375105820","5","48"
"ID0042","Magnetic Helicity as Scale-Invariant Constraint","bf1444a8-f6b0-5ffb-be6d-bec2087b87d7","","","RTE:P163.0953:T0.2687","163.0953","0.2687","manifest","3993751058209","1","49"
"ID0043","Helicity Linking Number Universality","3f955b8c-e2c2-51a0-ad7c-ed0cda376010","","","RTE:P166.9785:T0.2751","166.9785","0.2751","manifest","9937510582097","0","50"
"ID0044","(μ ∝ M R^2Ω) Universal Scaling Law","8cdb7274-2724-5919-932a-63364dac5d2d","","","RTE:P170.8618:T0.2815","170.8618","0.2815","manifest","9375105820974","5","51"
"ID0045","Dimensionless Gyromagnetic Coupling Constant","37e93010-5bdc-5d77-9664-1a76b84f626d","","","RTE:P174.7450:T0.2879","174.7450","0.2879","manifest","3751058209749","8","52"
"ID0046","Order-Of-Magnitude Invariance Across 47 Orders of Scale","59e1fc03-0c22-567b-8ca0-fc7fc16122f1","","","RTE:P178.6282:T0.2943","178.6282","0.2943","manifest","7510582097494","2","53"
"ID0047","Bayesian Evidence Accumulation Framework","aee5652e-c2ff-5884-ba08-2a5a678a86f6","","","RTE:P182.5114:T0.3007","182.5114","0.3007","manifest","5105820974944","0","54"
"ID0048","Falsifiability as Core Design Constraint","bd9e8da3-9fcf-5fc1-8307-c9b2f0efbd8d","","","RTE:P186.3947:T0.3071","186.3947","0.3071","manifest","1058209749445","9","55"
"ID0049","Zero-Point Fluctuations","16fc5280-9aeb-579f-8c47-543624e28332","","","RTE:P190.2779:T0.3135","190.2779","0.3135","manifest","0582097494459","7","56"
"ID0050","Quantum Fields on Curved Manifolds","b7c88850-4e47-5699-933e-a2e1ff58896d","","","RTE:P194.1611:T0.3199","194.1611","0.3199","manifest","5820974944592","4","57"
"ID0051","Zero-Point Fluctuations","ff04e0f3-b9b1-5a10-921a-25089cf7a918","","","RTE:P198.0443:T0.3263","198.0443","0.3263","manifest","8209749445923","9","58"
"ID0052","Vacuum Polarization","af745902-c5bc-53a9-811e-f17c7bde06a5","","","RTE:P201.9275:T0.3327","201.9275","0.3327","manifest","2097494459230","4","59"
"ID0053","Quantum Harmonic Oscillator (TZP-Modified)","2dc867f0-4a57-5138-aff0-410dc73aee32","","","RTE:P205.8108:T0.3391","205.8108","0.3391","manifest","0974944592307","4","60"
"ID0054","Mode Quantization in Confined Geometries","a744ae95-899f-550b-a7a3-90ab97310627","","","RTE:P209.6940:T0.3455","209.6940","0.3455","manifest","9749445923078","5","61"
"ID0055","Boundary-Induced Quantum Effects","9f353752-5725-54aa-9377-9646e355e321","","","RTE:P213.5772:T0.3519","213.5772","0.3519","manifest","7494459230781","9","62"
"ID0056","Casimir-Type Phenomena","28e0092b-d55e-5f7e-a8c6-2530681b6422","","","RTE:P217.4604:T0.3583","217.4604","0.3583","manifest","4944592307816","2","63"
"ID0057","Quantum Phase Transitions","c0a08f7d-59bb-5c73-a9be-4bec0e32ff4f","","","RTE:P221.3437:T0.3647","221.3437","0.3647","manifest","9445923078164","3","64"
"ID0058","Renormalization Flow as Dimensional Navigation","632d8b80-6250-5930-a776-31b7759115fb","","","RTE:P225.2269:T0.3711","225.2269","0.3711","manifest","4459230781640","0","65"
"ID0059","Scale Dependence of Physical Constants","3bb3f032-f803-5faa-8686-ead5a7b2fed9","","","RTE:P229.1101:T0.3775","229.1101","0.3775","manifest","4592307816406","7","66"
"ID0060","Quantum Coherence and Decoherence","165714e4-2c49-54df-8e7b-2d99f10aeb4c","","","RTE:P232.9933:T0.3839","232.9933","0.3839","manifest","5923078164062","8","67"
"ID0061","Environment-Induced Superselection","57a9c407-fc9a-544d-854c-ec3837703b87","","","RTE:P236.8765:T0.3903","236.8765","0.3903","manifest","9230781640628","1","68"
"ID0062","Quantum Noise Spectra","86a57d30-95ec-57cb-a5d0-58b9182663d1","","","RTE:P240.7598:T0.3967","240.7598","0.3967","manifest","2307816406286","6","69"
"ID0063","Measurement Back-Action","657fa3b3-607d-5f86-b026-b69e787edb74","","","RTE:P244.6430:T0.4031","244.6430","0.4031","manifest","3078164062862","4","70"
"ID0064","Observer-Dependent Quantum States","36318e47-9e8a-531b-9708-9d4400f8d6af","","","RTE:P248.5262:T0.4095","248.5262","0.4095","manifest","0781640628620","0","71"
"ID0065","Entanglement Structure","e1695cee-e298-5d55-a7c1-69a47b9ce1c9","","","RTE:P252.4094:T0.4159","252.4094","0.4159","manifest","7816406286208","6","72"
"ID0066","Multipartite Entanglement FractalNodes","d00b2e1f-7450-562e-96ac-cb3b989d3526","","","RTE:P256.2927:T0.4223","256.2927","0.4223","manifest","8164062862089","2","73"
"ID0067","Topological Quantum States","3271f078-92d1-5f36-a34f-2df857c2231f","","","RTE:P260.1759:T0.4287","260.1759","0.4287","manifest","1640628620899","8","74"
"ID0068","Berry Phase and Geometric Phase Effects","24c97b56-7ceb-5c0b-8500-d74713947725","","","RTE:P264.0591:T0.4351","264.0591","0.4351","manifest","6406286208998","6","75"
"ID0069","Spinor and Spin-Network Representations","e0c7ba19-7a21-5237-9d1c-45bf56b71193","","","RTE:P267.9423:T0.4415","267.9423","0.4415","manifest","4062862089986","2","76"
"ID0070","Quantum Information Units","7a88e214-d0d9-5aaf-a824-07a5c02605c7","","","RTE:P271.8255:T0.4479","271.8255","0.4479","manifest","0628620899862","0","77"
"ID0071","Qubit Manifold Embedding","46918399-7596-54c1-b54d-3ac37fa9dde4","","","RTE:P275.7088:T0.4543","275.7088","0.4543","manifest","6286208998628","8","78"
"ID0072","Continuous-Variable Quantum Systems","8556871b-6cb1-5754-a87e-7347d0959dc5","","","RTE:P279.5920:T0.4607","279.5920","0.4607","manifest","2862089986280","9","79"
"ID0073","Quantum Channels and Maps","49caa6aa-4ef9-5be6-8895-b68e0c57ae40","","","RTE:P283.4752:T0.4671","283.4752","0.4671","manifest","8620899862803","9","80"
"ID0074","Completely Positive Trace-Preserving Maps","bee5988f-9c23-5672-978b-f7107c046a6b","","","RTE:P287.3584:T0.4735","287.3584","0.4735","manifest","6208998628034","8","81"
"ID0075","Quantum Thermodynamics","29e24224-ea02-5343-bc6b-88c66d1f3118","","","RTE:P291.2417:T0.4799","291.2417","0.4799","manifest","2089986280348","6","82"
"ID0076","Fluctuation–Dissipation Relations","16019d19-3151-534d-902a-66290c04a7b3","","","RTE:P295.1249:T0.4863","295.1249","0.4863","manifest","0899862803482","2","83"
"ID0077","Quantum Transport Phenomena","cd73d170-0897-5d77-a11f-c2eb8a7c7990","","","RTE:P299.0081:T0.4927","299.0081","0.4927","manifest","8998628034825","8","84"
"ID0078","Quantum Criticality","4866b4f0-b8a8-5181-bd4d-ba85535dfa34","","","RTE:P302.8913:T0.4991","302.8913","0.4991","manifest","9986280348253","0","85"
"ID0079","Quantum Chaos Indicators","9da73010-6967-5eee-92ac-4744951fa655","","","RTE:P306.7745:T0.5055","306.7745","0.5055","manifest","9862803482534","3","86"
"ID0080","Semiclassical Limits","380a6746-7eff-50d0-baa7-65b4c2a20e3b","","","RTE:P310.6578:T0.5119","310.6578","0.5119","manifest","8628034825342","4","87"
"ID0081","Classical Emergence from Quantum Dynamics","b408388c-8450-5a83-ac30-5182120d668a","","","RTE:P314.5410:T0.5183","314.5410","0.5183","manifest","6280348253421","8","88"
"ID0082","Micro-To-Macro Consistency Conditions","4a07d116-40a5-5673-8975-fd3a079b9089","","","RTE:P318.4242:T0.5247","318.4242","0.5247","manifest","2803482534211","2","89"
"ID0083","TZP Constraints at Quantum Scale","44831401-8840-51de-9f8a-8d36f979a15d","","","RTE:P322.3074:T0.5311","322.3074","0.5311","manifest","8034825342117","5","90"
"ID0084","Quantum Limits of Observability","3932f27a-e54d-5818-9c6e-d33adc8cb1fe","","","RTE:P326.1907:T0.5375","326.1907","0.5375","manifest","0348253421170","3","91"
"ID0085","Gyromagnetic Genesis Hypothesis","a2ed68c8-393b-535e-aaa7-0ab0984a15c1","","","RTE:P330.0739:T0.5439","330.0739","0.5439","manifest","3482534211706","4","92"
"ID0086","Rejection of Primordial Angular Momentum Assumption","c042456a-816b-5ee0-bc83-645410975588","","","RTE:P333.9571:T0.5503","333.9571","0.5503","manifest","4825342117067","2","93"
"ID0087","Rotation as a Continuously Generated Quantity","a3ea732e-1e38-52e0-8db4-74895c150876","","","RTE:P337.8403:T0.5567","337.8403","0.5567","manifest","8253421170679","1","94"
"ID0088","Local Electromagnetic Field–Driven Rotation","3d8d137f-9c22-5f60-b5ec-f75597f7b9d7","","","RTE:P341.7235:T0.5631","341.7235","0.5631","manifest","2534211706798","1","95"
"ID0089","FractalNodes Category-Theoretic Isomorphism Across Scales","bbb66db1-cad1-592a-9e38-cd0a4680a163","","","RTE:P345.6068:T0.5695","345.6068","0.5695","manifest","5342117067982","7","96"
"ID0090","Laboratory ↔ Astrophysical Structural Equivalence","ab54f12c-5502-5948-a467-e979f2e145f2","","","RTE:P349.4900:T0.5759","349.4900","0.5759","manifest","3421170679821","0","97"
"ID0091","SO(3) × U(1) Configuration Bundle","10b56340-8d92-555e-ab5d-d38e658110c7","","","RTE:P353.3732:T0.5823","353.3732","0.5823","manifest","4211706798214","6","98"
"ID0092","Semi-Direct Product of Rotation and Gauge Symmetry","483bff3e-a305-5ea4-9d61-e7848f09c240","","","RTE:P357.2564:T0.5886","357.2564","0.5886","manifest","2117067982148","7","99"
"ID0093","Phase Space Topology Preservation","2e4b5f15-b232-535f-8c06-99ee98b12fef","","","RTE:P361.1397:T0.5950","361.1397","0.5950","manifest","1170679821480","9","100"
"ID0094","FractalNodes Scaling Functor Between Laboratory and Astrophysical Systems","824ea429-243b-5566-9e9d-2aaf148a320e","","","RTE:P365.0229:T0.6014","365.0229","0.6014","manifest","1706798214808","8","101"
"ID0095","Natural Transformation Preserving Symplectic Structure","4319037a-1185-5351-b281-eb7404c4c3eb","","","RTE:P368.9061:T0.6078","368.9061","0.6078","manifest","7067982148086","2","102"
"ID0096","Electrohydrodynamic Resonance Operator","f3806f92-36b7-53db-8af0-8e544c49615e","","","RTE:P372.7893:T0.6142","372.7893","0.6142","manifest","0679821480865","1","103"
"ID0097","Flip–Twist Bridge Transformation","343b4065-fc65-5b3f-8b3f-252227d57fe0","","","RTE:P376.6725:T0.6206","376.6725","0.6206","manifest","6798214808651","4","104"
"ID0098","Delta-Function Signal Injection","163d4db7-703e-5cdf-aefc-0070a8425638","","","RTE:P380.5558:T0.6270","380.5558","0.6270","manifest","7982148086513","8","105"
"ID0099","Cymatic Beat Frequency Topology","d9c6241c-9175-5159-8062-c79fa077e805","","","RTE:P384.4390:T0.6334","384.4390","0.6334","manifest","9821480865132","0","106"
"ID0100","Information Synchronization at the TZP","7612d08f-7e84-5cc6-a659-8921ff1b3c17","","","RTE:P388.3222:T0.6398","388.3222","0.6398","manifest","8214808651328","8","107"
"ID0101","Helical Standing-Wave Amplification","f620a850-6da1-5454-ae4b-21800b4de54d","","","RTE:P392.2054:T0.6462","392.2054","0.6462","manifest","2148086513282","6","108"
"ID0102","Topologically Protected Information Channels","16decd25-4d5b-5016-97bc-745054ebbbad","","","RTE:P396.0887:T0.6526","396.0887","0.6526","manifest","1480865132823","5","109"
"ID0103","Infinity Hopf Fibration","7c926607-2c34-5337-b4e5-532a82e2eb85","","","RTE:P399.9719:T0.6590","399.9719","0.6590","manifest","4808651328230","1","110"
"ID0104","Holographic Information Projection","27639270-db1d-5ad8-a84f-dcd2252fe2c2","","","RTE:P403.8551:T0.6654","403.8551","0.6654","manifest","8086513282306","3","111"
"ID0105","Master Synchronization Functional","97d9382b-6936-50c8-9710-0702a0aa4e39","","","RTE:P407.7383:T0.6718","407.7383","0.6718","manifest","0865132823066","2","112"
"ID0106","Phase-Coherence Matrix","7b900d6a-c9e4-5927-81ce-653d492a8883","","","RTE:P411.6215:T0.6782","411.6215","0.6782","manifest","8651328230664","8","113"
"ID0107","Topological Entanglement Entropy Operator","4ce92fc3-f82b-52f2-8fcd-f2f269d1cd53","","","RTE:P415.5048:T0.6846","415.5048","0.6846","manifest","6513282306647","2","114"
"ID0108","Relative-Entropy Constraint","b903f02c-2ecb-57c1-a995-6784922c2ed8","","","RTE:P419.3880:T0.6910","419.3880","0.6910","manifest","5132823066470","3","115"
"ID0109","Fibonacci Sequence","3fef2fa4-a4cb-5862-99e5-50832d601839","","","RTE:P423.2712:T0.6974","423.2712","0.6974","manifest","1328230664709","0","116"
"ID0110","Fibonacci Manifold","c9eee4af-1eb7-54e8-a3ac-37f02b24f07a","","","RTE:P427.1544:T0.7038","427.1544","0.7038","manifest","3282306647093","6","117"
"ID0111","Resonant Holographic Spiral","0949fa2b-1155-5ff5-be36-c1a3b06c1eb5","","","RTE:P431.0377:T0.7102","431.0377","0.7102","manifest","2823066470938","6","118"
"ID0112","Π–φ Structural Fusion","0b82190b-0ac5-514a-988b-70d38f38a957","","","RTE:P434.9209:T0.7166","434.9209","0.7166","manifest","8230664709384","4","119"
"ID0113","Helical Spacetime Embedding Axiom","7dcfd1cf-a209-5c44-b8f9-2f044c317273","","","RTE:P438.8041:T0.7230","438.8041","0.7230","manifest","2306647093844","7","120"
"ID0114","Π–φ Coupling Principle","06d76674-333b-5c27-b0c0-e502dedd05ae","","","RTE:P442.6873:T0.7294","442.6873","0.7294","manifest","3066470938446","0","121"
"ID0115","Kuramoto Planetary Spin Model","7e0d5e34-31cb-5ced-815c-3d4684eb2c93","","","RTE:P446.5705:T0.7358","446.5705","0.7358","manifest","0664709384460","9","122"
"ID0116","Planetary Data Set","78fc83f0-d62c-556c-a175-b499cc3e8970","","","RTE:P450.4538:T0.7422","450.4538","0.7422","manifest","6647093844609","3","123"
"ID0117","Spin-Coherence Order Parameter","53c3c0cf-601b-54c8-b821-de82139c09d8","","","RTE:P454.3370:T0.7486","454.3370","0.7486","manifest","6470938446095","8","124"
"ID0118","Dominant Planetary Coupling Pairs","d57fb070-3dc8-586d-a34f-5d7ae1c4215e","","","RTE:P458.2202:T0.7550","458.2202","0.7550","manifest","4709384460955","4","125"
"ID0119","Planetary Spin Synchronization Limitations","10931458-204d-5b3a-ad64-0517870440ea","","","RTE:P462.1034:T0.7614","462.1034","0.7614","manifest","7093844609550","4","126"
"ID0120","Planetary Spin–Orbit Oscillator Model","cd6f75c3-d16b-510d-9bcf-afa56961c723","","","RTE:P465.9866:T0.7678","465.9866","0.7678","manifest","0938446095505","6","127"
"ID0121","Optimal Vortex Inflow Angle","9b8b6838-a987-5e5a-80e0-abd59911ad47","","","RTE:P469.8699:T0.7742","469.8699","0.7742","manifest","9384460955058","0","128"
"ID0122","Cross Symmetry Vortex Focusing","0c3458a9-851f-5279-bb7e-b4d2f47d41ba","","","RTE:P473.7531:T0.7806","473.7531","0.7806","manifest","3844609550582","9","129"
"ID0123","Radial Pressure Gradient and Acceleration Field","93cfc3f8-e527-5ed6-832a-cba18e28fc6b","","","RTE:P477.6363:T0.7870","477.6363","0.7870","manifest","8446095505822","5","130"
"ID0124","Pull Strength Scaling Law","7f8c674f-a2fa-57d7-861a-151c3510cf47","","","RTE:P481.5195:T0.7934","481.5195","0.7934","manifest","4460955058223","5","131"
"ID0125","Current Concentration Effect","c90fed22-aad9-5e4f-992c-b17188818728","","","RTE:P485.4028:T0.7998","485.4028","0.7998","manifest","4609550582231","0","132"
"ID0126","Electrohydrodynamic Resonance Operator","987b7191-6a99-5ba3-8aff-445488cfdcd8","","","RTE:P489.2860:T0.8062","489.2860","0.8062","manifest","6095505822317","5","133"
"ID0127","Multi-Domain Resonance Cascade","019aa313-fc31-5778-b707-95d6fa4014e3","","","RTE:P493.1692:T0.8126","493.1692","0.8126","manifest","0955058223172","8","134"
"ID0128","Optical Electrostriction Effect","251c02d3-def9-5bfb-8c37-29a649c6dba7","","","RTE:P497.0524:T0.8190","497.0524","0.8190","manifest","9550582231725","2","135"
"ID0129","Chromatic Ion Sorting","c9d5d8bf-a468-5f99-b335-61e0a229fe76","","","RTE:P500.9356:T0.8254","500.9356","0.8254","manifest","5505822317253","2","136"
"ID0130","Bridging Frequency Ratio","b32343ad-963b-57ef-ab2e-a23485fc7f4c","","","RTE:P504.8189:T0.8318","504.8189","0.8318","manifest","5058223172535","3","137"
"ID0131","Gaussian Window Insertion Operator","f042ad49-8d80-5f7b-ba7c-db4666bece5b","","","RTE:P508.7021:T0.8382","508.7021","0.8382","manifest","0582231725359","1","138"
"ID0132","Phase Flip and Twist Transformation","3de6702b-489e-59a6-9d60-5e01e63443a9","","","RTE:P512.5853:T0.8446","512.5853","0.8446","manifest","5822317253594","7","139"
"ID0133","Topological Protection via Phase Winding","9960ab3b-96a9-5d76-96bb-78c4826b4b1f","","","RTE:P516.4685:T0.8510","516.4685","0.8510","manifest","8223172535940","2","140"
"ID0134","Extended Bridge Frequency Sweep","1970cab3-8d5b-58d8-aa82-2b8e1b24c73e","","","RTE:P520.3518:T0.8574","520.3518","0.8574","manifest","2231725359408","5","141"
"ID0135","Universal Constraint of Natural Transformation","7b22e89d-d3b6-53ac-8377-6a3fc1ce150e","","","RTE:P524.2350:T0.8638","524.2350","0.8638","manifest","2317253594081","3","142"
"ID0136","Celestial Gyromagnetic Motion Axiom","06e3caaa-140d-5cb8-be87-d13437e7c8fe","","","RTE:P528.1182:T0.8702","528.1182","0.8702","manifest","3172535940812","5","143"
"ID0137","Megastructure Formation Theorem","ae08cf86-58cd-5594-8ea3-4df9df2cc49c","","","RTE:P532.0014:T0.8766","532.0014","0.8766","manifest","1725359408128","9","144"
"ID0138","S^3 Universe Topology","a1adb8d1-abca-563f-a01a-61a7ed68c0b3","","","RTE:P535.8846:T0.8830","535.8846","0.8830","manifest","7253594081284","4","145"
"ID0139","Planck-Scale Emergence of the TZP","acc6d904-8732-5438-98fa-8ad4693103b6","","","RTE:P539.7679:T0.8894","539.7679","0.8894","manifest","2535940812848","0","146"
"ID0140","Dipole Energy 1/d^4 Scaling Law","b42918d4-1d95-5b06-bfa5-c5061895a04b","","","RTE:P543.6511:T0.8958","543.6511","0.8958","manifest","5359408128481","8","147"
"ID0141","Kuramoto Dominant Coupling Hypothesis","3a692337-eb69-5a86-8472-d66934e5c4f5","","","RTE:P547.5343:T0.9022","547.5343","0.9022","manifest","3594081284811","1","148"
"ID0142","Heterogeneous Coupling Limitation","8a908860-242b-51fb-b463-5b93081e3258","","","RTE:P551.4175:T0.9086","551.4175","0.9086","manifest","5940812848111","2","149"
"ID0143","Spin–Orbit Resonance Proposition","5c3180ac-8495-5ca1-a718-e888f1464e3b","","","RTE:P555.3008:T0.9150","555.3008","0.9150","manifest","9408128481117","8","150"
"ID0144","Improved Model Parameter Sweep","475cc172-bfc4-5758-9807-1046a8a18db8","","","RTE:P559.1840:T0.9214","559.1840","0.9214","manifest","4081284811174","4","151"
"ID0145","Optimal Geometry for Pressure Gradient","c3938508-b9de-5c1d-a712-2e94d1778e59","","","RTE:P563.0672:T0.9278","563.0672","0.9278","manifest","0812848111745","8","152"
"ID0146","Ion Density Redistribution Mechanism","e017f642-46e9-587f-a23c-1c6c56a41db0","","","RTE:P566.9504:T0.9342","566.9504","0.9342","manifest","8128481117450","1","153"
"ID0147","Bridge-Flip Cancellation Operator","fb437664-b6b4-5e3d-9dec-5e86776e5229","","","RTE:P570.8336:T0.9406","570.8336","0.9406","manifest","1284811174502","1","154"
"ID0148","Phase Twist-Induced Domain Wall","aedb7b37-6bc8-5cf4-81fe-4f81732b3912","","","RTE:P574.7169:T0.9470","574.7169","0.9470","manifest","2848111745028","1","155"
"ID0149","Domain Wall Robustness Criterion","a400a7ad-cb53-5f22-ad42-57268df2e80d","","","RTE:P578.6001:T0.9534","578.6001","0.9534","manifest","8481117450284","7","156"
"ID0150","Stress–Energy Conservation Constraint","70f8d208-80f6-5cbe-8fd4-eff0a353f7ab","","","RTE:P582.4833:T0.9598","582.4833","0.9598","manifest","4811174502841","4","157"
