dep_rung,dep_id,dependent_rung,dependent_id,reason,cut_reason
9537,ID0004,8386,ID9026,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8387,ID9027,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8403,ID9045,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8404,ID9046,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8412,ID9054,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8413,ID9055,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9561,ID0037,8435,ID9077,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9563,ID0038,8435,ID9077,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9561,ID0037,8436,ID9078,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9563,ID0038,8436,ID9078,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9563,ID0038,8437,ID9079,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9564,ID0039,8437,ID9079,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9563,ID0038,8438,ID9080,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9564,ID0039,8438,ID9080,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9561,ID0037,8439,ID9082,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9561,ID0037,8440,ID9083,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9565,ID0044,8442,ID9086,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9561,ID0037,8443,ID9087,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9565,ID0044,8443,ID9087,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9561,ID0037,8447,ID9081,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9563,ID0038,8447,ID9081,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9565,ID0044,8448,ID9088,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9566,ID0045,8448,ID9088,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8459,ID9099,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9562,ID0087,8485,ID9126,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9562,ID0087,8487,ID9128,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9568,ID0090,8491,ID9132,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9065,ID0104,8504,ID9140,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10238,ID0115,8505,ID9143,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10238,ID0115,8506,ID9144,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9438,ID0151,8522,ID9165,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9438,ID0151,8523,ID9166,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9438,ID0151,8524,ID9167,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10239,ID0117,8554,ID9145,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10239,ID0117,8555,ID9146,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10263,ID0394,8657,ID9293,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10237,ID0105,8698,ID9334,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10239,ID0117,8699,ID9335,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9567,ID0089,8700,ID9336,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8717,ID9351,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8718,ID9352,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8719,ID9353,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10236,ID0097,8730,ID9364,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8732,ID9366,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9064,ID0362,8776,ID9410,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9605,ID0409,8796,ID9430,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9605,ID0409,8797,ID9431,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9605,ID0409,8799,ID9433,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,9528,ID1805,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
