position,rung,id,depth,title
33,10311,ID10825,32,"Getting Closer Eq 33: K(t,) = {1{_{ dec e^{-(t-)/_{ dec (t-)"
34,10312,ID10826,33,"Getting Closer Eq 34: G_{^{ acc(x,t) = {8 G{c^4 _{-^{t K(t,) T_{^{ eff(x,) ,d"
35,10313,ID10827,34,"Getting Closer Eq 35: G_{^{ acc = {8 G{c^4 _{-^{t K(t,) [ T_{^{ matter + T_{^{ sound + {c^4..."
36,10314,ID10828,35,Getting Closer Eq 36: G_{^{ acc = {8 G{c^4 _{-^{t K T_{^{ matterd + {8 G{c^4 _{-^{t K T_{^{...
37,10315,ID10829,36,Getting Closer Eq 37: curvature = accumulated matter + accumulated sound + Planck-scaled ac...
38,10316,ID10830,37,Getting Closer Eq 38: J_i^{ eff = {T_{0i^{ eff{c
39,10317,ID10831,38,"Getting Closer Eq 39: h_{0a^{ acc(X,t) = -{4G{c^3 _{S^3_R dV' G_R(X,X') _{-^{t K(t,) J_a^{..."
40,10318,ID10832,39,Getting Closer Eq 40: X S^3_R
41,10319,ID10833,40,Getting Closer Eq 41: time frame-dragging = temporally accumulated circulating sound/mass/e...
42,10320,ID10834,41,Getting Closer Eq 42: q_g(X)={m_X{m_P
43,10321,ID10835,42,Getting Closer Eq 43: m_P={{ c{G
44,10322,ID10836,43,Getting Closer Eq 44: q_g(X)=m_X{{G{ c
45,10323,ID10837,44,"Getting Closer Eq 45: _G(X,Y) = # {Gm_Xm_Y{ c q_g(X)q_g(Y)"
46,10324,ID10838,45,Getting Closer Eq 46: each new proton adds about 7.6851510^{-20
47,10325,ID10839,46,Getting Closer Eq 47: each new neutron adds about 7.6957410^{-20
48,10326,ID10840,47,Getting Closer Eq 48: each new electron adds about 4.1854610^{-23
49,10327,ID10841,48,"Getting Closer Eq 49: Z=atomic number,"
50,10328,ID10842,49,"Getting Closer Eq 50: N=neutron number,"
51,10329,ID10843,50,"Getting Closer Eq 51: A=Z+N,"
52,10330,ID10844,51,"Getting Closer Eq 52: q_g(Z,N) = { Zm_p + Nm_n + Zm_e - E_{ bind/c^2 {m_P"
53,10331,ID10845,52,Getting Closer Eq 53: q_g_Z = A_r(Z){m_u{m_P
54,10332,ID10846,53,Getting Closer Eq 54: atomic gravitational charge rises with accumulated particle content
55,10333,ID10847,54,Getting Closer Eq 55: q_g={m{m_P
56,10334,ID10848,55,"Getting Closer Eq 56: Q_g = _{i=1^{Nq_{g,i"
57,10335,ID10849,56,"Getting Closer Eq 57: q_g = {1{N_{i=1^{Nq_{g,i"
58,10336,ID10850,57,Getting Closer Eq 58: q_g E[q_g] as N
59,10337,ID10851,58,Getting Closer Eq 59: _{ q {_q{{N
60,10338,ID10852,59,Getting Closer Eq 60: single-particle gravitational charge is tiny and noisy;
61,10339,ID10853,60,Getting Closer Eq 61: bulk accumulated gravitational charge becomes smooth and geometric
62,10340,ID10854,61,Getting Closer Eq 62: particle counting large-number smoothing effective stress-energy curv...
63,10341,ID10855,62,"Getting Closer Eq 63: =+{d-2{2, d=4 =+1"
64,10342,ID10856,63,"Getting Closer Eq 64: E_{1/2 = v_s {j_{,q-j_{-12,q{R"
65,10343,ID10857,64,Getting Closer Eq 65: _{^{(1/2) = _P^2 (__-g_{) ({ S_{1/2{k_B)
66,10344,ID10858,65,"Getting Closer Eq 66: G_{^{ acc = {8 G{c^4 _{-^{t K(t,) [ T_{^{ matter + T_{^{ sound + {c^4..."
67,10345,ID10859,66,"Getting Closer Eq 67: q_g(Z,N) = { Zm_p+Nm_n+Zm_e-E_{ bind/c^2 {m_P"
68,10346,ID10860,67,"Getting Closer Eq 68: Mass-energy becomes geometry because resonant field energy, particle..."
