rank,isabelle_name,claim_type,kind,score,title,source,line,candidate_digest,semantic_anchor_id,semantic_anchor_title,semantic_score,semantic_digest,obligation_role,semantic_tags,required_checks,dependency_degree,has_parsed_equation,obligation_digest
32,cand_032_theorem_symmetry_fixed_bifurcation_criterion_for_the_tra,theorem_claim,Theorem,116,Symmetry-fixed bifurcation criterion for the Trawin Zero Point,D:\Tex\TRAWIN.tex,206,7049efd1de3c49d40600536b2851fd9ef5fc7ce8,ID9999,Violation of Flat Universe Cosmology: Ω_k Neq 0,42,b9c22f15903583d7952590cbcd3b5dcd876cd393,Derived_Theorem_Obligation,tzp_foundation;trawin_operator;helical_geometry;holographic_duality;hamiltonian_dynamics;field_geometry;topological_invariant;quantum_limit;macro_reduction;daansphere_encoding;gyromagnetic;thermodynamic,custom_algebraic_consistency;dependency_coverage;dimensional_balance;limiting_reduction;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,c8f5b8a4124e9dcf5226ad60154b7e63c58c0488
33,cand_033_theorem_lemma_cymatic_topological_control_theorem_cymat,theorem_claim,Theorem,115,lemma cymatic_topological_control: theorem cymatic_topological_control Theorem cymatic_topological_control,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6298,750730f48bb3a69d7ff9c97971376e24f4905e70,ID0170,Energy Extraction Mechanism at the TZP,1000,ae63a17a422291208b5816d4155eb1bf22e32c64,Needs_Semantic_Translation,tzp_foundation;trawin_operator;hamiltonian_dynamics;field_geometry;topological_invariant;quantum_limit;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,5f582332de00cc35ab15d475d3855341025be5a8
34,cand_034_definition_trawin_zero_point_tzp,definition_claim,Definition,114,Trawin Zero Point (TZP),D:\Tex\00_Canon_00_TRAWIN_definition.tex,72,4ce881841a8009ac01ce8cb9636bc474b1a17056,ID9999,Violation of Flat Universe Cosmology: Ω_k Neq 0,46,b9c22f15903583d7952590cbcd3b5dcd876cd393,Core_Definition,tzp_foundation;trawin_operator;helical_geometry;holographic_duality;hamiltonian_dynamics;field_geometry;topological_invariant;quantum_limit;macro_reduction;daansphere_encoding;gyromagnetic;thermodynamic,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,268111b07c33f5d6724bc10d1dad2346b2e11026
35,cand_035_definition_trawin_zero_point_tzp,definition_claim,Definition,114,Trawin Zero Point (\TZP),D:\Tex\All_tex\00_Canon_00_TRAWIN_definition.tex,16,9ced41c53f43bf0a28afa83f2d88e65816f10b7a,ID9999,Violation of Flat Universe Cosmology: Ω_k Neq 0,38,b9c22f15903583d7952590cbcd3b5dcd876cd393,Core_Definition,tzp_foundation;trawin_operator;helical_geometry;holographic_duality;hamiltonian_dynamics;field_geometry;topological_invariant;quantum_limit;macro_reduction;daansphere_encoding;gyromagnetic;thermodynamic,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,9acc7c73ff95c673142a2561de7b913890b31112
36,cand_036_theorem_lemma_trawincharacteristicclass_theorem_trawinc,theorem_claim,Theorem,114,lemma trawincharacteristicclass: theorem trawincharacteristicclass Theorem trawincharacteristicclass,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1853,06f08431806b405463212963898684b70930be6f,ID0020,Trawinistic Winding Number,1000,123843a0cd77f080f9778b6050788663c5c729fe,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;field_geometry;topological_invariant;quantum_limit;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,4e0ffaebee1d479669795ea15ecb210ee0850846
37,cand_037_theorem_lemma_elsasseruniversality_sorry_theorem_elsass,theorem_claim,Theorem,113,lemma elsasseruniversality: sorry theorem elsasseruniversality : Theorem elsasseruniversality :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3437,72c251ef57142a2624f903986315588074a64613,ID0038,Elsasser Attractor Manifold,1000,5ecb9e4e8dc1e87e703b207681c25e47bd11dd12,Needs_Semantic_Translation,trawin_operator;helical_geometry;field_geometry;topological_invariant;quantum_limit;macro_reduction;gyromagnetic,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,c3432f28e2bf9470db7622a9352386874c649de5
38,cand_038_theorem_lemma_nonlinearityconstant_sorry_theorem_nonlin,theorem_claim,Theorem,113,lemma nonlinearityconstant: sorry theorem nonlinearityconstant : Theorem nonlinearityconstant :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,795,5d59698a0b134ff8a027aecc6c5b400bb75606a3,ID0004,Metric Degeneracy Condition,1000,d4d237ed2614079b65542488a706d994a9dcec78,Needs_Semantic_Translation,tzp_foundation;trawin_operator;field_geometry;topological_invariant;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,no,e78056c3626654896ae99ae7f10188f6c4e11e77
39,cand_039_theorem_lemma_trawinisticlaplacian_sorry_theorem_trawin,theorem_claim,Theorem,113,lemma trawinisticlaplacian: sorry theorem trawinisticlaplacian : Theorem trawinisticlaplacian :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1607,a611bbc1d63cfae5181394cbc08c3a2d49adddf7,ID0017,Trawinistic Connection,1000,86ca00f7b51e8cb518d9c909e3968709ac956997,Needs_Semantic_Translation,tzp_foundation;trawin_operator;field_geometry;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,5d7c6c6cd4aa0a992ae5295a7a4fd3f3d99b8a36
40,cand_040_theorem_lemma_curvedquantumfields_sorry_theorem_curvedq,theorem_claim,Theorem,111,lemma curvedquantumfields: sorry theorem curvedquantumfields : Theorem curvedquantumfields :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4228,fbceb47ae23cd50c00c104fccc55048659baddfc,ID0017,Trawinistic Connection,1000,86ca00f7b51e8cb518d9c909e3968709ac956997,Needs_Semantic_Translation,tzp_foundation;trawin_operator;field_geometry;quantum_limit;macro_reduction;thermodynamic,dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,3de76c05a860c850c0c69f117188436c42be9251
41,cand_041_theorem_lemma_dimensionalambiguity_sorry_theorem_dimens,theorem_claim,Theorem,111,lemma dimensionalambiguity: sorry theorem dimensionalambiguity : Theorem dimensionalambiguity :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,387,90792bd19fe412b19141be6696ff45a1f926ac8f,ID0002,Trawinistic Manifold,1000,af4165852cb2a0192f7731a27e300b6b2c2a1754,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;field_geometry;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,no,5280475048b2daa3f0060e90da44d2cd59bfd7d1
42,cand_042_theorem_lemma_hyperdimensionalspan_sorry_theorem_hyperd,theorem_claim,Theorem,111,lemma hyperdimensionalspan: sorry theorem hyperdimensionalspan : Theorem hyperdimensionalspan :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,881,47c49a64cd12b9b13ef65e9388fccf49ac594274,ID0003,Dimensional Ambiguity at TZP,1000,497e4ade1eaa8ea663d7cd64be6880ade7bf9424,Needs_Semantic_Translation,tzp_foundation;trawin_operator;field_geometry;topological_invariant;macro_reduction;thermodynamic,dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,585c3260fe23b1269013a8e0e87777e62f627d3b
