rank,isabelle_name,claim_type,registration_predicate,kind,score,title,source,line,digest
25,cand_025_definition_trawin_zero_point_quantum_vortex_system_tzpqvs,definition_claim,registered_definition,Definition,120,Trawin Zero Point Quantum Vortex System (\TZPQVS),D:\Tex\All_tex\00_Canon_00_TRAWIN_definition.tex,42,3105b482909446b7218a720613c33e15e2ba3c4d
26,cand_026_theorem_lemma_quantuminformationunits_theorem_quantumin,theorem_claim,registered_theorem,Theorem,120,lemma quantuminformationunits: theorem quantuminformationunits : Theorem quantuminformationunits :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5833,c9ef803c41ce52ba084cdd14b7f48f20567c9cf9
27,cand_027_theorem_lemma_causalloopinvariant_sorry_theorem_causall,theorem_claim,registered_theorem,Theorem,119,lemma causalloopinvariant: sorry theorem causalloopinvariant : Theorem causalloopinvariant :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1034,76b4e043d2d98b3627d81c6abf08b876eea4af20
28,cand_028_theorem_lemma_fieldequationstrawinistic_theorem_fieldeq,theorem_claim,registered_theorem,Theorem,119,lemma fieldequationstrawinistic: theorem fieldequationstrawinistic Theorem fieldequationstrawinistic,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2934,f5a8956f438be177b30a1caeb78c87f7e077e172
29,cand_029_theorem_lemma_stochasticdriftmagnitude_theorem_stochast,theorem_claim,registered_theorem,Theorem,119,lemma stochasticdriftmagnitude: theorem stochasticdriftmagnitude : Theorem stochasticdriftmagnitude :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,955,8548f92b7afdf3477c2dee6e399ed3dfead730fa
30,cand_030_theorem_lemma_trawinbaseunit_sorry_theorem_trawinbaseun,theorem_claim,registered_theorem,Theorem,119,lemma trawinbaseunit: sorry theorem trawinbaseunit : Prop := Theorem trawinbaseunit : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,620,d4fc331fc4ab203b28281056c8dfb27082710b9e
31,cand_031_theorem_lemma_spectraldensityindex_sorry_theorem_spectr,theorem_claim,registered_theorem,Theorem,117,lemma spectraldensityindex: sorry theorem spectraldensityindex : Theorem spectraldensityindex :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1376,9695a591663c8ee687b2058c28ce6e4f58fff391
32,cand_032_theorem_symmetry_fixed_bifurcation_criterion_for_the_tra,theorem_claim,registered_theorem,Theorem,116,Symmetry-fixed bifurcation criterion for the Trawin Zero Point,D:\Tex\TRAWIN.tex,206,7049efd1de3c49d40600536b2851fd9ef5fc7ce8
33,cand_033_theorem_lemma_cymatic_topological_control_theorem_cymat,theorem_claim,registered_theorem,Theorem,115,lemma cymatic_topological_control: theorem cymatic_topological_control Theorem cymatic_topological_control,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6298,750730f48bb3a69d7ff9c97971376e24f4905e70
34,cand_034_definition_trawin_zero_point_tzp,definition_claim,registered_definition,Definition,114,Trawin Zero Point (TZP),D:\Tex\00_Canon_00_TRAWIN_definition.tex,72,4ce881841a8009ac01ce8cb9636bc474b1a17056
35,cand_035_definition_trawin_zero_point_tzp,definition_claim,registered_definition,Definition,114,Trawin Zero Point (\TZP),D:\Tex\All_tex\00_Canon_00_TRAWIN_definition.tex,16,9ced41c53f43bf0a28afa83f2d88e65816f10b7a
36,cand_036_theorem_lemma_trawincharacteristicclass_theorem_trawinc,theorem_claim,registered_theorem,Theorem,114,lemma trawincharacteristicclass: theorem trawincharacteristicclass Theorem trawincharacteristicclass,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1853,06f08431806b405463212963898684b70930be6f
37,cand_037_theorem_lemma_elsasseruniversality_sorry_theorem_elsass,theorem_claim,registered_theorem,Theorem,113,lemma elsasseruniversality: sorry theorem elsasseruniversality : Theorem elsasseruniversality :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3437,72c251ef57142a2624f903986315588074a64613
38,cand_038_theorem_lemma_nonlinearityconstant_sorry_theorem_nonlin,theorem_claim,registered_theorem,Theorem,113,lemma nonlinearityconstant: sorry theorem nonlinearityconstant : Theorem nonlinearityconstant :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,795,5d59698a0b134ff8a027aecc6c5b400bb75606a3
39,cand_039_theorem_lemma_trawinisticlaplacian_sorry_theorem_trawin,theorem_claim,registered_theorem,Theorem,113,lemma trawinisticlaplacian: sorry theorem trawinisticlaplacian : Theorem trawinisticlaplacian :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1607,a611bbc1d63cfae5181394cbc08c3a2d49adddf7
40,cand_040_theorem_lemma_curvedquantumfields_sorry_theorem_curvedq,theorem_claim,registered_theorem,Theorem,111,lemma curvedquantumfields: sorry theorem curvedquantumfields : Theorem curvedquantumfields :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4228,fbceb47ae23cd50c00c104fccc55048659baddfc
41,cand_041_theorem_lemma_dimensionalambiguity_sorry_theorem_dimens,theorem_claim,registered_theorem,Theorem,111,lemma dimensionalambiguity: sorry theorem dimensionalambiguity : Theorem dimensionalambiguity :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,387,90792bd19fe412b19141be6696ff45a1f926ac8f
42,cand_042_theorem_lemma_hyperdimensionalspan_sorry_theorem_hyperd,theorem_claim,registered_theorem,Theorem,111,lemma hyperdimensionalspan: sorry theorem hyperdimensionalspan : Theorem hyperdimensionalspan :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,881,47c49a64cd12b9b13ef65e9388fccf49ac594274
43,cand_043_theorem_lemma_helicityquantisation_sorry_theorem_helici,theorem_claim,registered_theorem,Theorem,110,lemma helicityquantisation: sorry theorem helicityquantisation : Theorem helicityquantisation :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3517,e7f0a59b3eec7ce141adefde755cb2e413e0bc5b
44,cand_044_theorem_lemma_vacuumpolarization_sorry_theorem_vacuumpo,theorem_claim,registered_theorem,Theorem,110,lemma vacuumpolarization: sorry theorem vacuumpolarization : Prop Theorem vacuumpolarization : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4380,ded01c2017055c0435c27b6ad71d27b13c7ef845
45,cand_045_definition_trawinistic_manifold,definition_claim,registered_definition,Definition,109,Trawinistic Manifold,D:\Tex\trawin_zero_point_quantum_field_theory.tex,49,774549755b48e6e9623337c3ce1ea9b4b93b4e28
46,cand_046_theorem_lemma_0181_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,109,lemma 0181_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7190,19781832febb692589ab26de73dfdff853e48c8a
47,cand_047_theorem_lemma_multipartitenetworks_sorry_theorem_multip,theorem_claim,registered_theorem,Theorem,109,lemma multipartitenetworks: sorry theorem multipartitenetworks : Theorem multipartitenetworks :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5525,14887870d468212a6499a7879bc848d14fb03190
48,cand_048_axiom_axiom_vii_helical_projection_to_daansphere,axiom_claim,registered_axiom,Axiom,108,Axiom VII: Helical Projection to DAANSphere,D:\Tex\00_Engine_extractions\axiom.tex,217,47559347b02034bf5ee983598086f943aebb5fe3
49,cand_049_theorem_tzp_emergence_as_symmetry_fixed_bifurcation_of_t,theorem_claim,registered_theorem,Theorem,108,TZP emergence as symmetry-fixed bifurcation of TRAWIN closure,D:\Tex\00_Canon_00_TRAWIN_definition.tex,256,b5f0ab97fb4803a7b6226f45141b243784a8b1d4
50,cand_050_theorem_lemma_boundaryquantumeffects_theorem_boundaryqu,theorem_claim,registered_theorem,Theorem,108,lemma boundaryquantumeffects: theorem boundaryquantumeffects : Theorem boundaryquantumeffects :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4624,6815edcc8cd4a07fec84bc6fa8e0ef91c5b42c67
51,cand_051_theorem_lemma_curvature_and_field_strength_theorem_theo,theorem_claim,registered_theorem,Theorem,108,lemma curvature_and_field_strength: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6586,d25dce915c4c235b42e32e443bc36ad2a7485a1c
52,cand_052_theorem_lemma_magneticmomentscaling_theorem_magneticmom,theorem_claim,registered_theorem,Theorem,108,lemma magneticmomentscaling: theorem magneticmomentscaling : Theorem magneticmomentscaling :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3764,eaf13e1370747b91ab597edd2ee4e98b247242a8
53,cand_053_theorem_lemma_entanglementstructure_sorry_theorem_entan,theorem_claim,registered_theorem,Theorem,107,lemma entanglementstructure: sorry theorem entanglementstructure : Theorem entanglementstructure :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5455,8ff2c9deb055e4ffdd62cf8d4afb4be41c8c7fd4
54,cand_054_theorem_lemma_quantumchaosindicators_theorem_quantumcha,theorem_claim,registered_theorem,Theorem,107,lemma quantumchaosindicators: theorem quantumchaosindicators : Theorem quantumchaosindicators :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6506,d291cda63fc6ce3979e51e04fba7fec1b7a3b43b
55,cand_055_theorem_lemma_runningphysicalconstants_theorem_runningp,theorem_claim,registered_theorem,Theorem,107,lemma runningphysicalconstants: theorem runningphysicalconstants : Theorem runningphysicalconstants :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4937,35314902ffef1c77b6137ea668c33ce2fe274a32
56,cand_056_theorem_lemma_zeropointfluctuations_theorem_zeropointfl,theorem_claim,registered_theorem,Theorem,107,lemma zeropointfluctuations: theorem zeropointfluctuations : Theorem zeropointfluctuations :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4151,80dbadccf1cc491dde1449f1d3e5e3d02a0d2112
57,cand_057_axiom_axiom_iii_master_equation_for_rnadna,axiom_claim,registered_axiom,Axiom,106,Axiom III: Master Equation for RNA→DNA,D:\Tex\00_Engine_extractions\axiom.tex,100,11e246b4ceb05c83810bfb3ffe60b8a24d9fd08b
58,cand_058_theorem_lemma_0186_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,106,lemma 0186_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7591,0f7f58c9b0b24d2691247c9c5e3c899b22088c14
59,cand_059_theorem_lemma_temporaldisplacement_sorry_theorem_tempor,theorem_claim,registered_theorem,Theorem,106,lemma temporaldisplacement: sorry theorem temporaldisplacement : Theorem temporaldisplacement :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,706,af51334cf3f1ba2f2ea47840a35c61645cc0cc36
60,cand_060_theorem_lemma_nullspaceprojection_sorry_theorem_nullspa,theorem_claim,registered_theorem,Theorem,104,lemma nullspaceprojection: sorry theorem nullspaceprojection : Theorem nullspaceprojection :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1199,061b84c16ed1a8780bd2a485a5c4ac79c5b62d8f
61,cand_061_theorem_lemma_semiclassicallimits_sorry_theorem_semicla,theorem_claim,registered_theorem,Theorem,104,lemma semiclassicallimits: sorry theorem semiclassicallimits : Prop Theorem semiclassicallimits :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6590,71497f8cc5a7f70dc6b4632d60c0e4ef826aaebb
62,cand_062_definition_definition_1_1_1_trawinistic_manifold,definition_claim,registered_definition,Definition,103,Definition 1.1.1 (Trawinistic Manifold):,D:\Tex\TEX_20260224_182530\AnteOmniaCorpusInfinitum.tex,302,ad00bbf8269c0fc0bb0396a9df12ef6b5e0de489
63,cand_063_definition_tzp_hamiltonian,definition_claim,registered_definition,Definition,103,TZP Hamiltonian,D:\Tex\trawin_zero_point_quantum_field_theory.tex,96,0bf5ac69215357c22e34384ed081541a821aacca
64,cand_064_theorem_lemma_0182_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,103,lemma 0182_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7275,e5c76ae164c241330be1cbd39690e15b4f774edb
65,cand_065_theorem_lemma_lemniscaticselfintersection_theorem_theor,theorem_claim,registered_theorem,Theorem,103,lemma lemniscaticselfintersection: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,305,571438be19e27a7f1316bb58b9951ae0cd010a00
66,cand_066_axiom_axiom_ix_holographic_helical_correspondence,axiom_claim,registered_axiom,Axiom,102,Axiom IX: Holographic--Helical Correspondence,D:\Tex\00_Engine_extractions\axiom.tex,241,375a19ef2d29d282e8e9ef36c8e10f17a24f8d57
67,cand_067_definition_trawin_zero_point_theory_tzpt,definition_claim,registered_definition,Definition,102,Trawin Zero Point Theory (\TZPT),D:\Tex\All_tex\00_Canon_00_TRAWIN_definition.tex,30,2eccbbb0205a7f624414f1c744872419505be1c4
68,cand_068_law_id_025_conservation_law_tzp_topological_charg,law_claim,registered_law,Law,102,"ID\,025: Conservation Law: TZP Topological Charge",D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,595,f844db5d66c6da26b9156fe675602890175d2a23
69,cand_069_proposition_tzp_topological_quantization,proposition_claim,registered_proposition,Proposition,102,TZP Topological Quantization,D:\Tex\trawin_zero_point_quantum_field_theory.tex,406,d45b737e960d0f0f85cdaf3cc534f37b670eb212
70,cand_070_theorem_theorem_4_tzp_emergence_mechanism_planck_oscil,theorem_claim,registered_theorem,Theorem,102,THEOREM 4: TZP Emergence Mechanism: Planck oscillations ω P ≈ 1.86×1043 Hz with,D:\Zenodo\gyromagnetic_validation.pdf,256,81da6fa0e5110b5248eca1b6b53c5c5897cae734
71,cand_071_theorem_lemma_confinedmodequantization_theorem_confined,theorem_claim,registered_theorem,Theorem,102,lemma confinedmodequantization: theorem confinedmodequantization : Theorem confinedmodequantization :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4543,103c95393bb59cf56c1f60aad219f9226f9420a6
72,cand_072_theorem_lemma_continuousvariablesystems_theorem_continu,theorem_claim,registered_theorem,Theorem,102,lemma continuousvariablesystems: theorem continuousvariablesystems Theorem continuousvariablesystems,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5975,b086e4549395f5bba0e5470db43e2da373f6fc6a
73,cand_073_theorem_lemma_holonomy_and_closed_loops_theorem_holonom,theorem_claim,registered_theorem,Theorem,102,lemma holonomy_and_closed_loops: theorem holonomy_and_closed_loops : Theorem holonomy_and_closed_loops :,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6722,a8255dc77e4ee557de3b2508e0c351ff66f9630d
74,cand_074_theorem_lemma_linkingnumberuniversality_theorem_linking,theorem_claim,registered_theorem,Theorem,102,lemma linkingnumberuniversality: theorem linkingnumberuniversality Theorem linkingnumberuniversality,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3682,4d5114965acbd95c6475c277c0c2ea1a669d05cd
75,cand_075_theorem_lemma_observerdependentstates_theorem_observerd,theorem_claim,registered_theorem,Theorem,102,lemma observerdependentstates: theorem observerdependentstates : Theorem observerdependentstates :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5384,2a671f07dc1de4d73fb96adc90e70017e48ea9ac
76,cand_076_theorem_lemma_quantumchannels_sorry_theorem_quantumchan,theorem_claim,registered_theorem,Theorem,102,lemma quantumchannels: sorry theorem quantumchannels : Prop := Theorem quantumchannels : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6049,ba13249c877840a6a5e4d411788e5505b27ac4a0
77,cand_077_theorem_lemma_quantumtransport_sorry_theorem_quantumtra,theorem_claim,registered_theorem,Theorem,102,lemma quantumtransport: sorry theorem quantumtransport : Prop := Theorem quantumtransport : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6361,8bc08c938b77111f6fa6a3038e9ef1ce4454acf1
78,cand_078_theorem_lemma_qubitembedding_sorry_theorem_qubitembeddi,theorem_claim,registered_theorem,Theorem,102,lemma qubitembedding: sorry theorem qubitembedding : Prop := Theorem qubitembedding : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5904,b2e2daca568742fb41f3acb7f6020e5b3dcda324
79,cand_079_theorem_lemma_spinorspinnetwork_sorry_theorem_spinorspi,theorem_claim,registered_theorem,Theorem,102,lemma spinorspinnetwork: sorry theorem spinorspinnetwork : Prop Theorem spinorspinnetwork : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5760,0d7fb9bcd76669661062b63973dda3bd504b0542
80,cand_080_theorem_lemma_0183_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,101,lemma 0183_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7358,d13d6aac3982ddf141fe03553d5448dbab0cecf8
81,cand_081_theorem_lemma_0184_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,101,lemma 0184_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7436,b09c6a1a04e3f3fbbf9c0bfddb1c558902ce0170
82,cand_082_theorem_lemma_0188_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,101,lemma 0188_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7750,7c15c8e098f54201471d0de2461a54caf54e041b
83,cand_083_theorem_lemma_actionfunctional_sorry_theorem_actionfunc,theorem_claim,registered_theorem,Theorem,101,lemma actionfunctional: sorry theorem actionfunctional : Prop := Theorem actionfunctional : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2768,de84314eaabcaa1ef5cb7ade458f685d8ef69dfa
84,cand_084_theorem_lemma_coherencedecoherence_sorry_theorem_cohere,theorem_claim,registered_theorem,Theorem,101,lemma coherencedecoherence: sorry theorem coherencedecoherence : Theorem coherencedecoherence :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5013,dd50e9e98e68cd629262cf93262ea0d4f882e505
85,cand_085_theorem_lemma_elsasserattractor_sorry_theorem_elsassera,theorem_claim,registered_theorem,Theorem,101,lemma elsasserattractor: sorry theorem elsasserattractor : Prop Theorem elsasserattractor : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3277,4be67c068b08ec9aef7d1ed6d0b4b27bf4a803fc
86,cand_086_theorem_lemma_emergentrotationprinciple_theorem_emergen,theorem_claim,registered_theorem,Theorem,101,lemma emergentrotationprinciple: theorem emergentrotationprinciple Theorem emergentrotationprinciple,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3193,8ea85d0969694015a7531a1a507621679907022d
87,cand_087_theorem_lemma_environmentsuperselection_theorem_environ,theorem_claim,registered_theorem,Theorem,101,lemma environmentsuperselection: theorem environmentsuperselection : Theorem environmentsuperselection :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5086,fdd8adae72405e909afd3be5e9653aa24766b2de
88,cand_088_theorem_lemma_fluctuationdissipation_theorem_fluctuatio,theorem_claim,registered_theorem,Theorem,101,lemma fluctuationdissipation: theorem fluctuationdissipation : Theorem fluctuationdissipation :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6276,1710ba0e822faede785a53b82356f04beec8734e
89,cand_089_theorem_lemma_intermodaltransferrate_theorem_intermodal,theorem_claim,registered_theorem,Theorem,101,lemma intermodaltransferrate: theorem intermodaltransferrate : Theorem intermodaltransferrate :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1297,faa1dba623e3fd062802c7e0cef85dafc8d988d0
90,cand_090_theorem_lemma_measurementbackaction_sorry_theorem_measu,theorem_claim,registered_theorem,Theorem,101,lemma measurementbackaction: sorry theorem measurementbackaction : Theorem measurementbackaction :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5308,119c290aacbfc275c594ab1d181c3398447be5fb
91,cand_091_theorem_lemma_quantumfieldpropagator_theorem_quantumfie,theorem_claim,registered_theorem,Theorem,101,lemma quantumfieldpropagator: theorem quantumfieldpropagator : Theorem quantumfieldpropagator :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3014,b638d7af7f8f7acfb51e64631c80af3729bc5b9d
