isabelle_sid,source_id,kind,label,source,line,digest
67,A67,Axiom,A67,axiom_theorem_extraction\extraction_summary.md,9,870a49c10810adbb7a3a4127dde7626f43a22f4c
68,A68,Axiom,I,d:\Obsidian\pdf_pipeline_runs\pdf_dual_run_20260311_022638\storyline_bertopic_run_20260311_022719\obsidian_edit\dialogue_chapters_clean.md,271,21f5d34e5bea3dc934bb6c0581ccd4c827b71a50
69,A69,Axiom,II,d:\Obsidian\pdf_pipeline_runs\pdf_dual_run_20260311_022638\storyline_bertopic_run_20260311_022719\obsidian_edit\dialogue_chapters_clean.md,271,5be6637138178f9ed7f186f5d96d0f4d9fd2dc1e
70,A70,Axiom,III,d:\Obsidian\pdf_pipeline_runs\pdf_dual_run_20260311_022638\storyline_bertopic_run_20260311_022719\obsidian_edit\dialogue_chapters_clean.md,271,64d39344ec63542c0b627f03dc2de30c705cba5a
71,A71,Axiom,IV,d:\Obsidian\pdf_pipeline_runs\pdf_dual_run_20260311_022638\storyline_bertopic_run_20260311_022719\obsidian_edit\dialogue_chapters_clean.md,271,42061764a23cfa55bf0e325ad18f2c26f86fd4c1
72,A72,Axiom,V,d:\Obsidian\pdf_pipeline_runs\pdf_dual_run_20260311_022638\storyline_bertopic_run_20260311_022719\obsidian_edit\dialogue_chapters_clean.md,271,5d6a1e22866d86bddef97d0f692ad1ebaa7b7059
73,A73,Axiom,VI,d:\Obsidian\pdf_pipeline_runs\pdf_dual_run_20260311_022638\storyline_bertopic_run_20260311_022719\obsidian_edit\dialogue_chapters_clean.md,271,adf3ffebe6b1cbc27d8675638e3228b5d03c4811
74,A74,Axiom,VII,d:\Obsidian\pdf_pipeline_runs\pdf_dual_run_20260311_022638\storyline_bertopic_run_20260311_022719\obsidian_edit\dialogue_chapters_clean.md,271,c446132560f53710653c7dc2885a102f7deaee29
75,A75,Axiom,VIII,d:\Obsidian\pdf_pipeline_runs\pdf_dual_run_20260311_022638\storyline_bertopic_run_20260311_022719\obsidian_edit\dialogue_chapters_clean.md,271,70449fac6da00424c8e16d5c784c00e1a8136858
76,AS1,Assumption,ID0086: Rejection of Primordial Angular Momentum Assumption,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0086,88,4c3c7062c561d94b67c5d7b087eb94e9c4a4e731
77,AS2,Assumption,AS2,axiom_theorem_extraction\extraction_summary.md,8,e58795c01a2a5b1fdf97da5fed17b84010c1ff39
78,I1,Invariant,ID0006: Trawin Base Unit,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0006,8,0a60351a9aac51dab5dbb26fa7e19594960557d2
79,I2,Invariant,ID0011: Causal Loop Invariant,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0011,13,c3cdd91f1f0812859b41e4bcd2d2388e34eb9b7a
80,I3,Invariant,ID0067: Topological Quantum States,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0067,69,0f8075c10fa747abb297e97ccc9adf9f11ef09de
81,I4,Invariant,ID0154: Topological Gerbe Classification,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0154,156,85f760b37c0592aa33c4f9103639c37784a5a6e7
82,I5,Invariant,ID0155: Chern–Simons Obstruction Class,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0155,157,d21651551b59297df9b0395ce7ee5c81fbef4f77
83,I6,Invariant,ID0464: Causal Order Collapse Logic,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0464,466,bedcac2a6d6f609f3b76af4d5ce6d80d8c8493f5
84,I7,Invariant,ID0486: Berry Connection Gauge Invariance,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0486,488,48b2d90b8fecf55dbcb87b75fca389d169e94161
85,I8,Invariant,ID0494: Scale Invariance Confirmation,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0494,496,c198a734c5a6d85af34c3a4183be2536c658b1bb
86,I9,Invariant,ID0643: Gauss Linking Number and Topological Invariant,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0643,645,37d472b19a1aee7a93a4e9589b652b89d81605eb
87,I10,Invariant,ID0991: Topological Winding Trace,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0991,992,985b084d3a207036ca7400edf44403537d9f2092
88,I11,Invariant,ID10025: Linking Number: L in Z,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID10025,9512,65aaf3619b450a827a3f4456230635f8bfa35f34
89,I12,Invariant,ID10026: Magnetic Helicity: H_M / Φ_0^2 in Z,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID10026,9513,e79a360bc2de281862fba38054c1a4629bd71fe3
90,I13,Invariant,"ID10043: Relation: ∫ ρ(x,t) DV",TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID10043,9530,7b895da5cdfffe6b6871d5d2808281cad84c763b
91,I14,Invariant,ID10050: Relation: ∇×[ a (Something) ],TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID10050,9537,eb0da4cf871db2b3a8832fd8143adf9aa833fbf9
92,I15,Invariant,ID10093: Relation: μ_r ∼ 10^3,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID10093,9580,a18b79c31a7eff61535e3063d0a7afbb8b7ef0e5
93,I16,Invariant,ID10096: Relation: R_KK ∼ 1,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID10096,9583,189fc6dda0b3cd72c4eb4e91a2298674a2f363eb
94,I17,Invariant,ID1215: Magnetic Field Ramp-Up & Flux Arrangement,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1215,1215,c954c02352bee24bde2a60110082b5b0ed4cf9e0
95,I18,Invariant,ID1297: Topological Gerbe Classification,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1297,1295,bcfac0ba9ec8d7bcb54e5290cfe84263df1d2d06
96,I19,Invariant,ID1539: Fundamental Mathematical Operator Tzp,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1539,1537,9f205681457cdddfc5309e5b5e6ee0f9af7a5664
97,I20,Invariant,ID1641: The1pi,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1641,1639,af396cca8df2de9c4468263755cb8669470c3ae5
98,I21,Invariant,ID1834: The Topological Universality Class,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1834,1832,a6f64e955cbb42dec44db20673e40a4d9a92788e
99,I22,Invariant,ID1854: Time as a Toroidal Winding Parameter,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1854,1852,278722b56ee056ba401abd755bd0204dbd8f53ee
100,I23,Invariant,ID1868: Hand Geometry and the Dimensional Encoding Problem,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1868,1866,0e0e64ca8789fae279b449021b8729cbae3aa01e
101,I24,Invariant,ID1952: EID_1039 Helicity Coupling Source,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1952,1950,3cd3254ffef029afa52e0add9f26f6f9e8184825
102,I25,Invariant,ID2171: The1pi,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID2171,2167,6e34dcea4ba8128e6f777599ba21761d9782ca9f
103,I26,Invariant,ID2356: Scale Invariance Confirmation,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID2356,2348,f56928c8322d069bf658c32e00b71a9501ecb20f
104,I27,Invariant,ID2427: Topological Winding Trace,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID2427,2419,c059f1356d2449879fe6673ee187ceb05148f421
105,I28,Invariant,ID2433: Trawin Coupling Invariant,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID2433,2425,088e7570c9613d369ffa01b992f034ff4c859b69
106,I29,Invariant,ID2566: Trawin Coupling Invariant,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID2566,2558,06acf8359cda6df13ecdf4eb78ab8d8cfa127918
107,I30,Invariant,ID2642: Continuation of Causal Loop Invariant,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID2642,2631,abb57705c14c635b85cbead3f24f06a67bf3fc05
108,I31,Invariant,ID3285: Alfven Displacement Wave Wave Equation,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID3285,2910,9e5bf280618cd6301a5eeec67d88947659fff0bd
109,I32,Invariant,ID3507: Gyromagnetic Stress-Energy Tensor,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID3507,3132,6995d709d8c3ba7bb414fa23c1c141584dd720e0
110,I33,Invariant,ID3900: Magnetic Helicity Tensor Coupling,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID3900,3523,6cefe96de91be14bda656a9877f82440b47a51b6
111,I34,Invariant,ID4199: Magnetic Flux Relation,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID4199,3816,ced6a3e42dfeffcba830ec00915f83b2deef9bca
112,I35,Invariant,ID5860: Potential Energy Functional,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID5860,5366,35bee1bbffc30b5909602af108c3e5db7f6401ff
113,I36,Invariant,"ID6444: Step 3 — TZP Emerges at Phase Singularity: (ReΨ,ImΨ)",TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID6444,5931,416d13297b20bfb9dd87a22ca97bb3f6126f31fc
114,I37,Invariant,ID6445: Step 3 — TZP Emerges at Phase Singularity: (1/2π)oint_C d(argΨ),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID6445,5932,477e62f0a3c653036aa4101173127575f761ed09
115,I38,Invariant,ID6446: Step 3 — TZP Emerges at Phase Singularity: cos(2φ)cosθ,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID6446,5933,e4a0e6204d3856145208774c4be3ab27c158b8c6
116,I39,Invariant,ID6447: Step 3 — TZP Emerges at Phase Singularity: W,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID6447,5934,13fbbb82aafb06608cac0dcd233bd51d1dedd1de
117,I40,Invariant,ID6448: Step 3 — TZP Emerges at Phase Singularity: Oint dargΨ,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID6448,5935,4107d4f5895cd3065cfa469f7e1359a280d01dcb
118,I41,Invariant,ID6449: Step 3 — TZP Emerges at Phase Singularity: arg(Ψ),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID6449,5936,3c8d3228337d076905043d0ab96060700dc38ad6
119,I42,Invariant,ID7851: Short Roadmap Toward Wormhole/Stability Conditions,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID7851,7338,5c2bd54bccc6cc818a1d7d093cd37481fc97e662
120,I43,Invariant,ID7852: Short Roadmap Toward Wormhole/Stability Conditions: T_μν^rm EM+SC,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID7852,7339,d53cbbdbf0b1c8595a7e4a86ae4aafedf589e978
121,I44,Invariant,ID7853: Short Roadmap Toward Wormhole/Stability Conditions: h_μν,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID7853,7340,08678c65e4b882c9dff44949f5959d5e389ad61c
122,I45,Invariant,ID7854: Short Roadmap Toward Wormhole/Stability Conditions: □ h_μν,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID7854,7341,8112ea5bd6794fae4005d8a1b47dc3e94552832c
123,I46,Invariant,ID7855: Short Roadmap Toward Wormhole/Stability Conditions: T_μν,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID7855,7342,d82d73a4dfc95ba27368c73c1ee849384d1a4d49
124,I47,Invariant,ID8150: Full Explicit Expansions — Both Observers: g_μν,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8150,7637,54efae2a87c2e824464ff9ab37d145ac6bc9c368
125,I48,Invariant,ID8151: Full Explicit Expansions — Both Observers: g^μν,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8151,7638,211496404c11b68d826d90b1a09ee82256b964f9
126,I49,Invariant,ID8152: Full Explicit Expansions — Both Observers: (-+++),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8152,7639,4f4e94da0fd00ce244fffc3b04758811d7a4d8ab
127,I50,Invariant,ID8153: Full Explicit Expansions — Both Observers: F_μν,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8153,7640,9459afbb178b9a34bf0254c2d8a239f472ad6c2a
128,I51,Invariant,ID8154: Full Explicit Expansions — Both Observers: I≡ F^αβF_αβ,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8154,7641,57788351c0376e252bbd395676a1f5633bb38b85
129,I52,Invariant,ID8155: Full Explicit Expansions — Both Observers: T^μν_rm EM,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8155,7642,7b51aebe628af6f467abf6d1e498dac3a9bee367
130,I53,Invariant,ID8156: Full Explicit Expansions — Both Observers: T^μν_rm Matter,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8156,7643,d7479e6709be00b23408f3c584f3f51b7a91b9ed
131,I54,Invariant,ID8157: Full Explicit Expansions — Both Observers: h^μν,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8157,7644,d4ef98283ba0d2dd2b95e468124db2ba1fe6dc37
