dep_rung,dep_id,dependent_rung,dependent_id
79,ID0086,3535,ID4011
8,ID0009,3561,ID4038
384,ID0411,3563,ID4040
456,ID0491,3564,ID4041
458,ID0493,3565,ID4042
18,ID0019,3577,ID4054
8,ID0009,3580,ID4057
9,ID0010,3580,ID4057
11,ID0012,3582,ID4059
13,ID0014,3584,ID4061
14,ID0015,3584,ID4061
95,ID0109,3585,ID4063
96,ID0110,3586,ID4064
97,ID0111,3586,ID4064
99,ID0113,3587,ID4065
11,ID0012,3589,ID4067
14,ID0015,3590,ID4068
18,ID0019,3591,ID4069
22,ID0023,3594,ID4072
24,ID0025,3596,ID4074
384,ID0411,3607,ID4087
385,ID0413,3609,ID4089
387,ID0415,3610,ID4090
389,ID0417,3612,ID4092
391,ID0419,3614,ID4094
456,ID0491,3616,ID4096
458,ID0493,3618,ID4098
9,ID0010,3619,ID4099
994,ID1032,3619,ID4099
1388,ID1433,3619,ID4099
384,ID0411,3621,ID4102
900,ID0937,3621,ID4102
387,ID0415,3622,ID4103
902,ID0939,3622,ID4103
389,ID0417,3623,ID4104
906,ID0943,3623,ID4104
391,ID0419,3624,ID4105
909,ID0946,3624,ID4105
412,ID0442,3627,ID4108
1162,ID1205,3627,ID4108
456,ID0491,3628,ID4109
1212,ID1256,3628,ID4109
458,ID0493,3629,ID4110
1214,ID1258,3629,ID4110
999,ID1037,3630,ID4112
1275,ID1320,3630,ID4112
1007,ID1045,3642,ID4124
1283,ID1328,3642,ID4124
1008,ID1046,3643,ID4125
1284,ID1329,3643,ID4125
1009,ID1047,3644,ID4126
1285,ID1330,3644,ID4126
1010,ID1048,3645,ID4127
1286,ID1331,3645,ID4127
37,ID0041,4157,ID4642
95,ID0109,4666,ID5155
96,ID0110,4667,ID5156
97,ID0111,4667,ID5156
99,ID0113,4668,ID5157
95,ID0109,4669,ID5159
99,ID0113,4670,ID5160
370,ID0396,4677,ID5167
371,ID0397,4679,ID5169
371,ID0397,4680,ID5170
371,ID0397,4681,ID5171
375,ID0401,4682,ID5172
548,ID0583,4685,ID5175
523,ID0558,4687,ID5177
526,ID0561,4688,ID5178
527,ID0562,4688,ID5178
539,ID0574,4689,ID5179
541,ID0576,4689,ID5179
548,ID0583,4690,ID5180
550,ID0585,4691,ID5181
551,ID0586,4691,ID5181
552,ID0587,4691,ID5181
567,ID0602,4692,ID5182
568,ID0603,4692,ID5182
569,ID0604,4692,ID5182
523,ID0558,4693,ID5183
526,ID0561,4694,ID5184
527,ID0562,4694,ID5184
539,ID0574,4695,ID5185
541,ID0576,4695,ID5185
548,ID0583,4696,ID5186
550,ID0585,4697,ID5187
551,ID0586,4697,ID5187
552,ID0587,4697,ID5187
567,ID0602,4698,ID5188
568,ID0603,4698,ID5188
569,ID0604,4698,ID5188
724,ID0760,4707,ID5197
725,ID0761,4707,ID5197
726,ID0762,4707,ID5197
730,ID0766,4708,ID5198
735,ID0771,4709,ID5199
736,ID0772,4709,ID5199
738,ID0774,4710,ID5200
739,ID0775,4710,ID5200
740,ID0776,4710,ID5200
757,ID0793,4711,ID5201
800,ID0836,4712,ID5202
801,ID0837,4712,ID5202
802,ID0838,4712,ID5202
724,ID0760,4713,ID5203
725,ID0761,4713,ID5203
726,ID0762,4713,ID5203
730,ID0766,4714,ID5204
6,ID0007,4715,ID5205
735,ID0771,4715,ID5205
736,ID0772,4715,ID5205
738,ID0774,4716,ID5206
739,ID0775,4716,ID5206
740,ID0776,4716,ID5206
757,ID0793,4717,ID5207
800,ID0836,4718,ID5208
801,ID0837,4718,ID5208
802,ID0838,4718,ID5208
384,ID0411,4720,ID5210
387,ID0415,4721,ID5211
388,ID0416,4722,ID5212
812,ID0848,4723,ID5213
812,ID0848,4724,ID5214
994,ID1032,4725,ID5215
405,ID0435,4727,ID5217
409,ID0439,4728,ID5218
456,ID0491,4729,ID5219
409,ID0439,4730,ID5220
412,ID0442,4730,ID5220
1161,ID1204,4730,ID5220
1162,ID1205,4730,ID5220
993,ID1031,4731,ID5221
1273,ID1318,4731,ID5221
994,ID1032,4732,ID5222
994,ID1032,4733,ID5223
1274,ID1319,4733,ID5223
997,ID1035,4734,ID5224
997,ID1035,4735,ID5225
1275,ID1320,4735,ID5225
999,ID1037,4736,ID5226
999,ID1037,4737,ID5227
1276,ID1321,4737,ID5227
1000,ID1038,4738,ID5228
1000,ID1038,4739,ID5229
1277,ID1322,4739,ID5229
1001,ID1039,4740,ID5230
1001,ID1039,4741,ID5231
1278,ID1323,4741,ID5231
1279,ID1324,4742,ID5232
1003,ID1041,4743,ID5233
1003,ID1041,4744,ID5234
1280,ID1325,4744,ID5234
1004,ID1042,4745,ID5235
1004,ID1042,4746,ID5236
1281,ID1326,4746,ID5236
1005,ID1043,4747,ID5237
1005,ID1043,4748,ID5238
1283,ID1328,4748,ID5238
1007,ID1045,4749,ID5239
1007,ID1045,4750,ID5240
1284,ID1329,4750,ID5240
1008,ID1046,4751,ID5241
1008,ID1046,4752,ID5242
1285,ID1330,4752,ID5242
1009,ID1047,4753,ID5243
1009,ID1047,4754,ID5244
1286,ID1331,4754,ID5244
1010,ID1048,4755,ID5245
994,ID1032,4758,ID5248
1274,ID1319,4758,ID5248
997,ID1035,4759,ID5249
1275,ID1320,4759,ID5249
999,ID1037,4760,ID5250
1276,ID1321,4760,ID5250
1000,ID1038,4761,ID5251
1277,ID1322,4761,ID5251
1001,ID1039,4762,ID5252
1278,ID1323,4762,ID5252
994,ID1032,4763,ID5253
1274,ID1319,4763,ID5253
997,ID1035,4764,ID5254
1275,ID1320,4764,ID5254
116,ID0132,4765,ID5255
999,ID1037,4765,ID5255
1276,ID1321,4765,ID5255
1000,ID1038,4766,ID5256
1277,ID1322,4766,ID5256
1001,ID1039,4767,ID5257
1278,ID1323,4767,ID5257
375,ID0401,4773,ID5263
375,ID0401,4774,ID5264
377,ID0403,4774,ID5264
1381,ID1426,4774,ID5264
1382,ID1427,4774,ID5264
375,ID0401,4775,ID5265
377,ID0403,4775,ID5265
1381,ID1426,4775,ID5265
1382,ID1427,4775,ID5265
3207,ID3672,5218,ID5818
11,ID0012,5376,ID5976
18,ID0019,5377,ID5977
22,ID0023,5378,ID5978
23,ID0024,5379,ID5979
25,ID0026,5380,ID5980
28,ID0029,5381,ID5981
29,ID0030,5382,ID5982
37,ID0041,5383,ID5984
295,ID0317,5385,ID5987
300,ID0322,5386,ID5988
1321,ID1366,5387,ID5989
234,ID0256,5955,ID6583
6581,ID7216,6582,ID7215
6582,ID7215,6583,ID7214
6583,ID7214,6676,ID7311
6676,ID7311,6679,ID7314
6679,ID7314,6941,ID7577
7204,ID7842,7205,ID6430
7205,ID6430,7206,ID3339
2275,ID2354,7714,ID8351
7714,ID8351,7715,ID3513
7715,ID3513,7716,ID3514
7716,ID3514,7747,ID8382
7747,ID8382,7756,ID8391
8,ID0009,7831,ID8466
1128,ID1167,7838,ID8473
1085,ID1124,7870,ID8507
7922,ID8559,7923,ID0428
59,ID0066,7992,ID8630
17,ID0018,8142,ID8783
7878,ID8515,8146,ID8787
8146,ID8787,8147,ID2142
376,ID0402,8332,ID8976
380,ID0406,8336,ID8980
8338,ID8982,8339,ID0463
242,ID0265,8364,ID9007
7923,ID0428,8366,ID9010
8366,ID9010,8367,ID6190
8367,ID6190,8368,ID3532
8368,ID3532,8369,ID9009
8369,ID9009,8370,ID8896
16,ID0017,8396,ID9038
28,ID0029,8423,ID9065
465,ID0500,8442,ID9086
8442,ID9086,8443,ID9087
8443,ID9087,8444,ID9084
8444,ID9084,8445,ID2269
8445,ID2269,8446,ID8826
8446,ID8826,8447,ID9081
14,ID0015,8470,ID9111
44,ID0051,8470,ID9111
8481,ID9122,8482,ID9123
63,ID0070,8495,ID9136
449,ID0484,8500,ID9142
8358,ID9001,8501,ID1807
8500,ID9142,8501,ID1807
8501,ID1807,8502,ID1874
8502,ID1874,8503,ID2880
8503,ID2880,8504,ID9140
399,ID0429,8554,ID9145
8553,ID9197,8554,ID9145
8554,ID9145,8555,ID9146
8555,ID9146,8556,ID0421
8556,ID0421,8557,ID3323
7206,ID3339,8558,ID6366
8557,ID3323,8558,ID6366
8558,ID6366,8559,ID3345
8555,ID9146,8560,ID9152
8560,ID9152,8561,ID9153
8705,ID9342,8706,ID8480
8706,ID8480,8707,ID8931
8707,ID8931,8708,ID0643
2865,ID3321,8765,ID9399
1863,ID0100,8851,ID9485
8851,ID9485,8852,ID8652
3115,ID3584,8853,ID5092
8852,ID8652,8853,ID5092
210,ID0230,8854,ID1871
8853,ID5092,8854,ID1871
2164,ID2237,8860,ID9492
8860,ID9492,8861,ID0483
8861,ID0483,8862,ID9491
8862,ID9491,8863,ID9493
8863,ID9493,8864,ID9494
8864,ID9494,8865,ID0471
8865,ID0471,8866,ID1697
395,ID0424,8867,ID1884
454,ID0489,8867,ID1884
8865,ID0471,8867,ID1884
8558,ID6366,8890,ID9518
8339,ID0463,8896,ID9525
8896,ID9525,8897,ID4218
8897,ID4218,8898,ID0469
3149,ID1953,8988,ID9616
8988,ID9616,9015,ID9645
439,ID0472,9060,ID9692
9060,ID9692,9061,ID9688
9061,ID9688,9062,ID0360
9062,ID0360,9063,ID9638
5955,ID6583,9064,ID0362
9063,ID9638,9064,ID0362
9064,ID0362,9065,ID0104
9065,ID0104,9066,ID8796
8994,ID9622,9085,ID9711
9085,ID9711,9086,ID2684
9086,ID2684,9087,ID6170
9087,ID6170,9088,ID3347
9088,ID3347,9089,ID3344
9089,ID3344,9090,ID6278
8504,ID9140,9237,ID9860
9197,ID9819,9262,ID9885
9262,ID9885,9263,ID6459
9263,ID6459,9264,ID3297
8708,ID0643,9271,ID9892
9271,ID9892,9272,ID9176
9272,ID9176,9273,ID5773
9264,ID3297,9277,ID9896
9277,ID9896,9296,ID9915
41,ID0047,9297,ID0048
9296,ID9915,9297,ID0048
9297,ID0048,9298,ID2652
5218,ID5818,9347,ID9965
9347,ID9965,9349,ID9967
9349,ID9967,9350,ID9106
9350,ID9106,9351,ID3673
42,ID0049,9386,ID2863
9385,ID10001,9386,ID2863
8501,ID1807,9437,ID10053
9437,ID10053,9438,ID0151
9237,ID9860,9439,ID10041
9438,ID0151,9439,ID10041
1692,ID1742,9519,ID10134
9519,ID10134,9520,ID3402
9520,ID3402,9521,ID9157
9519,ID10134,9522,ID10128
9521,ID9157,9522,ID10128
9524,ID10136,9525,ID3362
9525,ID3362,9526,ID9591
8147,ID2142,9527,ID0481
8482,ID9123,9527,ID0481
9526,ID9591,9527,ID0481
18,ID0019,9528,ID1805
210,ID0230,9528,ID1805
9527,ID0481,9528,ID1805
9527,ID0481,9529,ID6732
9529,ID6732,9530,ID0412
9527,ID0481,9531,ID8586
9531,ID8586,9532,ID0949
9532,ID0949,9533,ID1493
9528,ID1805,9534,ID9036
9534,ID9036,9535,ID9037
9535,ID9037,9536,ID0001
9536,ID0001,9537,ID0004
9537,ID0004,9538,ID1181
9537,ID0004,9539,ID1598
9537,ID0004,9540,ID1599
9536,ID0001,9541,ID1823
1,ID0000,9542,ID1866
2,ID0002,9542,ID1866
9536,ID0001,9542,ID1866
4,ID0005,9543,ID1888
5,ID0006,9543,ID1888
6,ID0007,9543,ID1888
7,ID0008,9543,ID1888
8,ID0009,9543,ID1888
9,ID0010,9543,ID1888
9537,ID0004,9543,ID1888
3,ID0003,9544,ID1898
4,ID0005,9544,ID1898
5,ID0006,9544,ID1898
6,ID0007,9544,ID1898
7,ID0008,9544,ID1898
8,ID0009,9544,ID1898
9,ID0010,9544,ID1898
10,ID0011,9544,ID1898
9537,ID0004,9545,ID2654
9537,ID0004,9546,ID2874
9536,ID0001,9547,ID4037
1373,ID1418,9548,ID4082
9536,ID0001,9548,ID4082
997,ID1035,9549,ID4111
1274,ID1319,9549,ID4111
9536,ID0001,9549,ID4111
9530,ID0412,9550,ID9337
8502,ID1874,9560,ID10146
9560,ID10146,9561,ID0037
9561,ID0037,9562,ID0087
9562,ID0087,9563,ID0038
9563,ID0038,9564,ID0039
9564,ID0039,9565,ID0044
9565,ID0044,9566,ID0045
9565,ID0044,9567,ID0089
9567,ID0089,9568,ID0090
9565,ID0044,9569,ID1193
9564,ID0039,9570,ID1500
9566,ID0045,9571,ID1501
9566,ID0045,9572,ID1821
665,ID0701,9573,ID1887
764,ID0800,9573,ID1887
9562,ID0087,9573,ID1887
9564,ID0039,9574,ID2298
9561,ID0037,9575,ID2644
9565,ID0044,9576,ID3850
9561,ID0037,9577,ID5983
9565,ID0044,9578,ID5986
9565,ID0044,9579,ID8629
9560,ID10146,9580,ID9806
9580,ID9806,9581,ID3330
9581,ID3330,9582,ID9631
9582,ID9631,9583,ID9666
9583,ID9666,9584,ID3295
23,ID0024,9602,ID10164
9602,ID10164,9603,ID10165
9603,ID10165,9604,ID0188
8765,ID9399,9605,ID0409
9604,ID0188,9605,ID0409
887,ID0924,9606,ID1935
9605,ID0409,9606,ID1935
9606,ID1935,9607,ID1780
9607,ID1780,9608,ID2301
9608,ID2301,9609,ID1955
9605,ID0409,9610,ID2846
6941,ID7577,9611,ID1816
9610,ID2846,9611,ID1816
9605,ID0409,9612,ID4085
898,ID0935,9613,ID4101
9605,ID0409,9613,ID4101
9522,ID10128,9693,ID10245
9693,ID10245,9703,ID10255
9522,ID10128,9704,ID8689
9703,ID10255,9704,ID8689
9704,ID8689,9705,ID8690
181,ID0201,10238,ID0115
10237,ID0105,10238,ID0115
10238,ID0115,10239,ID0117
10238,ID0115,10240,ID2222
92,ID0106,10241,ID3698
10237,ID0105,10241,ID3698
92,ID0106,10242,ID4062
10237,ID0105,10242,ID4062
92,ID0106,10243,ID5154
10237,ID0105,10243,ID5154
92,ID0106,10244,ID5158
10237,ID0105,10244,ID5158
10240,ID2222,10245,ID7437
10245,ID7437,10246,ID1171
10246,ID1171,10247,ID0143
10247,ID0143,10248,ID7904
8890,ID9518,10249,ID9955
10247,ID0143,10249,ID9955
10249,ID9955,10250,ID3340
9568,ID0090,10252,ID0252
10239,ID0117,10253,ID9513
10252,ID0252,10253,ID9513
10252,ID0252,10254,ID0261
8888,ID9516,10255,ID7732
10254,ID0261,10255,ID7732
22,ID0023,10256,ID1863
10255,ID7732,10256,ID1863
10255,ID7732,10257,ID7733
10257,ID7733,10258,ID6819
10258,ID6819,10259,ID7257
10259,ID7257,10260,ID7259
10260,ID7259,10261,ID7177
10261,ID7177,10262,ID7207
8561,ID9153,10264,ID6489
8853,ID5092,10264,ID6489
8854,ID1871,10264,ID6489
9705,ID8690,10264,ID6489
10252,ID0252,10264,ID6489
10263,ID0394,10264,ID6489
10264,ID6489,10265,ID6733
9351,ID3673,10266,ID9859
10264,ID6489,10266,ID9859
10266,ID9859,10267,ID3708
3208,ID0330,10268,ID4226
8897,ID4218,10269,ID4227
8898,ID0469,10269,ID4227
10264,ID6489,10269,ID4227
10268,ID4226,10269,ID4227
10268,ID4226,10270,ID9523
10269,ID4227,10270,ID9523
10270,ID9523,10271,ID8493
